nationality,class,firepower,range,morale,assault_fire,smoke,spraying_fire,elr,self_rally,assault_engineer,bpv,piece,version,overrides,svg_image_transform,comments
al,AE,4,5,8/7,no,3,no,no,no,yes,13,al458Sae,0.1,,,
al,AE,2,4,8/6,no,0,no,no,no,yes,5,al248Hae,0.1,,,
al,AE,4,5,8/7,yes,3,no,no,no,yes,13,al458Saeaf,0.1,,,
al,E,4,5,8/7,no,1,no,no,no,no,12,al458S,0.1,,,
al,E,2,4,8/6,no,0,no,no,no,no,4,al248H,0.1,,,
al,E,4,5,8/7,yes,1,no,no,no,no,12,al458Saf,0.1,,,
al,1,4,5,7/6,no,0,no,no,no,no,8,al457S,0.1,,,
al,1,2,3,7/5,no,0,no,no,no,no,3,al237H,0.1,,,
al,1,4,5,7/6,yes,0,no,no,no,no,8,al457Saf,0.1,,,
al,G,4,3,7/6,no,0,no,no,no,no,6,al437S,0.1,,,
al,G,2,2,7/5,no,0,no,no,no,no,2,al227H,0.1,,,
al,AE,5,4,8/7,no,3,no,no,no,yes,13,al548Sae,0.1,,,
al,broken,,,8,,,,,no,,,als8b,0.1,,,
al,broken,,,7,,,,,no,,,als7b,0.1,,,
al,broken,,,6,,,,,no,,,als6b,0.1,,,
al,broken,,,0,,,,,,,,als0b,0.1,,,
al,broken,,,7,,,,,no,,,alh7b,0.1,,,
al,broken,,,6,,,,,no,,,alh6b,0.1,,,
al,broken,,,5,,,,,no,,,alh5b,0.1,,,
al,broken,,,0,,,,,,,,alh0b,0.1,,,
al,broken,,,8,,,,,yes,,,alc8b,0.1,,,
al,broken,,,7,,,,,yes,,,alc7b,0.1,,,
al,broken,,,6,,,,,yes,,,alc6b,0.1,,,
al,crew,2,2,8/7,no,0,no,no,yes,no,7,al228C,0.1,,,
al,crew,1,2,7/6,no,0,no,no,yes,no,5,al127C,0.1,,,
al,?C,,,,,,,,,,,alqcloak,0.1,,,
al,?,,,,,,,,,,,alqmark,0.1,,,
al,?58,,,,,,,,,,,alqmark58,0.1,,,
al,?me,,,,,,,,,,,alqmarkme,0.1,,,
al,?roi,,,,,,,,,,,alNoRoi,0.1,,,
al,none,,,,,,,,,,,al000H,0.1,,,
al,none,,,,,,,,,,,al000S,0.1,,,
al,none,,,,,,,,,,,alblank12,0.1,,,
al,none,,,,,,,,,,,alblank58,0.1,counter_size=60,,
et,[E],3,4,7,no,0,no,no,no,no,6,et347S,0.1,,,
et,[E],1,3,6,no,0,no,no,no,no,3,et136H,0.1,,,
et,[1],3,3,7,no,0,no,no,no,no,5,et337S,0.1,,,
et,[1],1,2,6,no,0,no,no,no,no,2,et126B1H,0.1,,,
et,(1),2,3,7,no,0,no,no,no,no,4,et237S,0.1,,,
et,(1),1,2,6,no,0,no,no,no,no,2,et126C1H,0.1,,,
et,[C],2,2,6,no,0,no,no,no,no,3,et226BS,0.1,,,
et,[C],1,1,5,no,0,no,no,no,no,1,et115BH,0.1,,,
et,(C),2,2,6,no,0,no,no,no,no,3,et226CS,0.1,,,
et,(C),1,1,5,no,0,no,no,no,no,1,et115CH,0.1,,,
et,crew,1,2,7,no,0,no,no,yes,no,5,et127C,0.1,,,
et,broken,,,6,,,,,no,,,ets6b,0.1,,,
et,broken,,,5,,,,,no,,,ets5b,0.1,,,
et,broken,,,0,,,,,,,,ets0b,0.1,,,
et,broken,,,6,,,,,no,,,eth6b,0.1,,,
et,broken,,,4,,,,,no,,,eth4b,0.1,,,
et,broken,,,0,,,,,,,,eth0b,0.1,,,
et,broken,,,7,,,,,yes,,,etc7b,0.1,,,
et,none,,,,,,,,,,,et000H,0.1,,,
et,none,,,,,,,,,,,et000S,0.1,,,
