count,name,gun_type,caliber,rof_ife,breakdown,range,manhandling,target_size,dates,special,bpv,rf,notes,version,piece,r_x,overrides,limbered,svg_image_transform,reverse,comments
<b>#</b>,<b>Name</b>,<b>Type</b>,<b>CSize</b>,<b>ROF (IFE)</b>,<b>B#</b>,<b>Range</b>,<b>M#</b>,<b>TSize</b>,<b>Dates</b>,<b>Special</b>,<b>BPV</b>,<b>RF</b>,<b>Notes</b>,,,,ignore,,,,
<b>POLISH</b>,,,,,,,,,,,,,,,,,announce,,,,
5,46mm granatnik wz. 36,MTR,"<span style=""text-decoration:overline"">46</span>*",2,11,3-20,–,–,9-10/39,4PP,–,–,"1, A, P",,,,ignore,,,,
5,Ur. wz. 35,ATR,ATR,,,1-12,–,–,9-10/39,1PP,–,–,"2, P",,,,ignore,,,,
3,75mm wz. 02/26,ART,75,1,11,267,7,0,26-39,"NT, QSU, s6, h-d",29,1.3,"3, P",1.0,alART75p,,,,,,
3,100mm wz. 14/19,ART,"<span style=""text-decoration:overline"">100</span>*",1,11,232,<b>6</b>,0,33-39,NT,28,1.3,"4, A, P",1.0,alART100p,,,no_fire,,,
3,75mm wz. 97/25,AA,"<span style=""text-decoration:overline"">75</span>L",2,,,<b>4</b>,-1,35-39,"T, NM",27,1.4-1.6†,"5†, P",1.0,alAA75p,,,,,,
<b>BELGIAN</b>,,,,,,,,,,,,,,,,,announce,,,,
5,DBT,MTR,"<span style=""text-decoration:overline"">50</span>*",2,11,4-14,–,–,5/40,"3PP, †",–,–,"6†, A, B, D",,,,ignore,,,,
4,"M76 A
M76 A","MTR
INF","<span style=""text-decoration:overline"">76</span>*
<span style=""text-decoration:overline"">76</span>*","2
1",,"4-28
28","<b>12</b>
<b>12</b>","+1
+1","18-5/40
18-5/40","NT, h-d, LF† [INF]
NT, h-d, LF† [INF]","27
27","1.2
1.2","7†,A,B,D
7†, A, B, D",,,,ignore,,,,
3,7.6cm FRC,INF,"<span style=""text-decoration:overline"">76</span>*",1 (or 3),,(16)†-55,12,1,24-5/40,"NT, QSU, †",30,1.4,"8†, A, B",1.0,alINF76,,ma=$$|rof=1|ife=|range=55,,,,
4,C47 FRC M 32,AT,47,2,,150,<b>11</b>,0,33-5/40,"NT, QSU",28,1.2,"9, B",1.0,alATb47,,,,,,
4,C75 TR,ART,"<span style=""text-decoration:overline"">75</span>",1,11,225,<b>9</b>,0,17-5/40,"NT, QSU, s5, h-d",26,1,"10, B",1.0,alARTb75,,,,,,
4,C75 GP,ART,"<span style=""text-decoration:overline"">75</span>",1,11,275,<b>8</b>,0,18-5/40,"NT, s5, LF [75*, B10]",24,1,"11, B",1.0,alART75gp,,,ma=$$<*>|mb=B10|rof=|ife=,,,
3,Ob 105 GP,ART,"<span style=""text-decoration:overline"">105</span>",,,275,<b>6</b>,0,26-5/40,"NT, s5, LF [105*]",32,1.3,"12, B",1.0,alARTb105,,,ma=$$<*>,,,
3,C120 M31,ART,"<span style=""text-decoration:overline"">120</span>",,,438,<b>3</b>,-1,34-5/40,"NT, LF [120*]",37,1.3,"13, B",1.0,alARTb120,,,ma=$$<*>,,,
3,M27 FRC,AA,"<span style=""text-decoration:overline"">75</span>L",1,,245,<b>3</b>,-1,27-5/40,"ST, NM",24,1.4,"14, B",1.0,alAA75,,,,,,
<b>DUTCH</b>,,,,,,,,,,,,,,,,,announce,,,,
5,Solothurn s/18-1100,ATR,"<span style=""text-decoration:underline"">20</span>L",2,,1-12,–,–,5/40-3/41,5PP,–,–,"15, A, Ne",,,,ignore,,,,
<b>GREEK</b>,,,,,,,,,,,,,,,,,announce,,,,
3,Vari 85/24 M,ART,"<span style=""text-decoration:overline"">85</span>",1,,375,<b>6</b>,0,27-41,"NT, s5",25,1.6,"16, Gr",1.0,alART85,,,no_fire,,,
4,OR 105/19,ART,"<span style=""text-decoration:overline"">105</span>*",,,196,<b>8</b>,0,30-41,"NT, h-d",28,1.3,"17, Gr",1.0,alART105g,,,no_fire,,,
3,3.7cm Bofors AA,AA,37L,3 (8),,200,8,0,39-41,T,30,1.6,"18, Gr",1.0,alAA37,,,no_fire,,,
<b>DANISH</b>,,,,,,,,,,,,,,,,,announce,,,,
4,Machinecannon 20mm M-35,AT,20L,2 (6),11,50,12†<sup>1</sup>,1,40,"NT, QSU†<sup>1</sup>, R2, IFE=B10",25,1.2,"19†, De, T†<sup>1</sup>",1.0,alAT20,,mb=B$$[*]|man=[*]12|range=$$,,,"Towing NA,no gunshield",
<b>YUGOSLAVIAN</b>,,,,,,,,,,,,,,,,,announce,,,,
4,3.7cm Infantry Gun,INF,"<span style=""text-decoration:overline"">37</span>*",3,11,80,12,1,30-41,"NT, QSU, h-d",20,1.1,"20, Y",1.0,alINF37,,,,,,
4,80mm M28/M33,ART,"<span style=""text-decoration:overline"">80</span>*",1,11,210,<b>8</b>,0,33-41,"NT, s5, h-d",24,1.3,"21, Y",1.0,alART80,,,no_fire,,,
4,100mm M14/19,ART,"<span style=""text-decoration:overline"">100</span>*",1,11,232,<b>6</b>,0,19-41,NT,25,1.2,"22, Y",1.0,alART100,,,no_fire,,,
<b>COMMON</b>,,,,,,,,,,,,,,,,,announce,,,,
4,Brandt Medium Mortar,MTR,"<span style=""text-decoration:overline"">81</span>*",3,,3-71,11,1,30-41,"NT, QSU, s8",28,1.1-1.5†,"23†, A, B, Gr, N, P, Y",1.0,alMTR81,,range=$$,,,,
4,37mm Bofors AT,AT,"<span style=""text-decoration:underline"">37</span>L",3,,177,12,1,36-41,"NT, QSU",26,1.0-1.2†,"24†, A, De, P",1.0,alAT37,,,,,,
4,3.7cm PaK 35/36,AT,37L,3,,120,12,1,5/40-5/41,"NT, QSU",28,1.4†,"25†, Gr, Ne, Y",1.0,alAT37L,,,,,,
3,Bohler M35 47mm,AT,47,3,,107,12,1,35-4/41,"NT, QSU",30,1.2-1.5†,"26†, A, Gr, Ne, Y",1.0,alAT47,,,,,,
3,65mm wz.06,INF,"<span style=""text-decoration:overline"">65</span>*",2,11,162,10,1,19-41,"NT, QSU, no Gunshield, h-d",23,1.1-1.5†,"27†, A, Gr, P, Y",1.0,alINF65,,,,,,
4,75mm wz.97,ART,75,1,,277,8,0,00-41,"NT, QSU, s8",33,1.0-1.3†,"28†, A, Gr, N, P",1.0,alART75fr,,,,,,
4,Bofors M34,ART,"<span style=""text-decoration:overline"">75</span>*",1,,233,10,1,34-3/42,"NT, QSU",24,1.2-1.6†,"29†, A, B, Gr, Ne, N",1.0,alART75,,,,,,
3,75M 19S,ART,75*,1,,225,9,0,19-5/41,"NT, QSU, s6, AP5, h-d",23,1.2-1.5†,"30†, A, Gr, P, Y",1.0,alART75s,,,,,,
3,C105 L 13 S,ART,"<span style=""text-decoration:overline"">105</span>",,,308,<b>5</b>,-1,20-4/41,NT,26,1.4-1.5†,"31†, B, P, Y",1.0,alART105,,,no_fire,,,
3,120mm wz. 09/31,ART,"<span style=""text-decoration:overline"">120</span>*",1,11,310,<b>8</b>,0,31-5/40,"NT, s6, h-d",30,1.4-1.6†,"32†, N, P",1.0,alART120,,,no_fire,,,
3,155mm 17 S,ART,"<span style=""text-decoration:overline"">155</span>*",,11,282,<b>6</b>,-1,20-5/41,"NT, s8",39,1.4,"33, B, Gr, P, Y",1.0,alART155,,,no_fire,,,
3,Mitrailleuse de 13.2 CAJ mle 30,AA,12.7,3 (12),11,16†,<b>6</b>†<sup>1</sup>,1,31-5/41,"T, 2 TK DR†, Towing NA†<sup>1</sup>",28,1.3-1.5†,"34†, T†<sup>1</sup>, B, Gr, Y",1.0,alAA127,,ma=[*]$$,no_fire,,,
4,20mm Oerlikon,AA,20L,3 (4),,125,12,1,30-3/42,"T, LF [NT, 20†<sup>1</sup>, 2 ROF, B11]",29,1.3-1.5†,"35†, C†<sup>1</sup>, Gr, Ne, Y",1.0,alAA20,,,ma=<*>20|mb=B11|rof=2|ife=(4)|mount=NT,,,
4,40mm Bofors AA,AA,40L,3 (8),,247,8,,38-5/40,"T, LF [40†<sup>1</sup>, 2 ROF]",40,1.1-1.3†,"36†, C†<sup>1</sup>, B, N, Ne, P",1.0,alAA40,,,ma=<*>40|rof=2|ife=(8),,,
4,M76 A,MTR,"<span style=""text-decoration:overline"">76</span>*",2,,4-28,<b>12</b>,+1,18-5/40,"NT, h-d, LF† [INF]",27,1.2,"7†,A,B,D",1.0,alMTR76,,ma=$$|man=12|range=$$,ma=$$|man=12|rof=1|range=28|gt=INF,,,
