count,name,radioless,weight,bpv,rf,dates,size,af,ta,ot,cs,mp,gp,gt,ma,rof_ife,breakdown,intensive_fire,bmg,cmg,aamg,sa,ammunition,smoke_depletion,smoke_discharger,transport,notes,version,piece,overrides,svg_image_transform,reverse,comments
<b>#</b>,<b>Name & <i>Type</i></b>,<b>®</b>,<b>WGT</b>,<b>BPV</b>,<b>RF</b>,<b>Dates</b>,<b>Size</b>,<b>AF</b>,<b>TA</b>,<b>OT</b>,<b>CS</b>,<b>MP</b>,<b>GP</b>,<b>GT</b>,<b>MA</b>,<b>ROF</b>,<b>B#</b>,<b>IF</b>,<b>BMG</b>,<b>CMG</b>,<b>AAMG</b>,<b>SA</b>,<b>Am</b>,<b>s#</b>,<b>sD#</b>,<b>PP/T#</b>,<b>Notes</b>,,,ignore,,,
<b>POLISH</b>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ignore,,,
6,TKS <i>Tt</i>,•,2.7,19,1.1,34-10/39,+2,1/0,-F,,2,<b>15</b>†,L,,BMG,1,11,,2,,,,,,,,"1†, D",1.0,TKS,nat=al|qual=a,,,
6,TKS(L) <i>Tt</i>,•,2.8,21,1.5,9-10/39,+2,1/0,-F,,2,<b>15</b>†,L,NT,B20L,1,11,,,,,,,,,,"1†, D",1.0,TKSL,nat=al|qual=b,,,
4,Vickers Edw(b) <i>LT</i>,•,7.4,27,1.5,31-10/39,+1,2/1,-F,,3,<b>14</b>,L,RST,CMG†,1,<b>11</b>,,,6×2†<sup>1</sup>,,,,,,,"2†, A, K†<sup>1</sup>",1.0,Edwb,nat=al|ma=CMG|qual=a,,,
4,Vickers Ejw(b) <i>LT</i>,•,7.8,29,1.5,31-10/39,+1,2/1,-F,,3,<b>14</b>,L,RST,T47*,1,,,,6,,,,,,,"2, A",1.0,Ejwb,nat=al|qual=b,,,
6,7TPdw <i>LT</i>,•,9.4,27,1.4,35-10/39,+1,2/1,,,3,14,,RST,CMG†,1,<b>11</b>,,,6×2†<sup>1</sup>,,,,,,,"3†, K†<sup>1</sup>",1.0,7TPdw,nat=al|ma=CMG|qual=a,,,
6,7TPjw <i>LT</i>,,9.9,33,1.3,37-10/39,0,2/1,,,3,14,,RST,T37L,1,,,,2,,,,,,,3,1.0,7TPjw,nat=al|qual=b,,,
3,H35(f) <i>LT</i>,•,11.5,25,1.6,9-10/39,+1,4,+FSR,,2,<b>10</b>,,1MT,T37*,,,,,2†,†,,AP10,,,,"4, A, E†, F",1.0,H35f,nat=al|mgs=-/2<*>/[*],,,
2,Peugeot 1918(f) <i>AC</i>,•,5,18,1.6,20-10/39,0,0/0/★T,,•,4,<b>16</b>†,,ST,CMG,1,11,,,2,,,,,,,"5, A, D, G†",1.0,1918f,nat=al,,,
2,wz.29 “Ursus” <i>AC</i>,•,4.8,20,1.6,29-10/39,0,1/0,-F,,5,<b>14</b>,,1MT,T37*,1,11,,-<sup>R2</sup>†,-<sup>R2</sup>†,,,,,,,6†,1.0,wz29,nat=al|mgs=-<sup>R2</sup>[*]/-<sup>R2</sup>[*],,,
6,wz.34-I <i>AC</i>,•,2.1,19,1.2,34-10/39,+1,1/0,-F,,2,<b>22</b>,L,1MT,CMG,1,,,,4,,,,,,,7,1.0,wz34i,nat=al|qual=a,,,
6,wz.34-II <i>AC</i>,•,2.2,20,1.1,34-10/39,+1,1/0,-F,,2,<b>20</b>,L,1MT,T37*,,,,,,,,,,,,7,1.0,wz34ii,nat=al|qual=b,,,
2,De Dion-Bouton(f) <i>AAtr</i>,,6,30,1.6,9-10/39,0,★,,,7,<b>12</b><sup>t</sup>†,H,T†,"T<span style=""text-decoration:overline"">75</span>†<sup>1</sup>",1,,,,,†<sup>2</sup>,,†,,,,"8†, A, Q†<sup>1</sup>, AA†<sup>2</sup>",1.0,dion,nat=al|mgs=,,,
2,PF 621L SPAA <i>AAtr</i>,,4.8,32,1.5,36-10/39,0,★,,,5,<b>18</b><sup>t</sup>†<sup>1</sup>,H,T†,"T<span style=""text-decoration:overline"">75</span>†<sup>2</sup>",1,,,,,†<sup>3</sup>,,,,,,"9†, G†<sup>1</sup>, Q†<sup>2</sup>, AA†<sup>3</sup>",1.0,PF621,nat=al|mgs=,,,
4,302T <i>AAtr</i>,,0.8,22,1.1,38-10/39,+2,★,,,3,22<sup>t</sup>,L,,AAMG†,3,,,,,5†,,,,,,10†,1.0,302T,nat=al|mgs=-/-/5<*>,,,
4,C2P <i>APC</i>,,2.8,12,1.2,37-10/39,+2,0/0/★T,,•,<i>4</i>,18,L,,,,,,,,,,,,,4PP/T8,11,1.0,C2P,nat=al,,,
4,C4P <i>ht</i>,,3,12,1.0,34-10/39,0,0/0/★T,,•,<i>5</i>,12,,,,,,,,,,,,,,5PP/T6,12,1.0,C4P,nat=al,,,
4,“Taczanka” <i>AAh-d</i>,,†,17,1.1,9-10/39,+1†,★,,,<i>3</i>,10†,†,,AAMG†<sup>1</sup>,2,,,,,4,,,,,5PP†,"13†, Q†<sup>1</sup>",1.0,Tacz,nat=al|mgs=-/-/4[*]|mp=<*>$$|gp=N,,,
<b>BELGIAN</b>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ignore,,,
2,VCL Mk VI/c47(b) <i>TD</i>,•,1.5,25,1.6,33-5/40,+2,1,-FSR,•,2,<b>13</b>,L,NT†,B47†<sup>1</sup>,1,11,,,,,,,,,,"14†, A, Q†<sup>1</sup>",1.0,VCLmkVI,nat=al,,,
3,T-13 II(b) <i>TD</i>,•,4.5,30,1.4,35-5/40,+1,1/1/★T†,,•,<b>4</b>†,<b>15</b>,L,ST†,R47†,1,11,,,-<sup>R2</sup>†,,,,,,,"15†, A",1.0,T13ii,nat=al|mgs=-/2[*]|rar=$$[*],,,
6,T-13 III(b) <i>TD</i>,•,6,35,1.2,39-5/40,+1,1,,•,<b>4</b>,15,L,ST,T47,1,11,,,2,,,,,,,"16, A",1.0,T13iii,nat=al,,,
4,T-15(b) <i>LT</i>,•,3.9,26,1.3,2/35-5/40,+1,3/1,-FSR,,2,19,L,1MT,T12.7,1 (4),,,,,,,,,,,"17, A",1.0,T15,nat=al,,,
4,ACG1(f) <i>LT</i>,•,16,33,1.5,6/37-5/40,0,2/1,,,<b>3</b>,<b>10</b>,,RST,T47,1,,,,4†,,,,,,,"18†, A",1.0,ACG,nat=al,,,
<b>YUGOSLAVIAN</b>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ignore,,,
2,T-32 <i>AG</i>,•,4.8,23,1.6,6/37-4/41,+2,2/1,-FSR,,2,14,,NT,B37,1,,,2,,,,,,,,"19, D",1.0,T32,nat=al,,,
3,M3A1(a) <i>LT</i>,,13,45,1.4†,7/44-45,+1,4/3,+SR,,4,18,,ST,T37LL,1,,,2,4,2,,C3†,,,,"20†, A, B, C, L",1.0,M3A1,nat=al|bkg=ru|ma=[*]$$|qual=a,,,
3,M3A3(a) <i>LT</i>,,14.5,46,1.4†,7/44-45,+1,6/3,+SR,,4,17,,ST,T37LL,1,,,2,4,2,,C3†,,sD3,,"20†, A, B, C, L",1.0,M3A3,nat=al|bkg=ru|ma=[*]$$|qual=b,,,
3,M3(a) PaK 40 <i>TD</i>,,12,49,1.6,10/44-45,+1,6/3/★T†,,•†<sup>1</sup>,2,14,,NT,B75L,1,10,,2,,,,,,,,"21†, A, H†<sup>1</sup>, L",1.0,M3A3pak,nat=al|bkg=ru|ma=[*]$$,,,
3,M3(a) FlaK 38 <i>SPAA</i>,,12,38,1.6,10/44-45,+1,6/3/★T†,,•†<sup>1</sup>,2,14,,ST,T20L,3 (6),10,,2,,†<sup>2</sup>,,,,,,"22†, A, H†<sup>1</sup>, L, AA†<sup>2</sup>",1.0,M3A3flak,nat=al|bkg=ru|ma=[*]$$|mgs=2/-,,,
3,AEC II(b) <i>AC</i>,,13,58,1.4,10/44-45,0,6/3,-F,,4,24<sup>t</sup>†,,T,T57L,2,11,,,4,,,HE5; D4,,sM8,,"23, A, G†, L",1.0,alaecii,nat=al|bkg=ru|ma=[*]$$,,,
<b>DANISH</b>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ignore,,,
4,Nimbus <i>TDmc</i>,,†,23,1.3,4/40,-1†,†,,,†,24,†,†,B20L†,2 (6),11†,,,,2†,,,,,M8†,24†,1.0,Nimbus,nat=al|mb=$$[*]|mgs=-/-/2|gp=N,,,
<b>DUTCH</b>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ignore,,,
3,VCL M1936(b) <i>aTt</i>,•,3,27,1.5,40-3/42,+2†,0,,,2,18<sup>2</sup>,L,1MT,CMG,1,11,,,6,,,,,,,"25†, A, V",1.0,VCLM1936,nat=al,,,
4,CTLS-4(a) <i>Tt</i>,•,7,22,1.5,2-3/42,+1,2/0,-F,,2,<b>16</b>,,1MT†,CMG,1,11,,,4,,,,,,,"26†, A, V",1.0,CTLS4,nat=al|ma=[*]CMG,,,
3,M36 <i>AC</i>,•,6,29,1.4,36-5/40,+1,1/0,,,5,20,,RST,T37L,2,,,2<sup>R2</sup>,2,,,HE10,,,,"27, <strike>V</strike>",1.0,M36,nat=al|qual=a,,,
3,M38 <i>AC</i>,•,7,30,1.4,38-5/40,+1,1/0,,,5,22,,RST,T37L,2,,,2<sup>R2</sup>,2,,,HE10,,,,"27, <strike>V</strike>",1.0,M38,nat=al|qual=b,,,
3,M39 <i>AC</i>,•,6,31,1.6,39-5/40,+1,2/0,-F,,6,25,L,RST,T37L,2,,,2<sup>R2</sup>,2,,,HE10,,,,"28, <strike>V</strike>",1.0,M39,nat=al,,,
3,Marm-Herr. III(b) <i>AC</i>,•,5,35,1.4,2-3/42,0,1/0,+SR,,4,<b>26</b><sup>t</sup>†,,ST,CMG,1,11,,,8†,,,,,,,"29†, A, V",1.0,almarmherr,nat=al|ma=[*]CMG|mgs=-/8,,,
4,Jeep(a) <i>tr</i>,,1.5,15,1.2,2-3/42,+2,★,,,<i>2</i>†,37<sup>t</sup>,L†,,AAMG†,1,,,,,Opt 2†,,,,,9PP/T10,"30†, A, V",1.0,aljeep,nat=al|ma=|qual=a,,,
<b>COMMON</b>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ignore,,,
3+<i>3</i>,L5/30(i) <i>Tt</i>,•,6,22,1.6,11/40-45,+1,1,,,2,<b>8</b>,L,1MT,T37,,11,,,,,,,,,,"31, A",1.0,L530,nat=al|qual=a,,,
3+<i>3</i>,L3/35(i) <i>Tt</i>,•,3.5,20,1.4-1.6†,11/40-45,+2,1/0,,,2,<b>13</b>,L,,BMG†,1,11,,4,,,,,,,,"31†, A, D",1.0,L335,nat=al|qual=b,,,
3+<i>3</i>,L6/40(i) <i>LT</i>,,7,28,1.4-1.6†,4/41-45,+1,3/1,+F,,2,<b>14</b>,L,1MT,T20L,1 (4),11,,,2,,,,,,,"31†, A",1.0,L640,nat=al|qual=c,,,
3+<i>3</i>,M13/40(i) <i>MT</i>,,14,33,1.6,12/40-45,0,3,,,4,<b>11</b>,,RST,T47,1,11,,4†,4,,,,,,,"31†, A",1.0,M1340,nat=al|mgs=4<*>/4|qual=d,,,
4,FT-17M(f) <i>Tt</i>,•,7,16,1.2-1.6†,9/39-5/41,+1,1/0,+FSR,,2,<b>5</b>†,L,1MT,CMG,1,,,,4,,,,,,,"32†, A, F",1.0,FT17M,nat=al|qual=a,,,
