nationality,class,firepower,range,morale,assault_fire,smoke,spraying_fire,elr,self_rally,assault_engineer,bpv,piece,version,overrides,svg_image_transform,comments
am,AE,7,4,7/8,yes,5,yes,yes,no,yes,15,am747Sae,0.1,,,
am,AE,3,3,7,no,0,no,yes,no,yes,6,am337Hae,0.1,,,
am,E,7,4,7/8,yes,5,yes,yes,no,no,14,am747S,0.1,,,
am,E,3,3,7,no,0,no,yes,no,no,6,am337H,0.1,,,
am,[E],6,6,7/8,yes,3,no,no,no,no,14,am667S,0.1,,,
am,[E],3,4,7,no,0,no,no,no,no,6,am347H,0.1,,,
am,1,6,6,6/8,yes,3,no,no,no,no,11,am666S,0.1,,,
am,1,3,4,6/7,no,0,no,no,no,no,4,am346H,0.1,,,
am,2,5,4,6/7,yes,2,no,no,no,no,7,am546S,0.1,,,
am,2,2,3,6,no,0,no,no,no,no,3,am236H,0.1,,,
am,G,5,3,6/7,yes,2,no,no,no,no,6,am536S,0.1,,,
am,G,2,2,6,no,0,no,no,no,no,2,am226H,0.1,,,
am,2,4,4,7,no,1,no,no,no,no,7,am447S,0.1,,,
am,2,2,3,7/6,no,0,no,no,no,no,3,am237H,0.1,,,
am,G,3,3,6,no,0,no,no,no,no,4,am336S,0.1,,,
am,G,1,2,6/5,no,0,no,no,no,no,2,am126H,0.1,,,
am,crew,2,2,7/8,no,0,no,no,yes,no,7,am227C,0.1,,,
am,crew,1,2,6/7,no,0,no,no,yes,no,6,am126C,0.1,,,
am,crew,2,2,7,no,0,no,no,yes,no,8,am227CSF,0.1,bkg=sk,,
am,M,7,6,8,yes,3,yes,yes,no,yes,17,am768Sae,0.1,,,
am,M,3,4,8/7,no,0,no,yes,no,yes,7,am348Hae,0.1,,,
am,M,7,6,8,yes,3,yes,yes,no,no,17,am768S,0.1,,,
am,M,6,6,8,yes,3,no,yes,no,no,16,am668S,0.1,,,
am,M,3,4,8/7,no,0,no,yes,no,no,7,am348H,0.1,,,
am,[M],5,5,8,no,2,yes,yes,no,no,13,am558S,0.1,,,
am,[M],2,3,8/7,no,0,no,yes,no,no,5,am238H,0.1,,,
am,(M),5,5,8,yes,2,yes,yes,no,no,14,am558rS,0.1,,,
am,(M),2,3,8/7,no,0,no,yes,no,no,6,am238rH,0.1,,,
am,(M)P,5,5,8,no,2,yes,yes,no,no,14,am558pS,0.1,,,
am,(M)P,2,3,8/7,no,0,no,yes,no,no,6,am238pH,0.1,,,
am,M,4,5,8,no,2,no,yes,no,no,12,am458S,0.1,,,
am,M,2,4,8/7,no,0,no,yes,no,no,6,am248H,0.1,,,
am,M,2,2,8,no,0,no,no,yes,no,8,am228C,0.1,,,
am,M,2,2,8,no,0,no,no,yes,no,8,am228CSF,0.1,bkg=sk,,
am,broken,,,8,,,,,no,,,ams8b,0.1,,,
am,broken,,,7,,,,,no,,,ams7b,0.1,,,
am,broken,,,6,,,,,no,,,ams6b,0.1,,,
am,broken,,,0,,,,,,,,ams0b,0.1,,,
am,broken,,,7,,,,,no,,,amh7b,0.1,,,
am,broken,,,6,,,,,no,,,amh6b,0.1,,,
am,broken,,,5,,,,,no,,,amh5b,0.1,,,
am,broken,,,0,,,,,,,,amh0b,0.1,,,
am,broken,,,8,,,,,yes,,,amc8b,0.1,,,
am,broken,,,7,,,,,yes,,,amc7b,0.1,,,
am,broken,,,8,,,,,yes,,,amcSF8b,0.1,bkg=sk,,
am,broken,,,7,,,,,yes,,,amcSF7b,0.1,bkg=sk,,
am,?C,,,,,,,,,,,amqcloak,0.1,,,
am,?,,,,,,,,,,,amqmark,0.1,,,
am,?58,,,,,,,,,,,amqmark58,0.1,,,
am,?me,,,,,,,,,,,amqmarkme,0.1,,,
am,?roi,,,,,,,,,,,amNoRoi,0.1,,,
am,none,,,,,,,,,,,am000H,0.1,,,
am,none,,,,,,,,,,,am000S,0.1,,,
am,none,,,,,,,,,,,amblank12,0.1,,,
am,none,,,,,,,,,,,amblank58,0.1,counter_size=60,,
am,none,,,,,,,,,,,amKilroy,0.1,,,
us,(E),6,6,8,yes,3,no,yes,yes,no,17,us668sq(circledE)KFW,0.1,,,
us,broken,,,8,,,,,yes,,,us668sq(circledE)KFW-bkn,0.1,,,
us,(E),3,4,8/7,no,0,no,yes,yes,no,8,us348hs(circledE)KFW,0.1,,,
us,broken,,,7,,,,,yes,,,us348hs(circledE)KFW-bkn,0.1,,,
us,P,6,6,7,yes,3,no,yes,no,no,14,us667sq(para)KFW,0.1,,,
us,broken,,,8,,,,,no,,,us667sq(para)KFW-bkn,0.1,,,
us,P,3,4,7,no,0,no,yes,no,no,6,us347hs(para)KFW,0.1,,,
us,broken,,,7,,,,,no,,,us347hs(para)KFW-bkn,0.1,,,
us,[2],4,4,6/7,no,0,no,no,no,no,6,us446sq(squared2)KFW,0.1,,,
us,broken,,,7,,,,,no,,,us446sq(squared2)KFW-bkn,0.1,,,
us,[2],2,3,6,no,0,no,no,no,no,3,us236hs(squared2)KFW,0.1,,,
us,broken,,,6,,,,,no,,,us236hs(squared2)KFW-bkn,0.1,,,
us,C,3,3,6,no,0,no,no,no,no,3,us336sq(C)KFW,0.1,,,
us,broken,,,6,,,,,no,,,us336sq(C)KFW-bkn,0.1,,,
us,C,1,2,6/5,no,0,no,no,no,no,1,us126hs(C)KFW,0.1,,,
us,broken,,,5,,,,,no,,,us126hs(C)KFW-bkn,0.1,,,
us,M,1,2,8,no,0,no,no,yes,no,12,us128cr(tacp)KFW,0.1,,,
us,broken,,,8,,,,,yes,,,us128cr(tacp)KFW-bkn,0.1,,,
us,Fn16,7,6,8,yes,3,yes,yes,no,no,,us768fn16Sq,0.1,,,
us,Fn16,2,4,8,no,0,no,yes,no,no,,us248fn16Hq,0.1,,,
