count,name,gun_type,caliber,rof_ife,breakdown,range,manhandling,target_size,dates,special,bpv,rf,notes,version,piece,r_x,overrides,limbered,svg_image_transform,reverse,comments
<b>#</b>,<b>Name</b>,<b>Type</b>,<b>CSize</b>,<b>ROF (IFE)</b>,<b>B#</b>,<b>Range</b>,<b>M#</b>,<b>TSize</b>,<b>Dates</b>,<b>Special</b>,<b>BPV</b>,<b>RF</b>,<b>Notes</b>,,,,ignore,,,,
6,M2 60mm Mortar,MTR,"<span style=""text-decoration:overline"">60</span>*",3,,3-45,–,–,40-45,"5PP, WP7<sup>5</sup>, IR, OBA†",–,–,"1†, F, N",,,,ignore,,,,
6,M19 60mm Mortar,MTR,"<span style=""text-decoration:overline"">60</span>*",2,11,2-18,–,–,44-45,"4PP, WP6<sup>5</sup>, IR",18,1.6,"2, F",,,,ignore,,,,
4,M1 81mm Mortar,MTR,"<span style=""text-decoration:overline"">81</span>*",3,,3-75,11,1,40-45,"NT, QSU, WP8",29,1.1,"3, F, N",1.0,amMTR81s,,range=$$,,,,
4,M2 4.2-in. Mortar,MTR,"<span style=""text-decoration:overline"">107</span>†",2,11,14-100,<b>10</b>,1,7/43-45†,"NT, QSU, WP10",26,1.4-1.2†,4†,1.0,amMTR107,,ma=[*]$$@sz-1.0|range=$$@sz-1.0,,,,
2,T25 155mm Mortar,MTR,"<span style=""text-decoration:overline"">155</span>*",1,11,5-57,<b>7</b>†,0,7/44-45,"NT, WP8",18,1.6,"5†, P",1.0,amMT155s,,range=$$|man=[*]$$,no_fire,,tow_na,
4,M3A1 37mm AT Gun,AT,37LL,2,,292,12,1,39-45†,"NT, QSU, C7<sup>A2+</sup>†<sup>1</sup>",30,.9-1.4†,"6†, C†<sup>1</sup>, N",1.0,amAT37LL,,,,,,
4,M1 57mm AT Gun,AT,"<span style=""text-decoration:underline"">57</span>L†",3,,247,10,1,7/43-45†,"NT, QSU, HE7<sup>J4E</sup>/7<sup>5</sup>†, D4<sup>J4+E</sup>†",33,1.3-1.0†,7†,1.0,amAT57L,,ma=[_*]$$,,,,
4,M5 3-in. AT Gun,AT,76L,1,,366,7,0,6/44-5/45†,"NT, QSU, A4<sup>4</sup>/5<sup>5</sup>†, s6<sup>5</sup>",40,1.2-1.4†,"8†, <span style=""text-decoration:line-through"">P</span>",1.0,amAT76L,,,,,,
4,T32 37mm Manpack Gun,INF,"<span style=""text-decoration:overline"">37</span>*",2,11,,–,–,7/44-45†,"5PP (3PP dm)†, C5†<sup>1</sup>, crewed†<sup>2</sup>",26,1.6,"9†, C†<sup>1</sup>, D†<sup>2</sup>, F",,,,ignore,,,,
4,M18 57mm Recoilless Rifle,RCL,"<span style=""text-decoration:overline"">57</span>",1,11,110,–,–,3-6/45†,"3PP, H7, WP6, crewed†<sup>1</sup>",29,1.6,"10, D†<sup>1</sup>, E†",,,,ignore,,,,
4,M20 75mm Recoilless Rifle,RCL,"<span style=""text-decoration:overline"">75</span>",1,,160,–,–,3-6/45†,"5PP, H7, WP7, crewed†<sup>1</sup>",36,1.6,"11, D†<sup>1</sup>, E†",,,,ignore,,,,
4,M1A1 75mm Pack Howitzer,ART,"<span style=""text-decoration:overline"">75</span>*",2,,218,10,1,41-45†,"NT, QSU, H7, WP8, C4<sup>4+</sup>†<sup>1</sup>",33,1.5-1.1†,"12†, C†<sup>1</sup>, F",1.0,amAR75s,,,,,,
2,M1897A2 75mm Gun,ART,75,1,,309,8,0,17-4/42,"NT, QSU, WP8",32,1.3,"13, P",1.0,amAR75,,,,,,
4,M2A1 105mm Howitzer,ART,"<span style=""text-decoration:overline"">105</span>",1,,286,<b>7</b>,0,8/42-45†,"NT, H6, s7, WP8, C7<sup>4+P</sup>†<sup>1</sup>",34,1.2-1.0†,"14†, C†<sup>1</sup>, N",1.0,amAR105,,,no_fire,,,
4,M3 105mm Howitzer,ART,"<span style=""text-decoration:overline"">105</span>*",1,,166,<b>10</b>,0,9/43-45†,"NT, H7, s7, WP8, C7<sup>P</sup>†<sup>1</sup>",35,1.4-1.0†,"15†, C†<sup>1</sup>",1.0,amAR105s,,,no_fire,,,
2,M1 4.5-in. Gun,ART,"<span style=""text-decoration:overline"">114</span>",,,480,<b>3</b>,-1,10/43-5/45†,NT,28,1.6-1.5†,"16†, <span style=""text-decoration:line-through"">P</span>",1.0,amAR114,,,no_fire,,,
2,M1918 155mm Howitzer,ART,"<span style=""text-decoration:overline"">155</span>*",,11,281,<b>5</b>,-1,17-45†,"NT, s7<sup>3+</sup>, WP8",37,1.2-1.4†,"17†, N",1.0,amAR155s,,,no_fire,,,
2,M1 155mm Howitzer,ART,"<span style=""text-decoration:overline"">155</span>",,,372,<b>3</b>,-1,7/43-45†,"NT, s7, WP8",40,1.5-1.2†,"18†, N",1.0,amAR155_,,,no_fire,,,
