nationality,values,armor,assault_engineer,broken,wounded,piece,version,overrides,svg_image_transform,comments
am,10-3,no,no,no,no,amL103,0.1,,,
am,10,no,no,yes,no,amL103b,0.1,,,
am,10-2,no,no,no,no,amL102,0.1,,,
am,10,no,no,yes,no,amL102b,0.1,,,
am,9-2,no,no,no,no,amL92,0.1,,,
am,9,no,no,yes,no,amL92b,0.1,,,
am,9-1,no,no,no,no,amL91,0.1,,,
am,9,no,no,yes,no,amL91b,0.1,,,
am,8-1,no,no,no,no,amL81,0.1,,,
am,8,no,no,yes,no,amL81b,0.1,,,
am,8-0,no,no,no,no,amL80,0.1,,,
am,8,no,no,yes,no,amL80b,0.1,,,
am,7-0,no,no,no,no,amL70,0.1,,,
am,7,no,no,yes,no,amL70b,0.1,,,
am,6+1,no,no,no,no,amL61,0.1,,,
am,6,no,no,yes,no,amL61b,0.1,,,
am,1-4-9,no,no,no,no,amHero,0.1,,,
am,1-3-8,no,no,no,yes,amHerob,0.1,,,
am,0-0-9,no,no,no,no,amL009,0.1,,,
am,0-0-8,no,no,no,yes,amL009b,0.1,,,
am,10-2,yes,no,no,no,amal102,0.1,,,
am,9-2,yes,no,no,no,amal92,0.1,,,
am,9-1,yes,no,no,no,amal91,0.1,,,
am,8-1,yes,no,no,no,amal81,0.1,,,
am,6+1,yes,no,no,no,amal61,0.1,,,
am,_aleader,,,,,amalb,0.1,,,
am,Sniper,,,,,amSniper,0.1,counter_size=60,,
am,Sniper,,,,,amSnS,0.1,opacity=0.33,,
am,,,,,,amBU1,0.1,ignore|copy,,
am,,,,,,amBU2,0.1,ignore|copy,,
am,,,,,,amBU3,0.1,ignore|copy,,
am,,,,,,amBU4,0.1,ignore|copy,,
am,,,,,,amBU5,0.1,ignore|copy,,
am,,,,,,amBU6,0.1,ignore|copy,,
am,,,,,,amCE1,0.1,ignore|copy,,
am,,,,,,amCE2,0.1,ignore|copy,,
am,,,,,,amCE3,0.1,ignore|copy,,
am,,,,,,amCE4,0.1,ignore|copy,,
am,,,,,,amCE5,0.1,ignore|copy,,
am,,,,,,amCE6,0.1,ignore|copy,,
am,NtBu,,,,,amBUnt,0.1,ignore,,
am,CrewPass,,,,,amCEcBUp,0.1,ignore,,
am,NtCe,,,,,amCEnt,0.1,ignore,,
