nationality,counter,value,range,spraying_fire,rof,pp,breakdown,repair,leadership,piece,version,overrides,svg_image_transform,comments
am,dmART,75mm,,,,5,,,,amART75dm,0.1,,,
am,dmART,75mm,,,,5,X,,,amART75dmb,0.1,,,
am,ATR,1,12,,,1,,,,amATR,0.1,,,
am,Malf,,,,,,,1/6,,amATRb,0.1,,,
am,BAZ43,8,4,,,1@24.0:24.0,X10,,,amBAZ43,0.1,extra=13TK,,
am,_baz,,,,,,,,,amBAZ43b,0.1,,,
am,BAZ44,8,4,,,1@24.0:24.0,X11,,,amBAZ44,0.1,extra=16TK,,
am,_baz,,,,,,,,,amBAZ44b,0.1,,,
am,BAZ45,8,5,,,1@24.0:24.0,X11,,,amBAZ45,0.1,extra=16TK!WP6@E:44.5:19.00,,
am,_baz,,,,,,,,,amBAZ45b,0.1,,,
am,DC,30,1,,,1,X12,,?,amDC,0.1,,,
am,_dc,,,,,,,,,amDCb,0.1,,,
am,FT,24,1,,,1,X10,,?,amFT,0.1,,,
am,_ft,,,,,,,,,amFTb,0.1,,,
am,LMG,2,6,yes,1,1,B11,,,amLMG,0.1,,,
am,Malf,,,,,,,1/6,,amLMGb,0.1,,,
am,LMG,2,6,yes,1,2,B11,,,amLMG2,0.1,,,
am,Malf,,,,,,,1/6,,amLMG2b,0.1,,,
am,MMG,4,10,yes,2,3,,,,amMMG,0.1,,,
am,Malf,,,,,,,2/6,,amMMGb,0.1,,,
am,dmMMG,,,,,2@34.0:24.0,,,,amMMGdm,0.1,,,
am,dmMMG,,,,,2@34.0:24.0,X,,,amMMGdmb,0.1,,,
am,HMG,6,12,yes,3,5,,,,amHMG,0.1,,,
am,Malf,,,,,,,3/6,,amHMGb,0.1,,,
am,dmHMG,,,,,3@40.0:24.0,,,,amHMGdm,0.1,,,
am,dmHMG,,,,,3@40.0:24.0,X,,,amHMGdmb,0.1,,,
am,HMG,8,16,yes,3,5,,,,amHMG50,0.1,extra=.50@E:44.5:33.0,,
am,Malf,,,,,,,2/6,,amHMG50b,0.1,,,
am,dmHMG,,,,,3@34.0:24.0,,,,amHMG50dm,0.1,extra=.50@E:44.5:18.0,,
am,dmHMG,,,,,3@34.0:24.0,X,2/6,,amHMG50dmb,0.1,extra=.50@E:44.5:18.0,,
am,INF,"<tspan style=""text-decoration:overline"">37</tspan>&#x273D;",,,2,5,B11,,,amINF,0.1,,,
am,Malf,,,,,,,1/6,,amINFb,0.1,,,
am,dmINF,37mm,,,,3@34.0:24.0,,,,amINFdm,0.1,,,
am,dmINF,37mm,,,,3@34.0:24.0,X,,,amINFdmb,0.1,,,
am,dmMTR,81mm,,,,5,,,,amMTR81dm,0.1,,,
am,dmMTR,81mm,,,,5,X,,,amMTR81dmb,0.1,,,
am,MTR,"<tspan style=""text-decoration:overline"">60</tspan>&#x273D;",[3-45],,3,5,,,,amMTR,0.1,extra=M2@S:2.0:8.0,,
am,Malf,,,,,,,1/6,,amMTRb,0.1,,,
am,dmMTR,60mm,,,,3,,,,amMTRdm,0.1,extra=M2@E:44.5:18.0,,
