count,name,radioless,weight,bpv,rf,dates,size,af,ta,ot,cs,mp,gp,gt,ma,rof_ife,breakdown,intensive_fire,bmg,cmg,aamg,sa,ammunition,smoke_depletion,smoke_discharger,transport,notes,version,piece,overrides,svg_image_transform,reverse,comments
<b>#</b>,<b>Name & <i>Type</i></b>,<b>®</b>,<b>WGT</b>,<b>BPV</b>,<b>RF</b>,<b>Dates</b>,<b>Size</b>,<b>AF</b>,<b>TA</b>,<b>OT</b>,<b>CS</b>,<b>MP</b>,<b>GP</b>,<b>GT</b>,<b>MA</b>,<b>ROF</b>,<b>B#</b>,<b>IF</b>,<b>BMG</b>,<b>CMG</b>,<b>AAMG</b>,<b>SA</b>,<b>Am</b>,<b>s#</b>,<b>sD#</b>,<b>PP/T#</b>,<b>Notes</b>,,,ignore,,,
5,M2A4 <i>LT</i>,,10,42,1.3,8-12/42,0,3,,,4,18,,ST,T37LL,,,,4†,4,2,,C10<sup>P</sup>†<sup>1</sup>,,,,"1, B†, C†<sup>1</sup>, P",1.0,M2A4,nat=am|fixed_bmg,,,
5,M3 <i>LT</i>,,12.5,44,1.3,41-5/43†,0,4/3,+SR,,4,18,,ST,T37LL,1,,,4†<sup>1</sup>,4,2,,C7<sup>A2+</sup>†<sup>2</sup>,,,,"2†, B†<sup>1</sup>, C†<sup>2</sup>, N",1.0,M3LT,nat=am|fixed_bmg,,,
6,M3A1 <i>LT</i>,,13,45,1.2-1.5†,9/42-44†,+1,4/3,+SR,,4,18,,ST,T37LL,1,,,2,4,2,†<sup>1</sup>,C7†<sup>2</sup>,,,,"3†, C†<sup>2</sup>, F†<sup>1</sup>, G, N",1.0,M3A1,nat=am,,,
3,M3A1 Satan <i>LTv</i>,,13,65,1.4,6/44-6/45,+1,4/3,+SR,,4,18,,ST,<b>TF32</b>,,<b>X11</b>,,2,4,,,,,,,"4, P",1.0,M3A1sat,nat=am,,,
6,M5A1 <i>LT</i>,,15.5,46,1.3-1.1†,11/42-45†,+1,6/3,+SR,,4,17,,ST,T37LL,1,,,2,4,2,†<sup>1</sup>,C7†<sup>2</sup>,,,,"5†, C†<sup>2</sup>, F†<sup>1</sup>, G, N, Y",1.0,M5A1,nat=am,,,
5,M24 <i>LT</i>,,17.5,71,1.6-1.3†,12/44-5/45,0,6/3,+SR,,5,18,,T,T75,1†<sup>1</sup>,,,2,4,4,,,5; WP7,sM8,,"6†, G, <span style=""text-decoration:line-through"">P</span>, R†<sup>1</sup>",1.0,M24,nat=am|multi_hits,,,
6,M3 <i>MT</i>,,28,64,1.0,11/42-11/43†,-1,8/4,+SR,,7,13,,T-NT,T37LL,1†,11†,,2†<sup>1</sup>,4,2†,B75,C5†<sup>2</sup>,,,,"7†, B†<sup>1</sup>, C†<sup>2</sup>, G, N",1.0,M3MT,nat=am|mb=$$<*>|fixed_bmg|mgs=2/4/2<*>|rof=$$<*>,,,
6,M4 <i>MT</i>,,30.5,68,1.0,7/43-45†,-1,8/4,+SR,,<b>5</b>,13,,T,T75,1†<sup>1</sup>,,,2,4,4,†<sup>2</sup>,,5<sup>J4+</sup>; WP7<sup>J4+</sup>†<sup>3</sup>,sM5<sup>4+</sup>,,"8†, F†<sup>2</sup>, G, R†<sup>1</sup>, Y, BB†<sup>3</sup>",1.0,M4,nat=am|multi_hits,"scale(1.25) translate(-8, -8) rotate(60, 30, 30)",,
6,M4A1 <i>MT</i>,,30.5,70,1.4-.9†,12/42-45†,-1,11/4,-F/+SR,,<b>5</b>,13,,T,T75,1†<sup>1</sup>,,,2,4,4,†<sup>2</sup>,,5<sup>J4+</sup>; WP7<sup>J4+</sup>†<sup>3</sup>,sM5<sup>4+</sup>,,"9†, F†<sup>2</sup>, G, N, R†<sup>1</sup>, Y, BB†<sup>3</sup>",1.0,M4A1,nat=am|multi_hits,,,
