nationality,class,firepower,range,morale,assault_fire,smoke,spraying_fire,elr,self_rally,assault_engineer,bpv,piece,version,overrides,svg_image_transform,comments
ax,AE,4,4,7,no,3,no,no,no,yes,9,ax447Sae,0.1,,,
ax,AE,2,4,7/6,no,0,no,no,no,yes,4,ax247Hae,0.1,,,
ax,E,4,4,7,no,1,no,no,no,no,8,ax447S,0.1,,,
ax,E,2,4,7/4,no,0,no,no,no,no,3,ax247H,0.1,,,
ax,[1],5,3,7/6,yes,1,no,no,no,no,9,ax537S,0.1,,,
ax,[1],2,2,7/5,no,0,no,no,no,no,3,ax227H,0.1,,,
ax,1,3,4,7/6,no,0,no,no,no,no,6,ax347S,0.1,,,
ax,1,1,3,7/5,no,0,no,no,no,no,2,ax137H,0.1,,,
ax,C,3,3,6/5,no,0,no,no,no,no,3,ax336S,0.1,,,
ax,C,1,2,6/4,no,0,no,no,no,no,1,ax126H,0.1,,,
ax,broken,,,7,,,,,no,,,axs7b,0.1,,,
ax,broken,,,6,,,,,no,,,axs6b,0.1,,,
ax,broken,,,5,,,,,no,,,axs5b,0.1,,,
ax,broken,,,0,,,,,no,,,axs0b,0.1,,,
ax,broken,,,6,,,,,no,,,axh6b,0.1,,,
ax,broken,,,5,,,,,no,,,axh5b,0.1,,,
ax,broken,,,4,,,,,no,,,axh4b,0.1,,,
ax,broken,,,0,,,,,no,,,axh0b,0.1,,,
ax,broken,,,7,,,,,yes,,,axc7b,0.1,,,
ax,broken,,,5,,,,,yes,,,axc5b,0.1,,,
ax,crew,2,2,7,no,0,no,no,yes,no,6,ax227C,0.1,,,
ax,crew,1,2,6/5,no,0,no,no,yes,no,5,ax126C,0.1,,,
ax,?C,,,,,,,,,,,axqcloak,0.1,,,
ax,?,,,,,,,,,,,axqmark,0.1,,,
ax,?58,,,,,,,,,,,axqmark58,0.1,,,
ax,?me,,,,,,,,,,,axqmarkme,0.1,,,
ax,?roi,,,,,,,,,,,axNoRoi,0.1,,,
ax,none,,,,,,,,,,,ax000H,0.1,,,
ax,none,,,,,,,,,,,ax000S,0.1,,,
ax,none,,,,,,,,,,,axblank12,0.1,,,
ax,none,,,,,,,,,,,axblank58,0.1,counter_size=60,,
hu,AE,4,4,7,no,3,no,no,no,yes,9,hu447Sae,0.1,,,
hu,AE,2,4,7/6,no,0,no,no,no,yes,4,hu247Hae,0.1,,,
hu,E,4,4,7,no,1,no,no,no,no,8,hu447S,0.1,,,
hu,E,2,4,7/4,no,0,no,no,no,no,3,hu247H,0.1,,,
hu,1,3,4,7/6,no,0,no,no,no,no,6,hu347S,0.1,,,
hu,1,1,3,7/5,no,0,no,no,no,no,2,hu137H,0.1,,,
hu,C,3,3,6/5,no,0,no,no,no,no,3,hu336S,0.1,,,
hu,C,1,2,6/4,no,0,no,no,no,no,1,hu126H,0.1,,,
hu,broken,,,7,,,,,no,,,hus7b,0.1,,,
hu,broken,,,6,,,,,no,,,hus6b,0.1,,,
hu,broken,,,5,,,,,no,,,hus5b,0.1,,,
hu,broken,,,0,,,,,no,,,hus0b,0.1,,,
hu,broken,,,6,,,,,no,,,huh6b,0.1,,,
hu,broken,,,5,,,,,no,,,huh5b,0.1,,,
hu,broken,,,4,,,,,no,,,huh4b,0.1,,,
hu,broken,,,0,,,,,no,,,huh0b,0.1,,,
hu,broken,,,7,,,,,yes,,,huc7b,0.1,,,
hu,broken,,,6,,,,,yes,,,huc6b,0.1,,,
hu,broken,,,5,,,,,yes,,,huc5b,0.1,,,
hu,crew,2,2,7,no,0,no,no,yes,no,6,hu227C,0.1,,,
hu,crew,1,2,7/6,no,0,no,no,yes,no,6,hu127C,0.1,,,
hu,crew,1,2,6/5,no,0,no,no,yes,no,5,hu126C,0.1,,,
hu,none,,,,,,,,,,,hu000H,0.1,,,
hu,none,,,,,,,,,,,hu000S,0.1,,,
hu,none,,,,,,,,,,,hublank12,0.1,,,
hu,none,,,,,,,,,,,hublank58,0.1,counter_size=60,,
