count,name,gun_type,caliber,rof_ife,breakdown,range,manhandling,target_size,dates,special,bpv,rf,notes,version,piece,r_x,overrides,limbered,svg_image_transform,reverse,comments
<b>#</b>,<b>Name</b>,<b>Type</b>,<b>CSize</b>,<b>ROF (IFE)</b>,<b>B#</b>,<b>Range</b>,<b>M#</b>,<b>TSize</b>,<b>Dates</b>,<b>Special</b>,<b>BPV</b>,<b>RF</b>,<b>Notes</b>,,,,ignore,,,,
<b>ROMANIAN</b>,,,,,,,,,,,,,,,,,announce,,,,
4,Brandt M35,MTR,"<span style=""text-decoration:overline"">60</span>*",3,,3-42,,,39-45,"5PP, IR",,,"1, A",,,,ignore,,,,
4,Bofors 37mm,AT,"<span style=""text-decoration:underline"">37</span>L",3,,177,12,1,41-45,"NT, QSU",25,1.3-.9†,"2†, A",1.0,roAT37L,,nat=ax,,,,
4,45mm PTP obr. 32,AT,45L,3,,110,11,1,8/41-8/44,"NT, QSU",27,1.4-1.2†,3†,1.0,roAT45L,,nat=ax,,,,
3,Resita M43,AT,75L†,2,,300,8,0,43-45,"NT, QSU, Blk TH, AP TK#18†",45,1.5-1.1†,4†,1.0,roAT75L,,nat=ax,,,black_th,
2,76.2mm PaK 36(r),AT,76LL†,2,,340,8,0,8/41-42,"NT, QSU, s7",38,1.6,"5, K†",1.0,roAT76LL,,nat=ax,,,,
4,Breda 47,INF,"<span style=""text-decoration:overline"">47</span>",3,,107,12,1,41-45,"NT, QSU, no Gunshield",30,1.1-1.5†,"6†, A",1.0,roINF47,,nat=ax,,,,
4,75mm PP obr. 27,INF,"<span style=""text-decoration:overline"">75</span>*",2,,214,8,1,43-9/44,"NT, QSU, H6, s8",27,1.2,"7, A",1.0,roINF75s,,nat=ax,,,,
4,75 M mle 28,ART,75*,1,,225,9,0,39-45,"NT, QSU, AP5, s5, h-d",23,1.3,"8, A",1.0,roAR75s1,,nat=ax,,,,
4,Skoda M14/34,ART,75*,2,,254,8,0,39-45,"NT, AP6",25,1.1,"9†, A†",1.0,roAR75s2,,nat=ax,no_fire,,,
2,76.2mm P obr. 00/02,ART,"<span style=""text-decoration:overline"">76</span>*",1,11,219,8,0,41-42,"NT, QSU, s7, h-d",21,1.6,10,1.0,roAR76s,,nat=ax,,,,
4,76.2mm P obr. 02/30,ART,76,1,,310,7,0,39-43,"NT, QSU, s7, h-d",27,1.2,11,1.0,roAR76,,nat=ax,,,,
4,76.2mm P obr. 39(r),ART,76L†,2,,332,9,0,42-45,"NT, QSU, s5",32,1,"12, K†",1.0,roAR76L,,nat=ax,,,,
2,s 10cm K 18(g),ART,105L,1,11,475,<b>2</b>,-1,39-43,"NT, s5, NM",34,1.5,"13, E",1.0,roAR105L1,,nat=ax|ma=[*]$$,,,black_th,
4,Skoda M39(D9),ART,"<span style=""text-decoration:overline"">105</span>",1,,350,6,0,39-45,NT,32,1.3,14,1.0,roAR105,,nat=ax,no_fire,,,
4,Canon de 105L mle 36S,ART,"<span style=""text-decoration:overline"">105</span>L",,,410,<b>4</b>,-1,39-45,NT,27,1.2,15,1.0,roAR105L2,,nat=ax,no_fire,,,
2,Canon mle 10/12,ART,"<span style=""text-decoration:overline"">107</span>",1,11,409,<b>7</b>,0,43-9/44,"NT, s4, h-d",26,1.4,16,1.0,roAR107,,nat=ax,no_fire,,,
2,OQF 4.5in,ART,"<span style=""text-decoration:overline"">114</span>*",1,11,151,<b>7</b>,0,43-45,"NT, s4",25,1.6,17,1.0,roAR114s,,nat=ax,no_fire,,,
2,Skoda M28 NOa,ART,"<span style=""text-decoration:overline"">150</span>L",,,460,<b>-4</b>,-1,39-45,"ST, NM, no IF",34,1.6,18,1.0,roAR150L,,nat=ax|ma=[*]$$,,,,
2,Skoda M33 (K1),ART,150,,,377,4,-1,39-45,NT,35,1.4,19,1.0,roAR150,,"nat=ax|ma=<span style=""text-decoration:overline"">150</span>",no_fire,,,
2,CA mle 38,AA,25LL,3 (6),11,187,9,1,39-45,T,26,1.3,20,1.0,roAA25LL,,nat=ax,no_fire,,,
4,Vickers/Resita M36/39,AA,75L,2,,300,<b>6</b>,-1,41-45,T,39,1.5-1.3†,21†,1.0,roAA75L,,nat=ax,no_fire,,,
2,Kanon PL vz. 12/20,AA,90L,2,11,450,<b>-2</b>,-1,39-45,"T, NM",44,1.6,22,1.0,roAA90L,,nat=ax,,,,
<b>HUNGARIAN</b>,,,,,,,,,,,,,,,,,announce,,,,
<i>4</i>,5cm leGrW 39(h),MTR,"<span style=""text-decoration:overline"">50</span>",2,11,2-11,,,41-45,5PP,,,"23, A",,,,ignore,,,,
<i>4</i>,40mm MAVAG 40 M,AT,40L,3,,120,12,+1,41-45,"NT, QSU, H7[9]†",32,1.2,24†,1.0,huAT40L,,nat=hu|ammo=H7[9],,,,
<i>4</i>,Skoda M05/08,ART,76,2,11,175,9,0,41-45,NT,30,1.3,"25, A",1.0,huAR76,,nat=hu,no_fire,,,
<i>2</i>,105mm MAVAG M40,ART,105,1,,260,8,0,41-45,"NT, h-d",28,1.5,26,1.0,huAR1052,,nat=hu,no_fire,,,
<i>4</i>,Bofors 80mm M29/38,AA,80L†,2,,200,<b>4</b>,-1,41-45,"T, LF [80†<sup>1</sup>, 1 ROF, B11]",37,1.1,"27†, G†<sup>1</sup>",1.0,huAA80L,,nat=hu|ma=$$,ma=<*>80|mb=B11|rof=1,,,
