nationality,values,armor,assault_engineer,broken,wounded,piece,version,overrides,svg_image_transform,comments
ax,10-3,no,no,no,no,axL103|huL103@hu,0.1,,,
ax,10,no,no,yes,no,axL103b|hu103b@hu,0.1,,,
ax,10-2,no,no,no,no,axL102|huL102@hu,0.1,,,
ax,10,no,no,yes,no,axL102b|huL102b@hu,0.1,,,
ax,9-2,no,no,no,no,axL92|huL92@hu,0.1,,,
ax,9,no,no,yes,no,axL92b|huL92b@hu,0.1,,,
ax,9-1,no,no,no,no,axL91|huL91@hu,0.1,,,
ax,9,no,no,yes,no,axL91b|huL91b@hu,0.1,,,
ax,8-1,no,no,no,no,axL81|huL81@hu,0.1,,,
ax,8,no,no,yes,no,axL81b|huL81b@hu,0.1,,,
ax,8-0,no,no,no,no,axL80|huL80@hu,0.1,,,
ax,8,no,no,yes,no,axL80b|huL80b@hu,0.1,,,
ax,7-0,no,no,no,no,axL70|huL70@hu,0.1,,,
ax,7,no,no,yes,no,axL70b|huL70b@hu,0.1,,,
ax,6+1,no,no,no,no,axL61|huL61@hu,0.1,,,
ax,6,no,no,yes,no,axL61b|huL61b@hu,0.1,,,
ax,1-4-9,no,no,no,no,axHero|huHero@hu,0.1,,,
ax,1-3-8,no,no,no,yes,axHerob|huHerob@hu,0.1,,,
ax,10-2,yes,no,no,no,axal102|hual102@hu,0.1,,,
ax,9-2,yes,no,no,no,axal92|hual92@hu,0.1,,,
ax,9-1,yes,no,no,no,axal91|hual91@hu,0.1,,,
ax,8-1,yes,no,no,no,axal81|hual81@hu,0.1,,,
ax,6+1,yes,no,no,no,axal61|hual61@hu,0.1,,,
ax,AL_back,,,,,axalb|hualb@hu,0.1,,,
ax,Sniper,,,,,axSniper|huSniper@hu,0.1,counter_size=60,,
ax,Sniper,,,,,axSnS|huSns@hu,0.1,opacity=0.33,,
ax,,,,,,axBU1,0.1,ignore|copy,,
ax,,,,,,axBU2,0.1,ignore|copy,,
ax,,,,,,axBU3,0.1,ignore|copy,,
ax,,,,,,axBU4,0.1,ignore|copy,,
ax,,,,,,axBU5,0.1,ignore|copy,,
ax,,,,,,axBU6,0.1,ignore|copy,,
ax,,,,,,axCE1,0.1,ignore|copy,,
ax,,,,,,axCE2,0.1,ignore|copy,,
ax,,,,,,axCE3,0.1,ignore|copy,,
ax,,,,,,axCE4,0.1,ignore|copy,,
ax,,,,,,axCE5,0.1,ignore|copy,,
ax,,,,,,axCE6,0.1,ignore|copy,,
ax,NtBu,,,,,axBUnt,0.1,ignore,,
ax,NtCe,,,,,axCEnt,0.1,ignore,,
