nationality,counter,value,range,spraying_fire,rof,pp,breakdown,repair,leadership,piece,version,overrides,svg_image_transform,comments
ax,ATR,1,12,,,1,,,,axATR,0.1,,,
ax,Malf,,,,,,,1/6,,axATRb,0.1,,,
ax,,,,,,,,,,axATR20,0.1,,,
ax,Malf,,,,,,,1/6,,axATR20b,0.1,,,
ax,DC,30,1,,,1,X12,,?,axDC,0.1,,,
ax,_dc,,,,,,,,,axDCb,0.1,,,
ax,FT,24,1,,,1,X10,,?,axFT,0.1,,,
ax,_ft,,,,,,,,,axFTb,0.1,,,
ax,LMG,2,7,yes,1,1,B11,,,axLMG,0.1,,,
ax,Malf,,,,,,,1/6,,axLMGb,0.1,,,
ax,LMG(f),2,6,yes,1,1,B11,,,axLMGf,0.1,,,
ax,Malf,,,,,,,1/6,,axLMGfb,0.1,,,
ax,LMG(g),3,8,yes,1,1,,,,axLMGg,0.1,,,
ax,Malf,,,,,,,1/6,,axLMGgb,0.1,,,
ax,LMG(i),2,5,yes,1,1,B11,,,axLMGi,0.1,,,
ax,Malf,,,,,,,1/6,,axLMGib,0.1,,,
ax,MMG,4,10,yes,2,4,B11,,,axMMG,0.1,,,
ax,Malf,,,,,,,2/6,,axMMGb,0.1,,,
ax,dmMMG,,,,,2@35.0:24.0,,,,axMMGdm,0.1,,,
ax,dmMMG,,,,,2@35.0:24.0,X,,,axMMGdmb,0.1,,,
ax,HMG,6,12,yes,3,5,B11,,,axHMG,0.1,,,
ax,Malf,,,,,,,3/6,,axHMGb,0.1,,,
ax,dmHMG,,,,,3@40.0:24.0,,,,axHMGdm,0.1,,,
ax,dmHMG,,,,,3@40.0:24.0,X,,,axHMGdmb,0.1,,,
ax,dmMTR,81mm,,,,5,,,,axMTR81dm,0.1,,,
ax,dmMTR,81mm,,,,5,X,,,axMTR81dmb,0.1,,,
ax,dmMTR(f),81mm,,,,5,,,,axMTR81fdm,0.1,,,
ax,dmMTR(f),81mm,,,,5,X,,,axMTR81fdmb,0.1,,,
ax,dmMTR(g),81mm,,,,5,,,,axMTR81gdm,0.1,,,
ax,dmMTR(g),81mm,,,,5,X,,,axMTR81gdmb,0.1,,,
ax,dmMTR(i),81mm,,,,5,,,,axMTR81idm,0.1,,,
ax,dmMTR(i),81mm,,,,5,X,,,axMTR81idmb,0.1,,,
ax,MTR,"<tspan style=""text-decoration:overline"">50</tspan>&#x273D;",[2-13],,3,5,B11,,,axMTR,0.1,,,
ax,Malf,,,,,,,1/6,,axMTRb,0.1,,,
ax,dmMTR,50mm,,,,3,,,,axMTRdm,0.1,,,
ax,dmMTR,50mm,,,,3,X,,,axMTRdmb,0.1,,,
ax,MTR(f),"<tspan style=""text-decoration:overline"">60</tspan>&#x273D;",[3-42],,3,5,,,,axMTR60f,0.1,,,
ax,Malf,,,,,,,1/6,,axMTR60fb,0.1,,,
ax,dmMTR(f),60mm,,,,3,,,,axMTR60fdm,0.1,,,
ax,dmMTR(f),60mm,,,,3,X,,,axMTR60fdmb,0.1,,,
ax,MTR(f),"<tspan style=""text-decoration:overline"">50</tspan>",[2-11],,2,2,B11,,,axMTRf,0.1,,,
ax,Malf,,,,,,,1/6,,axMTRfb,0.1,,,
ax,MTR(r),"<tspan style=""text-decoration:overline"">50</tspan>&#x273D;",[3-20],,3,4,,,,axMTRr,0.1,,,
ax,Malf,,,,,,,1/6,,axMTRrb,0.1,,,
ax,dmMTR(r),50mm,,,,2,,,,axMTRrdm,0.1,,,
