count,name,radioless,weight,bpv,rf,dates,size,af,ta,ot,cs,mp,gp,gt,ma,rof_ife,breakdown,intensive_fire,bmg,cmg,aamg,sa,ammunition,smoke_depletion,smoke_discharger,transport,notes,version,piece,overrides,svg_image_transform,reverse,comments
<b>#</b>,<b>Name & <i>Type</i></b>,<b>®</b>,<b>WGT</b>,<b>BPV</b>,<b>RF</b>,<b>Dates</b>,<b>Size</b>,<b>AF</b>,<b>TA</b>,<b>OT</b>,<b>CS</b>,<b>MP</b>,<b>GP</b>,<b>GT</b>,<b>MA</b>,<b>ROF</b>,<b>B#</b>,<b>IF</b>,<b>BMG</b>,<b>CMG</b>,<b>AAMG</b>,<b>SA</b>,<b>Am</b>,<b>s#</b>,<b>sD#</b>,<b>PP/T#</b>,<b>Notes</b>,,,ignore,,,
<b>ROMANIAN</b>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,announce,,,
4,R-1(t) <i>Tt</i>,•,4.2,22,1.4-1.5†,39-45,+1,1/0,,,2,13,,1MT,CMG,1,,,2†,4,,,,,,,"1†, E",1.0,roR1,nat=ax,,,
4,R-35/45(f) <i>TD</i>,•,11.7,27,1.4,2/43-45,+1,4,+FSR,,2,<b>8</b>,L,1MT,T45L,,<i>11</i>,,,,,,,,,,"2, D",1.0,roR35,nat=ax,,,
4,TACAM T-60(r) <i>TD</i>,,9,49,1.5-1.4†,6/43-9/44,+1,3/2/★T,-FSR,•,3,13,,NT,B76LL†,1,,,,,2,,,,,,"3†, E",1.0,roT60,nat=ax|qual=a,,,
2,TACAM T-60A(r) <i>TD</i>,,9.5,49,1.6,6/43-9/44,+1,6/3/★T,-FSR,•,3,13,,NT,B76LL†,1,,,,,2,,,,,,"3†, E",1.0,roT60A,nat=ax|qual=b,,,
6,TACAM R-2(r) <i>TD</i>,,13.4,45,1.4,7/44-45,0,3/1/★T,-FSR,•,3,13,,NT,B76L†,1,<i>11</i>,,,,2,,AP5,,,,"4†, E, N",1.0,roR2,nat=ax,,,
3,BA-6(r) <i>AC</i>,•,5,31,1.3-1.5†,8/41-9/44,0,1/0,+FSR,,4,<b>19</b><sup>t</sup>,,RST,T45L,1,11,,2,4,,,,,,,"5†, E",1.0,roBA6,nat=ax|qual=a,,,
3,BA-20(r) <i>AC</i>,•,3,20,1.3-1.5†,8/41-9/44,+1,0,,,3,<b>21</b><sup>t</sup>,H,1MT,CMG,1,,,,4,,,,,,,"5†, E",1.0,roBA20,nat=ax|qual=b,,,
4,Malaxa UE2 <i>APC</i>,,4,9,1.3-1.5†,39-9/44,+2,1/0,,•,<i>2</i>†<sup>1</sup>,10,L,,BMG†,1,11,,Opt 2†,,,,,,,4PP/T12†,"6†, F, I†<sup>1</sup>, J",1.0,roUE,nat=ax|ma=|pp=$$<*>,,,
<b>HUNGARIAN</b>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,announce,,,
6,38M Toldi I <i>LT</i>,,8.5,32,1.3,41-45,+1,2/1,-F,,3,<b>17</b>,L,ST,"T<span style=""text-decoration:underline"">20</span>L†",1,,,,4†<sup>1</sup>,†<sup>1</sup>,,,,,,"7†, A†<sup>1</sup>",1.0,hu38MTi,nat=hu|mgs=-/4/[*],,,
6,38M Toldi IIA <i>LT</i>,,9,36,1.3,4/44-45,+1,3/1,-F,,3,17,L,ST,T40†,1,,,,4†<sup>1</sup>,†<sup>1</sup>,,,,,,"8†, A†<sup>1</sup>",1.0,hu38MTiiA,nat=hu|ma=$$|mgs=-/4/[*],,,
6,40M Turan I(r) <i>MT</i>,,18,44,1.2-1.4†,3/42-45,0,6/4,-SR,,5,16,,ST,T40L,2,,,4,4,,,,,5,,"9†, E, N, Q",1.0,hu40MTi,nat=hu,,,
6,41M Turan II(r) <i>MT</i>,,19,47,1.5-1.3†,5/43-45,0,6/4,-SR,,5,15,,ST,T75*,1,,,4,4,,,AP6,7,5,,"10†, E, N, Q",1.0,hu41MTii,nat=hu,,,
4,PzKpfw VG(g) <i>MT</i>,,45.5,89,1.6,8/44-45,-1,18/6,-F,,6,15†,,ST,T75LL,1,,,3,5,2,,,,sN6,,"11†, E",1.0,huPzvG,nat=hu|ma=[*]$$,,black_th,
4,PzKpfw VIE(L)(g) <i>HT</i>,,57,91,1.6,5/44-45,-1,11/8,+F,,6,12,,ST,T88L,1,,,3,5,2,,A3<sup>4</sup>,,sN6,,"12†, E",1.0,huPzviE,nat=hu|ma=[*]$$,,black_th,
6,43M Zrinyi II <i>AG</i>,,21.5,48,1.4-1.3†,8/43-45,+1,6/2,+F,,4,14,,NT,B105,,,,,,,,,7,5,,"13†, Q",1.0,hu43MZii,nat=hu,,,
6,39M Csaba <i>AC</i>,,6,27,1.3,41-45,0,1,-SR,,4,34,,RST,"T<span style=""text-decoration:underline"">20</span>L",2,,,,4,,,,,,,14,1.0,hu39MC,nat=hu|qual=a,,,
4,40M Csaba <i>AC</i>,,6,20,1.4,41-45,0,1,-SR,,4,34,,1MT,CMG,1,,,,4,,,,,,,14,1.0,hu40MC,nat=hu|qual=b,,,
3,Marder II(g) <i>TD</i>,,11,45,1.6,9/42-8/44,0,3/1/★T,-FSR,•,<b>4</b>,13,,NT,B75L,1,,,,,,,A4<sup>3</sup>/3<sup>4</sup>; HE7,6,,,"15, E",1.0,huMii,nat=hu|ma=[*]$$,,black_th,
4,40M Nimrod <i>TD/AA</i>,,10.5,38,1.4-1.6†,5/42-45,0,1,,•,6,<b>15</b>,L,T,T40L,3 (8),,,,,†<sup>1</sup>,,H6[9]<sup>3+</sup>,,,,"16†, P†<sup>1</sup>",1.0,hu40MN,nat=hu|ma=[*]$$,,,
<b>SLOVAKIAN</b>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,announce,,,
4,T vz 33(t) <i>Tt</i>,•,2.3,20,1.3-1.2†,39-8/44,+2,1/0,-F,,2,14,L,,BMG†<sup>1</sup>,,11,,4†<sup>2</sup>,,,,,,,,"17†, K†<sup>1</sup>, E, F, G†<sup>2</sup>",1.0,slT33,nat=ax|mgs=4/-,,,
2,LT vz 34 <i>LT</i>,•,7.5,29,1.5,39-8/44,+1,1/0,-F,,2,<b>13</b>,L,RST,T37,1,,,3,3,,,,,,,18,1.0,slLT34,nat=ax,,,
2,PzKpfw IIA(g) <i>LT</i>,,9,35,1.5,11/43-8/44,+1,1,,,3,15,L,RST,T20L,2 (4),11,,,5,,,,,6,,"19, E",1.0,slPziiA,nat=ax|ma=[*]$$,,black_th,
4,LT vz 40(t) <i>LT</i>,,7.5,40,1.5-1.6†,6/41-8/44,+1,3/1,,,4,18,L,RST,CMG†<sup>1</sup>,1,,,4,6,,,,,6,,"20†, K†<sup>1</sup>, E",1.0,slLT40,nat=ax,,,
4,Marder III(t)H <i>TD</i>,,11,46,1.6,8/43-8/44,0,4/1/★T,-F,•,<b>4</b>,14,L,NT,B75L,1,<i>11</i>,,4,,,,A4<sup>3</sup>/3<sup>4</sup>; HE7,7,6,,"21†, E",1.0,slMiiiH,nat=ax|ma=[*]$$,,black_th,
2,Kfz 1(g) <i>tr</i>,,1,12,1.4,43-8/44,+2,★,,,<i>2</i>†<sup>1</sup>,30<sup>t</sup>,L†<sup>2</sup>,,AAMG†,,,,,,Opt 3†,,,,,9PP/T10,"22†, E, L†<sup>2</sup>, I†<sup>1</sup>",1.0,slKfz1,nat=ax|ma=,,,
2,SdKfz 2(g) <i>htMC</i>,,1.5,12,1.5,43-8/44,+2,★,,,<i>2</i>,22,L†<sup>1</sup>,,,,,,,,,,,,,3PP†/T10,"23†, E, L†<sup>1</sup>",1.0,slSdKfz2,nat=ax|pp=$$<*>,,,
<b>CROATIAN</b>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,announce,,,
2,TKS <i>Tt</i>,•,2.7,19,1.5,41-45,+2,1/0,-F,,2,<b>15</b>†,L,,BMG,1,11,,3†,,,,,,,,"24†, F",1.0,crTKS,nat=ax|mp=[b*]$$|mgs=3/-|qual=a,,,
2,TKS(L) <i>Tt</i>,•,2.8,21,1.5,41-45,+2,1/0,-F,,2,<b>15</b>†,L,NT,B20L,1,11,,,,,,,,,,"24†, F",1.0,crTKSL,nat=ax|mp=[b*]$$|qual=b,,,
2,L6/40(i) <i>LT</i>,,7,28,1.6,11/43-45,+1,3/1,+F,,2,<b>14</b>,L,1MT,T20L,1 (4),11,,,2,,,,,,,25,1.0,crL640,nat=ax,,,
2,wz 34-I <i>AC</i>,•,2.1,19,1.6,41-45,+1,1/0,-F,,2,<b>22</b>,L,1MT,CMG,1,,,,4,,,,,,,26,1.0,cr34i,nat=ax|qual=a,,,
2,wz 34-II <i>AC</i>,•,2.2,20,1.6,41-45,+1,1/0,-F,,2,<b>20</b>,L,1MT,T37*,,,,,,,,,,,,26,1.0,cr34ii,nat=ax|qual=b,,,
2,SMV L40 da 47/32 <i>TD</i>,,6.5,29,1.6,11/43-45,+2,3/1,,•†,3,14,L,NT,B47,2,,,,,Opt 2†<sup>1</sup>,,,,,,"27†, O†<sup>1</sup>",1.0,crSemL40,nat=ax,,,
<b>BULGARIAN</b>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,announce,,,
2,Vickers 6-Ton Mk E <i>LT</i>,•,7,29,1.6,41-42,+1,1,+F,,3,<b>14</b>,L,RST,T47*,1,<b>11</b>†,,,6,,,C5†,,,,28†,1.0,buV6E,nat=ax,,,
<b>COMMON</b>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,announce,,,
3+<i>3</i>,L3/35(i) <i>Tt</i>,•,3.5,20,1.4-1.6†,41-45,+2,1/0,,,2,13,L,,BMG†<sup>1</sup>,1,11,,4†<sup>2</sup>,,,,,,,,"29†, K†<sup>1</sup>, E, F, G†<sup>2</sup>, H, C, B",1.0,axL335|huL335@hu,nat=ax|mgs=4/-,,,
3,FT-17M(f) <i>Tt</i>,•,7,16,1.5-1.6†,39-45,+1,1/0,+FSR,,2,<b>5</b>,L,1MT,CMG,1,,•,,4,,,,,,,"30†, D, R, C",1.0,axFT17M,nat=ax|mp=[b*]$$|qual=a,,,
3,FT-17C(f) <i>Tt</i>,•,7,16,1.5-1.6†,39-45,+1,1/0,+FSR,,2,<b>5</b>,L,1MT,T37*,,,,,,,,AP9,,,,"30†, D, R, C",1.0,axFT17C,nat=ax|mp=[b*]$$|qual=b,,,
2+<i>2</i>,PzKpfw IB(g) <i>Tt</i>,,6,30,1.6,42-45,+1,1,,,2,15,L,1MT,CMG†<sup>1</sup>,1,11,,,6,,,,,6,,"31†, K†<sup>1</sup>, E, H, C",1.0,axPziB|huPziB@hu,nat=ax|mgs=-/6[*],,,
3+<i>3</i>,R-35(f) <i>LT</i>,•,10,25,1.3-1.6†,39-45,+1,4,+FSR,,2,8†,L,1MT,T37*,,,,,2†<sup>1</sup>,†<sup>1</sup>,,AP10,,,,"32†, A†<sup>1</sup>, D, E, R, H, B",1.0,axR35|huR35@hu,nat=ax|mp=$$|mgs=-/2<*>/[*],,,
3+<i>3</i>,H39(f) <i>LT</i>,•,12,26,1.6,42-45,+1,4,+FSR,,2,12,,1MT,T37*,,,,,2†<sup>1</sup>,†<sup>1</sup>,,AP10,,,,"33†, A†<sup>1</sup>, D, E, H, C, B",1.0,axH39|huH39@hu,nat=ax|mgs=-/2<*>/[*],,,
6,LT vz 35(g) <i>LT</i>,,10.5,40,1.2-1.4†,39-45,+1,3/1,,,4,14,L,ST,T37,1,,,4,4,,,,,5,,"34†, E, R, S, B",1.0,axLT35,nat=ax|ma=[*]$$,,,
6+<i>6</i>,LT vz 38(t)A <i>LT</i>,,9.5,43,1.3-1.6†,39-45,+1,3/1,,,4,15,L,ST,T37L,1,,,4†,4,,,A3<sup>1</sup>/4<sup>2</sup>/3<sup>3</sup>,,6,,"35†, E, R, H, S",1.0,axLT38A|huLT38A@hu,nat=ax|ma=[*]$$|mgs=4/4|qual=a,,black_th,
6+<i>6</i>,LT vz 38(t)E <i>LT</i>,,10,44,1.3-1.6†,42-45,+1,4/2,+SR,,4,14,L,ST,T37L,1,,,4†,4,,,A4<sup>2</sup>/3<sup>3</sup>,,7,,"35†, E, H, S, B",1.0,axLT38E|huLT38E@hu,nat=ax|ma=[*]$$|mgs=4/4|qual=b,,black_th,
2+<i>2</i>,S-35(f) <i>MT</i>,,19.5,33,1.6,43-44,0,6/4,+SR,,4,13†,,1MT,T47,,,,,2†<sup>1</sup>,†<sup>1</sup>,,,,,,"36†, A†<sup>1</sup>, D, E, H, S",1.0,axS35|huS35@hu,nat=ax|mgs=-/2<*>/[*],,,
3+<i>3</i>,PzKpfw IIIL(g) <i>MT</i>,,23,60,1.5,9/42-45†,0,6/3,+FSR,,5,13,,T,T50L,2,,,3,5,Opt 2†<sup>1</sup>,,A5<sup>2</sup>/4<sup>3</sup>/3<sup>4</sup>,,5,,"37†, E, O†<sup>1</sup>, Q, R, H, C",1.0,axPziiiL|huPziiiL@hu,nat=ax|ma=[*]$$,,black_th,
4,PzKpfw IIIN(g) <i>MT</i>,,23,55,1.5-1.6†,10/42-45,0,6/3,+SR,,5,13,,T,"T<span style=""text-decoration:overline"">75</span>*",1,,,3,5,Opt 2†<sup>1</sup>,,H8<sup>3+</sup>,8,7,,"38†, E, O†<sup>1</sup>, Q, R, S",1.0,axPziiiN,nat=ax|ma=[*]$$,,black_th,
4+<i>4</i>,PzKpfw IVD(g) <i>MT</i>,,20,50,1.5-1.6†,3/42-45,0,3/2,+SR,,5,14,,T,T75*,1,,,3,5,,,AP7; H5<sup>3+</sup>,8,7,,"39†, E, Q, R",1.0,axPzivD|huPzivD@hu,nat=ax|ma=[*]$$|qual=a,,black_th,
4+<i>4</i>,PzKpfw IVF1(g) <i>MT</i>,,22.5,54,1.3-1.6†,5/42-45,0,6/3,+SR,,6,14,,T,T75*,1,,,3,5,,,AP7; H5<sup>3+</sup>,8,7,,"39†, E, Q, R, H, B",1.0,axPzivF|huPzivF@hu,nat=ax|ma=[*]$$|qual=b,,black_th,
6+<i>6</i>,PzKpfw IVH(g) <i>MT</i>,,25,73,1.2-1.6†,9/42-45,0,8/3,-F/+SR,,6,13,,T,T75L,1,,,3,5,Opt 2†<sup>1</sup>,,A4<sup>2</sup>/3<sup>3</sup>,7,5,,"39†, E, O†<sup>1</sup>, Q, R, H, B",1.0,axPzivH|huPzivH@hu,nat=ax|ma=[*]$$|qual=c,,black_th,
6+<i>6</i>,StuG IIIG(g) <i>AG</i>,,23.5,61,1.1-1.4†,4/43-45,+1,8/3,,,4,13,,NT,B75L,1,,,,,2,,A3<sup>4</sup>,8,7,,"40†, E, Q, R, H, B",1.0,axSGiiiG|huSGiiiG@hu,nat=ax|ma=[*]$$|mgs=-/-/2[*],,black_th,
2+<i>2</i>,JgdPz 38(t) <i>TD</i>,,16,54,1.3-1.6†,10/44-45,+1,14/3,,,4,13,,NT,B75L,,,,,,1†,,A3<sup>4</sup>; HE7,,,,"41†, E, H, B",1.0,axJgPz38|huJgPz38@hu,nat=ax|ma=[*]$$|mgs=-/-/1<*>,,black_th,
2,SPW 250/1(g) <i>ht</i>,,6,28,1.2-1.6†,43-45,+1,1,,•,4,18,,,AAMG,1,,,,,3,,,,,9PP/T9,"42†, E, R",1.0,axSPW2501,nat=ax|qual=a,,,
6,SPW 251/1(g) <i>ht</i>,,9,31,1.2-1.6†,43-45,+1,1,,•,5,16,,,AAMG,1,,,,,3,,,,,15PP/T7,"42†, E, R, C",1.0,axSPW2511,nat=ax|qual=b,,,
2,SPW 251/9(g) <i>ht</i>,,9,46,1.6,43-45,+1,1,,•,<b>4</b>,16,,NT,"B<span style=""text-decoration:overline"">75</span>*",2,,,,4†,,,H5,8,,,"42†, E, R",1.0,axSPW2519,nat=ax|ma=[*]$$|qual=c,,,
4,OA vz 30(t) <i>AC</i>,•,2.8,18,1.5,41-45,+1,0,,,2,<b>18</b>†,,1MT,CMG,1,<b>11</b>†,,2,2,,,,,,,"43†, E, R, S",1.0,axOA30,nat=ax|mp=[b*]$$,,,
3,AB 41(i) <i>AC</i>,,7.5,29,1.4-1.6†,10/43-45,0,1,+F,,4,30,,1MT,T20L,1 (4),11,,- <sup>R2</sup>,2,,,,,,,"44†, E, R, C",1.1,axAB41,nat=ax|ife=$$@in_gs,,,
4,PSW 222(g) <i>AC</i>,,5,36,1.4-1.5†,12/42-45,+1,1,,•,3,33†<sup>2</sup>,,ST,T20L,2 (4),11,,,5†<sup>1</sup>,†<sup>1</sup>,,,,6,,"45†, P†<sup>1</sup>, E, M†<sup>2</sup>, R, B",1.1,axPSW222,nat=ax|ma=[*]$$|ife=$$@in_gs|mgs=-/5/[*]|qual=a,,black_th,
