nationality,class,firepower,range,morale,assault_fire,smoke,spraying_fire,elr,self_rally,assault_engineer,bpv,piece,version,overrides,svg_image_transform,comments
br,AE,6,4,8,yes,4,yes,yes,no,yes,15,br648Sae,0.1,,,
br,AE,3,3,8/7,yes,0,no,yes,no,yes,6,br338Hae,0.1,,,
br,E,6,4,8,yes,2,yes,yes,no,no,14,br648S,0.1,,,
br,E,3,3,8/7,yes,0,no,yes,no,no,6,br338H,0.1,,,
br,[E],4,5,8,no,2,no,no,no,no,13,br458S,0.1,,,
br,[E],2,4,8/7,no,0,no,no,no,no,5,br248H,0.1,,,
br,1,4,5,7,no,2,no,no,no,no,10,br457S,0.1,,,
br,1,2,4,7/6,no,0,no,no,no,no,4,br247H,0.1,,,
br,2,4,4,7,no,0,no,no,no,no,7,br447S,0.1,,,
br,2,2,3,7/6,no,0,no,no,no,no,3,br237H,0.1,,,
br,G,4,3,6,no,0,no,no,no,no,5,br436S,0.1,,,
br,G,2,2,6/5,no,0,no,no,no,no,2,br226H,0.1,,,
br,crew,2,2,8,no,0,no,no,yes,no,8,br228C,0.1,,,
br,crew,1,2,7,no,0,no,no,yes,no,7,br127C,0.1,,,
br,broken,,,8,,,,,no,,,brs8abnb,0.1,,,
br,broken,,,8,,,,,no,,,brs8b,0.1,,,
br,broken,,,7,,,,,no,,,brs7b,0.1,,,
br,broken,,,6,,,,,no,,,brs6b,0.1,,,
br,broken,,,7,,,,,no,,,brh7b,0.1,,,
br,broken,,,6,,,,,no,,,brh6b,0.1,,,
br,broken,,,5,,,,,no,,,brh5b,0.1,,,
br,broken,,,8,,,,,yes,,,brc8b,0.1,,,
br,broken,,,7,,,,,yes,,,brc7b,0.1,,,
br,?C,,,,,,,,,,,brqcloak,0.1,,,
br,?,,,,,,,,,,,brqmark,0.1,,,
br,?58,,,,,,,,,,,brqmark58,0.1,,,
br,?me,,,,,,,,,,,brqmarkme,0.1,,,
br,?roi,,,,,,,,,,,brNoRoi,0.1,,,
br,pegasus,4,5,8,no,2,no,yes,no,no,13,br458paraS,0.1,,,
br,pegasus,2,4,8/7,no,0,no,yes,no,no,5,br248paraH,0.1,,,
br,RM,6,6,8,yes,3,yes,yes,no,no,16,br668sq(RMC)KFW,0.1,,,
br,broken,,,8,,,,,no,,,br668sq(RMC)KFW-bkn,0.1,,,
br,RM,3,4,8/7,yes,0,no,yes,no,no,7,br348hs(RMC)KFW,0.1,,,
br,broken,,,7,,,,,no,,,br348hs(RMC)KFW-bkn,0.1,,,
br,broken,,,,,,,,,,,brs0b,0.1,,,
br,broken,,,,,,,,,,,brh0b,0.1,,,
br,none,,,,,,,,,,,br000H,0.1,,,
br,none,,,,,,,,,,,br000S,0.1,,,
