count,name,gun_type,caliber,rof_ife,breakdown,range,manhandling,target_size,dates,special,bpv,rf,notes,version,piece,r_x,overrides,limbered,svg_image_transform,reverse,comments
<b>#</b>,<b>Name</b>,<b>Type</b>,<b>CSize</b>,<b>ROF (IFE)</b>,<b>B#</b>,<b>Range</b>,<b>M#</b>,<b>TSize</b>,<b>Dates</b>,<b>Special</b>,<b>BPV</b>,<b>RF</b>,<b>Notes</b>,,,,ignore,,,,
6,OML 2-in. Mortar,MTR,"<span style=""text-decoration:overline"">51</span>",2,,2-11,–,–,38-45,"4PP, s7, IR<sup>2+</sup>†",–,–,"1, A†, N, P",,,,ignore,,,,
5,OML 2-in. Airborne Mortar,MTR,"<span style=""text-decoration:overline"">51</span>",1,11,2-8,–,–,6/44-5/45,"3PP, s7, IR",–,–,1,,,,ignore,,,,
4,OML 3-in. Mortar,MTR,"<span style=""text-decoration:overline"">76</span>*",2,,6-36†,11,1,32-45†,"NT, QSU, WP7, s8<sup>1+</sup>†, IR<sup>2+</sup>†<sup>1</sup>",25,1.3-.9†,"2†, A†<sup>1</sup>, D, N, P",1.0,brMTR76s,,range=6-36,,,,
4,OSB 4.2-in. Mortar,MTR,"<span style=""text-decoration:overline"">107</span>*",2,,24-98,<b>10</b>†,1,10/42-45†,"NT, S8, WP7, Towed†",21,1.6-1.2†,"3†, N, P",1.0,brM107s,,range=$$,no_fire,,,
4,OQF 25mm Hotchkiss,AT,"<span style=""text-decoration:underline"">25</span>LL",3,,45,12,1,38-6/42†,"NT, QSU",26,1.2-1.5†,"4†, B, N",1.0,brAT25LL,,range=$$,,,,
6,OQF 2-Pounder,AT,"<span style=""text-decoration:underline"">40</span>L",3,,183,10,1,38-45†,"T, LF [NT, 40†<sup>1</sup>, 2 ROF, B11]",30,1.5-.9†,"5†, B, C†<sup>1</sup>, N, P",1.0,brAT40L,,,"ma=<*><tspan style=""text-decoration:underline"">40</tspan>|mb=B11|rof=2|mount=NT",,,
4,OQF 6-Pounder 7-cwt,AT,"<span style=""text-decoration:underline"">57</span>L†",3,,225,10,1,5/42-45†,"NT, QSU, HE7<sup>F3</sup>/8<sup>4+</sup>†, D6<sup>J4E</sup>/7<sup>5</sup>†",34,1.5-.9†,"6†, B, N, P",1.0,brAT57L,,ma=[_*]$$,,,,
4,OQF 17/25-Pounder,AT,"<span style=""text-decoration:underline"">76</span>LL",1,11,263,<b>6</b>,0,3-8/43,NT,36,1.3,"7,N",1.0,brAT7625,,,no_fire,,,
4,OQF 17-Pounder,AT,"<span style=""text-decoration:underline"">76</span>LL†",2,,263,<b>6</b>,0,7/43-5/45,"NT, HE8<sup>J4+</sup>†, D5<sup>S4</sup>/6<sup>5</sup>†",41,1.2,8†,1.0,brAT76LL,,ma=[_*]$$,no_fire,,,
4,OQF M1A1 75mm Pack How.,ART,"<span style=""text-decoration:overline"">75</span>*",2,,218,10,1,6/44-45†,"NT, QSU, H6, WP7",33,1.5-1.6†,"9†, D, P",1.0,brAR75s,,,,,,
3,Canon de 75 mle 1897,ART,75,1,,277,8,0,41-5/43†,"NT, QSU, s8",34,1.4-1.5†,"10†, B, N",1.0,brAR75,,,,,,
4,OQF 18-Pounder,ART,84*,1,11,213,7,0,40-42†,"NT, QSU, s8, WP7",34,1.2-1.6†,"11†, N, P",1.0,brAR84s,,,,,,
4,OQF 25-Pounder Short,ART,88*,,11,233,10,1,7/43-45,"NT, QSU, s8",31,1.4,"12, D, P",1.0,brAR88s,,,,,,
4,OQF 25-Pounder Gun-How.,ART,88,1,,335,8,0,5/40-45†,"ST, s8, LF [NT, 0 ROF]",42,1.6-1.2†,"13†, N, P",1.0,brAR88,,,rof=|ife=|mount=NT,,,
4,OQF 3.7-in. Howitzer,ART,"<span style=""text-decoration:overline"">94</span>*",1,11,137,10,0,17-45†,"NT, QSU, s8, WP7, H6<sup>3+P</sup>†",34,1.6-1.2†,"14†, D, N, P",1.0,brAR94s,,,,,,
2,OQF 4.5-in. Howitzer,ART,"<span style=""text-decoration:overline"">114</span>*",1,11,151,<b>7</b>,0,08-42†,"NT, s8, WP7",32,1.4-1.6†,"15†, N, P",1.0,brAR114s,,,no_fire,,,
2,OBL 4.5-in. Gun,ART,"<span style=""text-decoration:overline"">114</span>",,,480,<b>3</b>,-1,42-5/45,NT,29,1.6-1.4†,"16†, N",1.0,brAR114,,qual=a,no_fire,,,
2,OBL 5.5-in. Gun-Howitzer,ART,"<span style=""text-decoration:overline"">140</span>",,,414,<b>2</b>,-1,5/42-45†,NT,34,1.6-1.4†,"16†, N, P",1.0,brAR140,,qual=b,no_fire,,,
2,OBL 6-in. Howitzer,ART,"<span style=""text-decoration:overline"">152</span>*",,,260,<b>4</b>,-1,16-45†,NT,41,1.4-1.5†,"17†, N, P",1.0,brAR152s,,,no_fire,,,
2,OBL 7.2-in. Howitzer Mk I,ART,"<span style=""text-decoration:overline"">183</span>*",,11,386,<b>-2</b>,-1,43-45†,"NT, no IF, Acq. NA†",33,1.5-1.6†,"18†, N, P",1.0,brAR183s,,ma=[*]$$,no_fire,,,
2,OBL 7.2-in. Howitzer Mk VI,ART,"<span style=""text-decoration:overline"">183</span>",,,450,<b>-4</b>,-1,10/44-5/45,"NT, RFNM, no IF",35,1.6-1.5†,"19†, P",1.0,brAR183,,ma=[*]$$,,,,
2,OQF 20mm AA,AA,20L,3 (6),,114,12,1,9/43-5/45,T,30,1.6,20,1.0,brAA20L,,,no_fire,,,
4,OQF 40mm AA,AA,40L,3 (8),,247,8,0,38-45†,"T, LF [40†<sup>1</sup>, 2 ROF]",40,1.6-1.1†,"21†, C†<sup>1</sup>, N, P",1.0,brAA40L,,,ma=<*>40|rof=2|ife=(8),,,
2,OQF 3-in. 20-cwt AA,AA,"<span style=""text-decoration:overline"">76</span>*",2,,285,<b>3</b>,-1,14-45,T,29,1.4-1.6†,"22†, E, P",1.0,brAA76s,,,no_fire,,,
2,OQF 3.7-in. AA,AA,"<span style=""text-decoration:overline"">94</span>*",1,,470,<b>1</b>,-1,38-45,T,30,1.6-1.5†,"23†, E, N, P",1.0,brAA94s,,,no_fire,,,
4,OML 3-in. Mortar,MTR,"<span style=""text-decoration:overline"">76</span>*",2,,6-36†,11,+1,32-45†,"NT, QSU, WP7, s8<sup>1+</sup>†, IR<sup>2+</sup>†<sup>1</sup>",25,1.3-.9†,"2va†, A†<sup>1</sup>, D, N, P",1.0,brMTR76,,range=3-63,,,,
4,OML 3-in. Mortar,MTR,"<span style=""text-decoration:overline"">81</span>*",2,,6-36†,11,+1,32-45†,"NT, QSU, WP7, s8<sup>1+</sup>†, IR<sup>2+</sup>†<sup>1</sup>",25,1.3-.9†,"2vb†, A†<sup>1</sup>, D, N, P",1.0,brMTR81s,,range=$$,,,,"""True"" 81mm version."
4,OML 3-in. Mortar,MTR,"<span style=""text-decoration:overline"">81</span>*",2,,3-63†,11,+1,32-45†,"NT, QSU, WP7, s8<sup>1+</sup>†, IR<sup>2+</sup>†<sup>1</sup>",25,1.3-.9†,"2vc†, A†<sup>1</sup>, D, N, P",1.0,brMTR81,,range=$$,,,,"""True"" 81mm version."
0,Generic AA,AA,,,,,,,,T,,,g1,1.0,brAAgen,1/,gt=AA|mount=T,no_fire,,,
0,Generic ART,ART,,,,,,,,,,,g2,1.0,brARgen,1/,,no_fire,,,
0,Generic AT,AT,,,,,,,,,,,g3,1.0,brATgen,1/,,no_fire,,,
0,Generic MTR,MTR,,,,,,,,,,,g4,1.0,brMTRgen,1/,,no_fire,,,
