nationality,counter,value,range,spraying_fire,rof,pp,breakdown,repair,leadership,piece,version,overrides,svg_image_transform,comments
br,dmART,75mm,,,,5,,,,brART75dm,0.1,,,
br,dmART,75mm,,,,5,X,,,brART75dmb,0.1,,,
br,ATR,1,12,,,1,,,,brATR,0.1,,,
br,Malf,,,,,,,1/6,,brATRb,0.1,,,
br,BAZ45,8,5,,,1@24.0:24.0,X11,,,brBAZ(45)KFW,0.1,extra=WP6,,
br,_baz,,,,,,,,,brBAZ(45)KFW-back,0.1,,,
br,BAZ50,12,5,,,1@20.0:24.0,X11,,,brBAZ(50)KFW,0.1,extra=WP6<sup>2+</sup>@E:44.5:19.00,,
br,_baz,,,,,,,,,brBAZ(50)KFW-back,0.1,,,
br,BAZ44(a),8,4,,,1@24.0:24.0,X11,,,brBAZ44a,0.1,extra=16TK,,
br,_baz,,,,,,,,,brBAZ44ab,0.1,,,
br,DC,30,1,,,1,X12,,?,brDC,0.1,,,
br,_dc,,,,,,,,,brDCb,0.1,,,
br,FT,24,1,,,1,X10,,?,brFT,0.1,,,
br,_ft,,,,,,,,,brFTb,0.1,,,
br,HMG(a),8,16,yes,3,5,,,,brHMG(50cal)KFW,0.1,extra=.50@E:44.5:33.0,,
br,Malf,,,,,,,2/6,,brHMG(50cal)KFW-malf,0.1,extra=.50@E:44.5:33.0,,
br,dmHMG,,,,,3@35.0:24.0,,,,brHMG(50cal)KFW-dm,0.1,extra=.50@E:44.5:44.5,,
br,dmHMG,,,,,3@35.0:24.0,X,2/6,,brHMG(50cal)KFW-dm-malf,0.1,extra=.50@E:44.5:44.5,,
br,HMG,6,12,yes,3,5,,,,brHMG(6-12)KFW,0.1,,,
br,Malf,,,,,,,3/6,,brHMG(6-12)KFW-malf,0.1,,,
br,dmHMG,,,,,3@40.0:24.0,,,,brHMG(6-12)KFW-dm,0.1,,,
br,dmHMG,,,,,3@40.0:24.0,X,,,brHMG(6-12)KFW-dm-malf,0.1,,,
br,HMG,6,14,yes,3,5,,,,brHMG,0.1,,,
br,Malf,,,,,,,3/6,,brHMGb,0.1,,,
