count,name,radioless,weight,bpv,rf,dates,size,af,ta,ot,cs,mp,gp,gt,ma,rof_ife,breakdown,intensive_fire,bmg,cmg,aamg,sa,ammunition,smoke_depletion,smoke_discharger,transport,notes,version,piece,overrides,svg_image_transform,reverse,comments
<b>#</b>,<b>Name & <i>Type</i></b>,<b>®</b>,<b>WGT</b>,<b>BPV</b>,<b>RF</b>,<b>Dates</b>,<b>Size</b>,<b>AF</b>,<b>TA</b>,<b>OT</b>,<b>CS</b>,<b>MP</b>,<b>GP</b>,<b>GT</b>,<b>MA</b>,<b>ROF</b>,<b>B#</b>,<b>IF</b>,<b>BMG</b>,<b>CMG</b>,<b>AAMG</b>,<b>SA</b>,<b>Am</b>,<b>s#</b>,<b>sD#</b>,<b>PP/T#</b>,<b>Notes</b>,,,ignore,,,
6,Mark VIB <i>Tt</i>,,5.5,35,1.0-1.5†,36-3/42†,+1,1,,,3,18,L,ST,CMG†,1,,,,10,,,,,6,,"1†, N, P",1.0,mkvib,nat=br|qual=a,,,
3,Mark VIC <i>Tt</i>,,5.5,36,1.3,5-6/40,+1,1,,,3,18,L,ST,T15,1 (6),11,,,4,,,,,6,,1†,1.0,mkvic,nat=br|qual=b,,,
3,Tetrarch <i>LT</i>,,7.5,42,1.3-1.6†,5/42-5/45†,+1,1,+FSR,,3,21,L,ST,"T<span style=""text-decoration:underline"">40</span>L",1,,,,4,,,,,6,,2†,1.0,tet,nat=br|qual=a,,,
1,Tetrarch CS <i>LT</i>,,7.5,33†<sup>1</sup>,1.6,5/42-5/45†,+1,1,+FSR,,3,21,L,ST,"T<span style=""text-decoration:overline"">76</span>*†<sup>1</sup>",,,,,4,,,HE9†<sup>1</sup>,†<sup>1</sup>,6,,"2†, S†<sup>1</sup>",1.0,tetcs,nat=br|range=[50]|qual=b,,,
6,Stuart I(a) <i>LT</i>,,12.5,41,1.1-1.3†,11/41-5/43†,0,4/3,+SR,,4,18,,ST,"T<span style=""text-decoration:underline"">37</span>LL",1,,,2,4,2,,,,5,,"3†, A, N, P",1.0,stuia,nat=br|ma=[*]$$|qual=a,,,
6,Stuart III(a) <i>LT</i>,,13,43,1.4-1.2†,10/42-45†,+1,4/3,+SR,,4,18,,ST,"T<span style=""text-decoration:underline"">37</span>LL",1,,,2,4,2,,HE<sup>4+</sup>; C6<sup>4+</sup>†<sup>1</sup>,,5,,"3†, A, C†<sup>1</sup>, G, N, P",1.0,stuiiia,nat=br|ma=[*][_*]$$|qual=b,,,
6,Stuart V(a) <i>LT</i>,,14.5,46,1.3-1.2†,44-5/45,+1,6/3,+SR,,4,17,,ST,T37LL,1,,,2,4,2,,C6†<sup>1</sup>,,5,,"4†, A, C†<sup>1</sup>, G",1.0,stuva,nat=br,,,
3,Locust(a) <i>LT</i>,,7,43,1.6,1-5/45,+1,3/1,+SR,,3,<b>19</b>,L,ST,T37LL,1,,,,4,,,C6†,,6,,"5, A, C†",1.0,locust,nat=br,,,
6,A9 <i>MT</i>,,13,43,1.0-1.5†,39-41,0,1,,,<b>5</b>,<b>14</b>,,T,"T<span style=""text-decoration:underline"">40</span>L",2,,,4×2†,6,Opt 2†<sup>1</sup>,,,,6,,"6†, K†<sup>1</sup>, N",1.1,a9,nat=br|mgs=4x2<*>/6/2@sz-1.0|qual=a,,,
