nationality,class,firepower,range,morale,assault_fire,smoke,spraying_fire,elr,self_rally,assault_engineer,bpv,piece,version,overrides,svg_image_transform,comments
ch,AE,5,3,7/8,no,4,yes,no,no,yes,10,ch537Sae,0.1,,,
ch,AE,2,2,7,no,0,no,no,no,yes,4,ch227Hae,0.1,,,
ch,[E],5,3,7/8,no,2,yes,no,no,no,9,ch537S,0.1,,,
ch,[E],2,2,7,no,0,no,no,no,no,3,ch227H,0.1,,,
ch,E,4,4,7,no,1,no,no,no,no,8,ch447S,0.1,,,
ch,E,2,3,7/6,no,0,no,no,no,no,3,ch237H,0.1,,,
ch,1,3,3,7/6,no,0,no,no,no,no,5,ch337S,0.1,,,
ch,1,1,2,7/5,no,0,no,no,no,no,2,ch127H,0.1,,,
ch,C,3,3,6/5,no,0,no,no,no,no,2,ch336S,0.1,,,
ch,C,1,2,6/4,no,0,no,no,no,no,1,ch126H,0.1,,,
ch,broken,,,8,,,,,no,,,chs8b,0.1,,,
ch,broken,,,7,,,,,no,,,chs7b,0.1,,,
ch,broken,,,6,,,,,no,,,chs6b,0.1,,,
ch,broken,,,5,,,,,no,,,chs5b,0.1,,,
ch,broken,,,0,,,,,no,,,chs0b,0.1,,,
ch,broken,,,7,,,,,no,,,chh7b,0.1,,,
ch,broken,,,6,,,,,no,,,chh6b,0.1,,,
ch,broken,,,5,,,,,no,,,chh5b,0.1,,,
ch,broken,,,4,,,,,no,,,chh4b,0.1,,,
ch,broken,,,0,,,,,no,,,chh0b,0.1,,,
ch,broken,,,7,,,,,yes,,,chc7b,0.1,,,
ch,broken,,,5,,,,,yes,,,chc5b,0.1,,,
ch,crew,2,2,7,no,0,no,no,yes,no,6,ch227C,0.1,,,
ch,crew,1,2,6/5,no,0,no,no,yes,no,5,ch126C,0.1,,,
ch,?C,,,,,,,,,,,chqcloak,0.1,,,
ch,?,,,,,,,,,,,chqmark,0.1,,,
ch,?58,,,,,,,,,,,chqmark58,0.1,,,
ch,?me,,,,,,,,,,,chqmarkme,0.1,,,
ch,?roi,,,,,,,,,,,chNoRoi,0.1,,,
ch,none,,,,,,,,,,,ch000H,0.1,,,
ch,none,,,,,,,,,,,ch000S,0.1,,,
ch,none,,,,,,,,,,,chblank12,0.1,,,
ch,none,,,,,,,,,,,chblank58,0.1,counter_size=60,,
