nationality,values,armor,assault_engineer,broken,wounded,piece,version,overrides,svg_image_transform,comments
ch,10-3,no,no,no,no,chL103,0.1,,,
ch,10,no,no,yes,no,chL103b,0.1,,,
ch,10-2,no,no,no,no,chL102,0.1,,,
ch,10,no,no,yes,no,chL102b,0.1,,,
ch,9-2,no,no,no,no,chL92,0.1,,,
ch,9,no,no,yes,no,chL92b,0.1,,,
ch,9-1,no,no,no,no,chL91,0.1,,,
ch,9,no,no,yes,no,chL91b,0.1,,,
ch,8-1,no,no,no,no,chL81,0.1,,,
ch,8,no,no,yes,no,chL81b,0.1,,,
ch,8-0,no,no,no,no,chL80,0.1,,,
ch,8,no,no,yes,no,chL80b,0.1,,,
ch,7-0,no,no,no,no,chL70,0.1,,,
ch,7,no,no,yes,no,chL70b,0.1,,,
ch,6+1,no,no,no,no,chL61,0.1,,,
ch,6,no,no,yes,no,chL61b,0.1,,,
ch,1-4-9,no,no,no,no,chHero,0.1,,,
ch,1-3-8,no,no,no,yes,chHerob,0.1,,,
ch,10-2,yes,no,no,no,chal102,0.1,,,
ch,9-2,yes,no,no,no,chal92,0.1,,,
ch,9-1,yes,no,no,no,chal91,0.1,,,
ch,8-1,yes,no,no,no,chal81,0.1,,,
ch,6+1,yes,no,no,no,chal61,0.1,,,
ch,_aleader,,,,,chalb,0.1,,,
ch,Sniper,,,,,chSniper,0.1,counter_size=60,,
ch,Sniper,,,,,chSnS,0.1,opacity=0.33,,
ch,,,,,,chBU1,0.1,ignore|copy,,
ch,,,,,,chBU2,0.1,ignore|copy,,
ch,,,,,,chBU3,0.1,ignore|copy,,
ch,,,,,,chBU4,0.1,ignore|copy,,
ch,,,,,,chBU5,0.1,ignore|copy,,
ch,,,,,,chBU6,0.1,ignore|copy,,
ch,,,,,,chCE1,0.1,ignore|copy,,
ch,,,,,,chCE2,0.1,ignore|copy,,
ch,,,,,,chCE3,0.1,ignore|copy,,
ch,,,,,,chCE4,0.1,ignore|copy,,
ch,,,,,,chCE5,0.1,ignore|copy,,
ch,,,,,,chCE6,0.1,ignore|copy,,
ch,NtBu,,,,,chBUnt,0.1,ignore,,
ch,NtCe,,,,,chCEnt,0.1,ignore,,
