nationality,counter,value,range,spraying_fire,rof,pp,breakdown,repair,leadership,piece,version,overrides,svg_image_transform,comments
ch,dmART,75mm,,,,5,,,,chART75dm,0.1,,,
ch,dmART,75mm,,,,5,X,,,chART75dmb,0.1,,,
ch,ATR,1,12,,,1,B11,,,chATR,0.1,,,
ch,Malf,,,,,,,1/6,,chATRb,0.1,,,
ch,BAZ43,8,4,,,1@24.0:24.0,X10,,,chBAZ43,0.1,extra=13TK,,
ch,_baz,,,,,,,,,chBAZ43b,0.1,,,
ch,DC,30,1,,,1,X12,,?,chDC,0.1,,,
ch,_dc,,,,,,,,,chDCb,0.1,,,
ch,FT,24,1,,,1,X10,,?,chFT,0.1,,,
ch,_ft,,,,,,,,,chFTb,0.1,,,
ch,LMG,2,7,yes,1,1,B11,,,chLMG,0.1,,,
ch,Malf,,,,,,,1/6,,chLMGb,0.1,,,
ch,MMG,4,10,yes,2,4,,,,chMMG,0.1,,,
ch,Malf,,,,,,,2/6,,chMMGb,0.1,,,
ch,dmMMG,,,,,2@35.0:24.0,,,,chMMGdm,0.1,,,
ch,dmMMG,,,,,2@35.0:24.0,X,,,chMMGdmb,0.1,,,
ch,HMG,6,12,yes,3,5,B11,,,chHMG,0.1,,,
ch,Malf,,,,,,,3/6,,chHMGb,0.1,,,
ch,dmHMG,,,,,3@40.0:24.0,,,,chHMGdm,0.1,,,
ch,dmHMG,,,,,3@40.0:24.0,X,,,chHMGdmb,0.1,,,
ch,HMG,8,16,yes,3,5,,,,chHMG50,0.1,extra=.50@E:44.5:33.0,,
ch,Malf,,,,,,,2/6,,chHMG50b,0.1,,,
ch,dmHMG,,,,,3@35.0:24.0,,,,chHMG50dm,0.1,extra=.50@E:44.5:18.0,,
ch,dmHMG,,,,,3@35.0:24.0,X,2/6,,chHMG50dmb,0.1,extra=.50@E:44.5:18.0,,
ch,dmMTR,76mm,,,,5,,,,chMTR76dm,0.1,,,
ch,dmMTR,76mm,,,,5,X,,,chMTR76dmb,0.1,,,
ch,dmMTR(a),81mm,,,,5,,,,chMTR81dma,0.1,,,
ch,dmMTR(a),81mm,,,,5,X,,,chMTR81dmab,0.1,,,
ch,dmMTR,81mm,,,,5,,,,chMTR81dmbr,0.1,,,
ch,dmMTR,81mm,,,,5,X,,,chMTR81dmbrb,0.1,,,
ch,dmMTR(g),81mm,,,,5,,,,chMTR81dmg,0.1,,,
ch,dmMTR(g),81mm,,,,5,X,,,chMTR81dmgb,0.1,,,
ch,dmMTR,82mm,,,,5,,,,chMTR82dm,0.1,,,
ch,dmMTR,82mm,,,,5,X,,,chMTR82dmb,0.1,,,
ch,MTR,"&#x2a;<tspan style=""text-decoration:overline"">40</tspan>",[1-6],,1,2,B11,,,chM40,0.1,,,
ch,Malf,,,,,,,1/6,,chM40b,0.1,,,
ch,MTR,"<tspan style=""text-decoration:overline"">45</tspan>&#x273D;",[2-13],,2,4,B11,,,chM45,0.1,,,
ch,Malf,,,,,,,1/6,,chM45b,0.1,,,
ch,dmMTR,45mm,,,,2,,,,chM45dm,0.1,,,
ch,dmMTR,45mm,,,,2,X,,,chM45dmb,0.1,,,
