count,name,radioless,weight,bpv,rf,dates,size,af,ta,ot,cs,mp,gp,gt,ma,rof_ife,breakdown,intensive_fire,bmg,cmg,aamg,sa,ammunition,smoke_depletion,smoke_discharger,transport,notes,version,piece,overrides,svg_image_transform,reverse,comments
<b>#</b>,<b>Name & <i>Type</i></b>,<b>®</b>,<b>WGT</b>,<b>BPV</b>,<b>RF</b>,<b>Dates</b>,<b>Size</b>,<b>AF</b>,<b>TA</b>,<b>OT</b>,<b>CS</b>,<b>MP</b>,<b>GP</b>,<b>GT</b>,<b>MA</b>,<b>ROF</b>,<b>B#</b>,<b>IF</b>,<b>BMG</b>,<b>CMG</b>,<b>AAMG</b>,<b>SA</b>,<b>Am</b>,<b>s#</b>,<b>sD#</b>,<b>PP/T#</b>,<b>Notes</b>,,,ignore,,,
3,VCL M1931(b) <i>aTt</i>,•,3,27,1.2-1.6†,35-45,+2†,0,,,2,<b>16</b><sup>2</sup>,L,1MT,CMG,1,11,,,6,,,,,,,"1†, A, <strike>B</strike>",1.0,vclm1931,nat=ch,,,
3,L3/35(i) <i>Tt</i>,•,3.5,19,1.2-1.5†,37-45,+2,1/0,,,2†,<b>13</b>,L,,BMG†<sup><sup>1</sup></sup>,1,11,,4†,,,,,,,,"2†, A, <strike>B</strike>, D†<sup><sup>1</sup></sup>",1.0,chl335,nat=ch|mgs=4/-,,,
3,PzKpfw IA(g) <i>Tt</i>,•,5.5,23,1.3-1.6†,36-45,+1,1,,,2,<b>13</b>,L,1MT,CMG†<sup><sup>1</sup></sup>,1,11,,,6,,,,,,,"3†, A, <strike>B</strike>, D†<sup><sup>1</sup></sup>",1.0,chpzia,nat=ch,,,
3,Vickers 6-Ton Mk E(b) <i>LT</i>,•,7,29,1.2-1.6†,35-45,+1,1,+F,,3,<b>14</b>,L,RST,T47*,1,<b>11</b>†<sup><sup>1</sup></sup>,,,6,,,C5†<sup>2</sup>,,,,"4†, A, <strike>B</strike>, C†<sup>2</sup>, E†<sup><sup>1</sup></sup>",1.0,chvick,nat=ch,,,
6,T-26TU M33(r) <i>LT</i>,,10.5,28,1.3-1.5†,39-45†,0,1,+F,,3,<b>12</b>†,,RST,T45L,1,<b>11</b>†<sup><sup>1</sup></sup>,,,4<sup>R2</sup>,Opt 2†,,,,,,"5†, A, E†<sup><sup>1</sup></sup>",1.0,cht26,nat=ch|mb=[*]$$,,,
6,M3A3(a) <i>LT</i>,,14.5,41,1.2-1.3†,2/44-3/45,+1,6/3,+SR,,4,17,,ST,T37LL,1,<b>11</b>†<sup>2</sup>,,2,4,Opt 2†,,C9†<sup><sup>1</sup></sup>,,,,"6†, A, B, C†<sup><sup>1</sup></sup>, E†<sup>2</sup>, G",1.0,chm3a3,nat=ch,,,
3,M4A4(a) <i>MT</i>,,30.5,56,1.4-1.5†,2/44-3/45,-1,8/4,+SR,,<b>5</b>,13,,T,T75,1†,<b>11</b>†<sup><sup>1</sup></sup>,,2,4,Opt 4†,,,8; WP7<sup>J4+</sup>†,,,"7†, A, B, E†<sup><sup>1</sup></sup>, G",1.0,chm4a4,nat=ch|multi_hits,,,
2,M3A1(a) <i>SC</i>,,5.5,31,1.3-1.4†,11/43-3/45,+1,0,+F,•,4,28<sup>t</sup>,H,,AAMG†,2,<b>11</b>†<sup>1</sup>,,,,6†,,,,,9PP†/T8,"8†, A, B, E†<sup>1</sup>",1.0,chm3a1,nat=ch|pp=$$<*>|mgs=-/-/6[*],,,
2,Stuart Recon(a) “<i>SC</i>”†,,13.5,32,1.5-1.6†,11/43-3/45,+1,6/3,,•,5,18,L,,AAMG†<sup>1</sup>,1,<b>11</b>†<sup>2</sup>,,2,,8†,,,,,7PP†,"9†, A, B, D†<sup>1</sup>, E†<sup>2</sup>",1.0,chstuart,nat=ch|mt=LT|mgs=2/-/8|name=Stuart Recon(a) <i>SC</i>,,,
2,Type 22 <i>AC</i>,•,4,20,1.5-1.6†,33-45,0,0,,,4,<b>22</b><sup>t</sup>†,,RST,CMG†<sup>1</sup>,1†<sup>1</sup>,<b>11</b>†<sup>2</sup>,,,2×2†<sup>1</sup>,,,,,,,"10†<sup>1</sup>, <strike>B</strike>, E†<sup>2</sup>, F†",1.0,ch22ac,nat=ch|mgs=-/2x2,,,
3,PSW 221(g) <i>AC</i>,,4,25,1.3-1.5†,36-45,+1,1,,•,2,<b>34</b>†,,1MT†,CMG,1,11,,,5,†,,,,,,"11†, A, <strike>B</strike>, F†",1.0,chpsw221,nat=ch|ma=[*]$$|qual=a,,,
2,PSW 222(g) <i>AC</i>,,5,29,1.4-1.6†,36-45,+1,1,,•,3,<b>33</b>†,,ST,T20L,2 (4),<b>11</b>†<sup>1</sup>,,,5,†,,,,,,"11†, A, <strike>B</strike>, E†<sup>1</sup>, F†",1.0,chpsw222,nat=ch|qual=b,,,
2,BA-20(r) <i>AC</i>,•,3,20,1.6,39-45,+1,0,,,3,<b>21</b><sup>t</sup>†,H,1MT,CMG,1,11,,,4,,,,,,,"12, A, <strike>B</strike>, F†",1.0,chba20,nat=ch|mp=$$|qual=a,,,
2,BA-6(r) <i>AC</i>,•,5,27,1.6,39-45,0,1/0,+FSR,,4,<b>19</b><sup>t</sup>†,,RST,T45L,1,<b>11</b>†<sup>1</sup>,,2,4,,,,,,,"12, A, <strike>B</strike>, E†<sup>1</sup>, F†",1.0,chba6,nat=ch|mb=[*]$$|mp=$$|qual=b,,,
4,VCL Mk VI Carrier(b) <i>APC</i>,,1.5,15,1.3-1.6†,29-45,+2,0,,•,2†,<b>14</b>,L†<sup>1</sup>,,BMG†,2,11,,Opt 6†,,,,,,,1PP/T10†,"13†, A, <strike>B</strike>, H†<sup>1</sup>",1.0,chvcl,nat=ch|ma=,,,
3,Carrier A(b) <i>APC</i>,,4,19,1.6-1.3†,42-45†,+2,0,,•,3,16,L,,BMG,1,11,,2,,†,,,,,4PP/T10<sup>5</sup>†,"14†, A",1.0,chcarra,nat=ch|mgs=2/-/<*>|qual=a,,,
3,Carrier B(b) <i>APC</i>,,4,20,1.6-1.3†,42-45†,+2,0,,•,3,16,L,,BATR†,1,<b>11</b>†<sup>1</sup>,,,,2,,,,,4PP/T10<sup>5</sup>†,"14†, A, E†<sup>1</sup>",1.0,chcarrb,nat=ch|ma=[*]$$@in_gs|qual=b,,,
2,Carrier C(b) <i>APC</i>,,4,22,1.6-1.4†,43-45†,+2,0,,•,3,16,L,,BMG†,1,<b>11</b>†<sup>1</sup>,,4,,2,,,,,4PP/T10<sup>5</sup>†,"14†, A, E†<sup>1</sup>",1.0,chcarrc,nat=ch|qual=c,,,
6,Henschel 33(g) <i>tr</i>,,9.5,18,1.3-1.6†<sup>1</sup>,33-45†<sup>1</sup>,0,★,,,<i>7</i>,<b>23</b><sup>t</sup>†,,,,,,,,,,,,,,29PP/T4,"15†<sup>1</sup>, A, F†",1.0,chhensch,nat=ch|mp=$$,,,
3,Jeep(a) <i>tr</i>,,1.5,15,1.6-1.3†,42-45†,+2,★,,,<i>2</i>†,37<sup>t</sup>,L†<sup>1</sup>,,AAMG†,1 or 2†,11,,,,Opt 2 or 4†,,,,,9PP/T10,"16†, A, H†<sup>1</sup>",1.0,chjeep,nat=ch|ma=|qual=a,,,
6,2½-Ton(a) <i>tr</i>,,7.5,20,1.6-1.4†,42-45†,0,★,,,<i>7</i>,28<sup>t</sup>,,,,,,,,,,,,,,29PP/T5,"16†, A",1.0,chton212,nat=ch|qual=b,,,
6,T-26TU M33(r) <i>LT</i> w/ Opt AAMG,,10.5,28,1.3-1.5†,39-45†,0,1,+F,,3,<b>12</b>†,,RST,T45L,1,<b>11</b>†<sup><sup>1</sup></sup>,,,4<sup>R2</sup>,Opt 2†,,,,,,"5v†, A, E†<sup><sup>1</sup></sup>",1.0,cht262,nat=ch|mb=[*]$$|mgs=-/4<sup>R2</sup>/2,,,
6,M3A3(a) <i>LT</i> w/ Opt AAMG,,14.5,41,1.2-1.3†,2/44-3/45,+1,6/3,+SR,,4,17,,ST,T37LL,1,<b>11</b>†<sup>2</sup>,,2,4,Opt 2†,,C9†<sup><sup>1</sup></sup>,,,,"6v†, A, B, C†<sup><sup>1</sup></sup>, E†<sup>2</sup>, G",1.0,chm3a32,nat=ch|mgs=2/4/2,,,
3,M4A4(a) <i>MT</i> w/ Opt AAMG,,30.5,56,1.4-1.5†,2/44-3/45,-1,8/4,+SR,,<b>5</b>,13,,T,T75,1†,<b>11</b>†<sup><sup>1</sup></sup>,,2,4,Opt 4†,,,8; WP7<sup>J4+</sup>†,,,"7v†, A, B, E†<sup><sup>1</sup></sup>, G",1.0,chm4a42,nat=ch|multi_hits|mgs=2/4/4,,,
4,VCL Mk VI Carrier(b) <i>APC</i> w/ Opt BMG,,1.5,15,1.3-1.6†,29-45,+2,0,,•,2†,<b>14</b>,L†<sup>1</sup>,,BMG†,2,11,,Opt 6†,,,,,,,1PP/T10†,"13v†, A, <strike>B</strike>, H†<sup>1</sup>",1.0,chvcl2,nat=ch|ma=$$|pp=$$<*>|mgs=6/-,,,
