count,name,radioless,weight,bpv,rf,dates,size,af,ta,ot,cs,mp,gp,gt,ma,rof_ife,breakdown,intensive_fire,bmg,cmg,aamg,sa,ammunition,smoke_depletion,smoke_discharger,transport,notes,version,piece,overrides,svg_image_transform,reverse,comments
<b>#</b>,<b>Name & <i>Type</i></b>,<b>®</b>,<b>WGT</b>,<b>BPV</b>,<b>RF</b>,<b>Dates</b>,<b>Size</b>,<b>AF</b>,<b>TA</b>,<b>OT</b>,<b>CS</b>,<b>MP</b>,<b>GP</b>,<b>GT</b>,<b>MA</b>,<b>ROF</b>,<b>B#</b>,<b>IF</b>,<b>BMG</b>,<b>CMG</b>,<b>AAMG</b>,<b>SA</b>,<b>Am</b>,<b>s#</b>,<b>sD#</b>,<b>PP/T#</b>,<b>Notes</b>,,,ignore,,,
0,Armored Bulldozer <i>LT</i>,,,,,,,0,,,,8†,L†,,,,,,,,,,,,,,s1,1.0,DozerA,nat=sh|far=[*]$$|pp=BU<*>|tow=OT,,,
0,Bulldozer <i>LT</i>,,,,,,,★,,,,8†,L†,,,,,,,,,,,,,,s2,1.0,DozerU,nat=sh|far=[*]$$,,,
0,Horse (SMC) <i>None</i>,,,,,,,,,,,12,,,,,,,,,,,,,,,s3,1.0,HorseO1,nat=sh,,,
0,Horse (Halfsquad) <i>None</i>,,,,,,,,,,,12,,,,,,,,,,,,,,,s4,1.0,HorseO2,nat=sh,,,
0,Horse (Squad) <i>None</i>,,,,,,,,,,,12,,,,,,,,,,,,,,,s5,1.0,HorseO3,nat=sh,,,
0,Bicycle (SMC) <i>mc</i>,,,,,,,,,,,,,,,,,,,,,,,,,,s6,1.0,MotorB1,nat=sh|pp=0PP@mgs,"scale(0.60) translate(15, 15) rotate(60, 30, 30)",,
0,Bicycle (Halfsquad) <i>mc</i>,,,,,,,,,,,,,,,,,,,,,,,,,,s7,1.0,MotorB2,nat=sh|pp=0PP@mgs,"scale(0.60) translate(15, 15) rotate(60, 30, 30)",,
0,Bicycle (Squad) <i>mc</i>,,,,,,,,,,,,,,,,,,,,,,,,,,s8,1.0,MotorB3,nat=sh|pp=0PP@mgs,"scale(0.60) translate(15, 15) rotate(60, 30, 30)",,
0,Motorcycle (SMC) <i>mc</i>,,,,,,,,,,,28,,,,,,,,,,,,,,,s9,1.0,MotorO1,nat=sh|pp=0PP@mgs|man=10@in_gs,,,
0,Motorcycle (Halfsquad) <i>mc</i>,,,,,,,,,,,28,,,,,,,,,,,,,,,s10,1.0,MotorO2,nat=sh|pp=0PP@mgs|man=10@in_gs,,,
0,Motorcycle (Squad) <i>mc</i>,,,,,,,,,,,28,,,,,,,,,,,,,,,s11,1.0,MotorO3,nat=sh|pp=0PP@mgs|man=10@in_gs,,,
0,Motorcycle w/ Sidecar (SMC) <i>mc</i>,,,,,,,,,,,24,,,,,,,,,,,,,,,s12,1.0,MotorS1,nat=sh|pp=1PP@mgs|man=9@in_gs,,,
0,Motorcycle w/ Sidecar (Halfsquad) <i>mc</i>,,,,,,,,,,,24,,,,,,,,,,,,,,,s13,1.0,MotorS2,nat=sh|pp=2PP@mgs|man=9@in_gs,,,
0,Motorcycle w/ Sidecar (Squad) <i>mc</i>,,,,,,,,,,,24,,,,,,,,,,,,,,,s14,1.0,MotorS3,nat=sh|pp=3PP@mgs|man=9@in_gs,,,
0,Wagon <i>None</i>,,,,,,,★,,,,8,,,,,,,,,,,,,,15PP/T6,s15,1.0,Wagon,nat=sh|display_name,,,
0,Sledge <i>None</i>,,,,,,,★,,,,6,,,,,,,,,,,,,,15PP/T6,s16,1.0,Sledge,nat=sh|display_name,,,
0,Searchlight <i>None</i>,,,,,,+1,★,,,,*SL,,SL,,,,,,,,,,,,,s17,1.0,SL,nat=sh|shift_armor_down|range=[1-44]@mgs|man=7@above_mgs,,,
