count,name,gun_type,caliber,rof_ife,breakdown,range,manhandling,target_size,dates,special,bpv,rf,notes,version,piece,r_x,overrides,limbered,svg_image_transform,reverse,comments
<b>#</b>,<b>Name</b>,<b>Type</b>,<b>CSize</b>,<b>ROF (IFE)</b>,<b>B#</b>,<b>Range</b>,<b>M#</b>,<b>TSize</b>,<b>Dates</b>,<b>Special</b>,<b>BPV</b>,<b>RF</b>,<b>Notes</b>,,,,ignore,,,,
<b>KPA</b>,,,,,,,,,,,,,,,,,announce,,,,
B,50mm RM obr. 40,MTR,"<span style=""text-decoration:overline"">50</span>*",3,,3-20,–,–,6–12/50,4PP,–,–,"1, A, B",,,,ignore,,,,
B,82mm BM obr. 37,MTR,"<span style=""text-decoration:overline"">82</span>*",3,,3-78,11,1,6/50-53,"NT, QSU, s8, IR",28,1.0-1.1†,"2†, A, B",1.0,nkMTR82s,,nat=nk|range=$$,,,,
B,120mm PM obr. 38,MTR,"<span style=""text-decoration:overline"">120</span>*",2,,12-151,<b>9</b>,1,6/50-53,"NT, QSU, s8",24,1.2-1.3†,"3†, B",1.0,nkMTR120s,,nat=nk|range=$$@sz-1.0,,,,
B,14.5mm PTRD-41,ATR,,,,12,–,–,6/50-53,1PP,–,–,"4, B",,,,ignore,,,,
2,14.5mm PTRS-41,ATR,,1,11,16†,–,–,6/50-53,"2PP, TK#: 6†",–,–,5†,,,,ignore,,,,
B,45mm PTP obr. 37,AT,45L,3,,110,11,1,6/50-53,"NT, QSU, A7",29,1.3-1.4†,"6†, B",1.0,nkAT45L,,nat=nk|qual=a,,,,
B,45mm PTP obr. 42,AT,45LL,3,,138,11,1,6/50-53,"NT, QSU, A7",30,1.2-1.3†,"6†, B",1.0,nkAT45LL,,nat=nk|qual=b,,,,
B,76.2mm PP obr. 27,INF,76*,2,,214,8,1,6/50-53,"NT, QSU, H6, s8",30,1.3-1.4†,"7†, A, B",1.0,nkINF76s,,nat=nk,,,,
B,76.2mm obr. 02/30,ART,76,1,,310,7,0,6/50-53,"NT, QSU, s8, h-d",27,1.3-1.4†,"8†, B",1.0,nkAR76,,nat=nk,,,,
B,76.2mm obr. 42,ART,76L,2,,332,9,0,6/50-53,"NT, QSU, A7, s8",35,1.5-1.3†,"9†, B",1.0,nkAR76L,,nat=nk,,,,
B,107mm P obr. 10/30,ART,"<span style=""text-decoration:overline"">107</span>",1,11,409,<b>7</b>,0,6/50-53,"NT, s8, h-d",27,1.6,"10, B",1.0,nkAR107,,nat=nk,no_fire,,,
B,122mm G obr. 38,ART,"<span style=""text-decoration:overline"">122</span>",1,,303,<b>6</b>,0,6/50-53,"NT, H6, s8",34,1.4-1.5†,"11†, B",1.0,nkAR122,,nat=nk,no_fire,,,
B,122mm obr. 31,ART,122L,1,,522,<b>2</b>,-1,6/50-53,"NT, s8",44,1.5,"12, B",1.0,nkAR122L,,nat=nk,no_fire,,,
B,152mm GP obr. 37,ART,152,,,432,<b>2</b>,-1,6/50-53,NT,44,1.5,"13, B",1.0,nkAR152,,nat=nk,no_fire,,,
B,37mm ZP obr. 39,AA,37L,3 (8),,200,8,0,6/50-53,T,30,1.4-1.5†,"14†, B",1.0,nkAA37L,,nat=nk,no_fire,,,
B,85mm ZP obr. 39,AA,85L,2,,391,<b>5</b>,-1,6/50-53,T,44,1.5,"15, B",1.0,nkAA85L,,nat=nk,no_fire,,,
<b>CVPA</b>,,,,,,,,,,,,,,,,,announce,,,,
4,M1A1 Rocket Launcher,–,,,X11,4,–,–,10/50-53,1PP,–,–,16,,,,ignore,,,,
4,Type 51 Rocket Launcher,–,,,X10,5,–,–,9/51-53,1PP,–,–,17,,,,ignore,,,,
4,50mm Type 89 Heavy Grenade Launcher,MTR,"<span style=""text-decoration:overline"">50</span>*",2†,11,1-16,–,–,10/50-3/51,4PP,–,–,"18†, A",,,,ignore,,,,
4,60mm Type 31 Mortar,MTR,"<span style=""text-decoration:overline"">60</span>*",3,11,3-45,–,–,10/50-53,5PP,–,–,"19, A",,,,ignore,,,,
4,82mm Type 20 Mortar,MTR,"<span style=""text-decoration:overline"">82</span>*",3,11,3-75,11,1,10/50-53,"NT, QSU",23,1.1-1.3†,"20†, A",1.0,ccMTR82-20(KFW),,nat=cc|range=$$,,,,
4,82mm Type 53 Mortar,MTR,"<span style=""text-decoration:overline"">82</span>*",3,,3-78,11,1,6/51-53,"NT, QSU, s6",27,1.2-.9†,"21†, A",1.0,ccMTR82-53(KFW),,nat=cc|range=$$,,,,
2,120mm PM obr. 38,MTR,"<span style=""text-decoration:overline"">120</span>*",2,,12-151,<b>9</b>,1,6/51-53,"NT, QSU, s6",23,1.4-1.2†,22†,1.0,ccMTR120(KFW),,nat=cc|range=$$@sz-1.0,,,,
3,45mm PTP obr. 42,AT,45LL,3,,138,11,1,6/51-53,"NT, QSU, A7",30,1.4-1.3†,23†,1.0,ccAT45LL(KFW),,nat=cc,,,,
2,47mm Type 1 Machine-Moved Gun,AT,47L,3,11,191,11,1,51-53,"NT, QSU",33,1.4-1.5†,24†,1.0,ccAT47L(KFW),,nat=cc,,,,
2,57mm PTP obr. 43,AT,57LL,3,,210,10,1,6/51-53,"NT, QSU, A6",36,1.4-1.3†,25†,1.0,ccAT57LL(KFW),,nat=cc,,,,
3,57mm Type 36 Recoilless Rifle,RCL,"<span style=""text-decoration:overline"">57</span>",1,10,110,–,–,10/50-53,"3PP, H6, WP5, crewed†",26,1.4-1.3†<sup>1</sup>,"26†<sup>1</sup>, R†",,,,ignore,,,,
3,75mm Type 52 Recoilless Rifle,RCL,"<span style=""text-decoration:overline"">75</span>",1,11,160,–,–,6/52-53,"5PP, H6, WP5, crewed†",33,1.4,"27, R†",,,,ignore,,,,
2,70mm Type 92 Infantry Gun,INF,70*,1,11,(3)†-70,12,1,51-53,"NT, QSU, AP3, H3, h-d",29,1.3-1.4†,"28†, A",1.0,ccINF70(KFW),,nat=cc|range=(3)<*>-70,,,,
2,76.2mm PP obr. 27,INF,76*,2,,214,8,1,6/51-53,"NT, QSU, H6, s6",29,1.4-1.3†,"29†, A",1.0,ccINF76(KFW),,nat=cc,,,,
2,Year-38 Type Field Gun (Improved),ART,75*,1,11,265,9,0,4/51-53,"NT, QSU, h-d, “12” AP TK#†",29,1.4-1.5†,30†,1.0,ccART75(KFW),,nat=cc|ma=[*]$$,,,,
2,76.2mm obr. 42,ART,76L,2,,332,9,0,6/51-53,"NT, QSU, A7, s6",34,1.5-1.4†,31†,1.0,ccART76L(KFW),,nat=cc,,,,
2,Type 93 Twin-Mount High-Angle Machine Gun,AA,12.7,3 (12),11,†,<b>7</b>,1,10/50-53,"T, 2 TK DR†, Towing NA†",33,1.6-1.5†,"32†, A",1.0,ccAA127(KFW),,nat=cc|ma=[*]$$|man=[*]$$,no_fire,,,
