nationality,values,armor,assault_engineer,broken,wounded,piece,version,overrides,svg_image_transform,comments
cc,10-1,no,no,no,no,cc101Ldr,0.1,,,
cc,10-0,no,no,no,no,cc100Ldr,0.1,,,
cc,9-1,no,no,no,no,cc91Ldr,0.1,,,
cc,9-0,no,no,no,no,cc90Ldr,0.1,,,
cc,8-1,no,no,no,no,cc81Ldr,0.1,,,
cc,8-0,no,no,no,no,cc80Ldr,0.1,,,
cc,7-0,no,no,no,no,cc70Ldr,0.1,,,
cc,6+1,no,no,no,no,cc61Ldr,0.1,,,
cc,10-0,no,no,no,no,cc100PO,0.1,,,
cc,9-0,no,no,no,no,cc90PO,0.1,,,
cc,1-4-9,no,no,no,no,ccHero,0.1,,,
cc,1-3-8,no,no,no,yes,ccHerob,0.1,,,
cc,10,no,no,yes,no,cc10Ldrb,0.1,,,
cc,9,no,no,yes,no,cc9Ldrb,0.1,,,
cc,8,no,no,yes,no,cc8Ldrb,0.1,,,
cc,7,no,no,yes,no,cc7Ldrb,0.1,,,
cc,6,no,no,yes,no,cc6Ldrb,0.1,,,
cc,10,no,no,yes,no,cc100POb,0.1,,,
cc,9,no,no,yes,no,cc90POb,0.1,,,
cc,10-2,yes,no,no,no,ccAL102,0.1,,,
cc,9-2,yes,no,no,no,ccAL92,0.1,,,
cc,9-1,yes,no,no,no,ccAL91,0.1,,,
cc,8-1,yes,no,no,no,ccAL81,0.1,,,
cc,_aleader,,,,,ccalb,0.1,,,
cc,Sniper,,,,,ccSniper,0.1,counter_size=60,,
cc,_sniper,,,,,ccSniperb,0.1,,,
cc,Sniper,,,,,ccSnS,0.1,opacity=0.33,,
cc,,,,,,ccBU1,0.1,ignore|copy,,
cc,,,,,,ccBU2,0.1,ignore|copy,,
cc,,,,,,ccBU3,0.1,ignore|copy,,
cc,,,,,,ccBU4,0.1,ignore|copy,,
cc,,,,,,ccBU5,0.1,ignore|copy,,
cc,,,,,,ccBU6,0.1,ignore|copy,,
cc,,,,,,ccCE1,0.1,ignore|copy,,
cc,,,,,,ccCE2,0.1,ignore|copy,,
cc,,,,,,ccCE3,0.1,ignore|copy,,
cc,,,,,,ccCE4,0.1,ignore|copy,,
cc,,,,,,ccCE5,0.1,ignore|copy,,
cc,,,,,,ccCE6,0.1,ignore|copy,,
cc,NtBu,,,,,ccBUnt,0.1,ignore,,
cc,NtCe,,,,,ccCEnt,0.1,ignore,,
nk,10-3,no,no,no,no,nk10-3ldrKFW,0.1,,,
nk,10,no,no,yes,no,nk10-3ldrKFW-bkn,0.1,,,
nk,10-2,no,no,no,no,nk10-2ldrKFW,0.1,,,
nk,10,no,no,yes,no,nk10-2ldrKFW-bkn,0.1,,,
nk,9-2,no,no,no,no,nk9-2ldrKFW,0.1,,,
nk,9,no,no,yes,no,nk9-2ldrKFW-bkn,0.1,,,
nk,9-1,no,no,no,no,nk9-1ldrKFW,0.1,,,
nk,9,no,no,yes,no,nk9-1ldrKFW-bkn,0.1,,,
nk,8-1,no,no,no,no,nk8-1ldrKFW,0.1,,,
nk,8,no,no,yes,no,nk8-1ldrKFW-bkn,0.1,,,
nk,8-0,no,no,no,no,nk8-0ldrKFW,0.1,,,
nk,8,no,no,yes,no,nk8-0ldrKFW-bkn,0.1,,,
nk,7-0,no,no,no,no,nk7-0ldrKFW,0.1,,,
nk,7,no,no,yes,no,nk7-0ldrKFW-bkn,0.1,,,
nk,6+1,no,no,no,no,nk6+1ldrKFW,0.1,,,
nk,6,no,no,yes,no,nk6+1ldrKFW-bkn,0.1,,,
nk,1-4-9,no,no,no,no,nkHeroKFW,0.1,,,
nk,1-3-8,no,no,no,yes,nkHeroKFW-wnd,0.1,,,
nk,(1)-0-9,no,no,no,no,nkSHKFW,0.1,,,
nk,(1)-0-8,no,no,no,yes,nkSHKFW-wnd,0.1,,,
nk,10-0,no,no,no,no,nk10-0comKFW,0.1,,,
nk,10,no,no,yes,no,nk10-0comKFW-bkn,0.1,,,
nk,9-0,no,no,no,no,nk9-0comKFW,0.1,,,
nk,9,no,no,yes,no,nk9-0comKFW-bkn,0.1,,,
nk,8+1,no,no,no,no,nk8+1comKFW,0.1,,,
nk,8,no,no,yes,no,nk8+1comKFW-bkn,0.1,,,
nk,10-2,yes,no,no,no,nkal102,0.1,,,
nk,9-2,yes,no,no,no,nkal92,0.1,,,
nk,9-1,yes,no,no,no,nkal91,0.1,,,
nk,8-1,yes,no,no,no,nkal81,0.1,,,
nk,6+1,yes,no,no,no,nkal61,0.1,,,
nk,_aleader,,,,,nkalb,0.1,,,
nk,Sniper,,,,,nkSniper,0.1,counter_size=60,,
nk,Sniper,,,,,nkSnS,0.1,opacity=0.33,,
nk,,,,,,nkBU1,0.1,ignore|copy,,
nk,,,,,,nkBU2,0.1,ignore|copy,,
nk,,,,,,nkBU3,0.1,ignore|copy,,
nk,,,,,,nkBU4,0.1,ignore|copy,,
nk,,,,,,nkBU5,0.1,ignore|copy,,
nk,,,,,,nkBU6,0.1,ignore|copy,,
nk,,,,,,nkCE1,0.1,ignore|copy,,
nk,,,,,,nkCE2,0.1,ignore|copy,,
nk,,,,,,nkCE3,0.1,ignore|copy,,
nk,,,,,,nkCE4,0.1,ignore|copy,,
nk,,,,,,nkCE5,0.1,ignore|copy,,
nk,,,,,,nkCE6,0.1,ignore|copy,,
nk,NtBu,,,,,nkBUnt,0.1,ignore,,
nk,NtCe,,,,,nkCEnt,0.1,ignore,,
