count,name,radioless,weight,bpv,rf,dates,size,af,ta,ot,cs,mp,gp,gt,ma,rof_ife,breakdown,intensive_fire,bmg,cmg,aamg,sa,ammunition,smoke_depletion,smoke_discharger,transport,notes,version,piece,overrides,svg_image_transform,reverse,comments
<b>#</b>,<b>Name & <i>Type</i></b>,,<b>WGT</b>,<b>BPV</b>,<b>RF</b>,<b>Dates</b>,<b>Size</b>,<b>AF</b>,<b>TA</b>,<b>OT</b>,<b>CS</b>,<b>MP</b>,<b>GP</b>,<b>GT</b>,<b>MA</b>,<b>ROF</b>,<b>B#</b>,<b>IF</b>,<b>BMG</b>,<b>CMG</b>,<b>AAMG</b>,<b>SA</b>,<b>Am</b>,<b>s#</b>,<b>sD#</b>,<b>PP/T#</b>,<b>Notes</b>,,,ignore,,,
6,T-34/85 <i>MT</i>,,32,76,1.2-1.6†,6/50-53,0,11/6,+SR,,6,16,,T,T85L,1,,,2,4,,,A6,,6†,,1†,1.0,nkT34(85L)KFW,nat=nk,,,
2,SU-76M <i>AG</i>,,10.5,46,1.2-1.6†,6/50-53,+1,4/1,-F,•,<b>4</b>,16,L,NT,B76L,2,,,,,,,A7,,,,2†,1.0,nkSU(76M)KFW,nat=nk,,,
B,BA-64B <i>AC</i>,,2.5,25,1.3-1.6†,6/50-53,+1,1/0,+SR,•,2,30<sup>t</sup>,,1MT†,CMG,1,,,,4,†,,,,,,"3†, B",1.0,nkBA64B,nat=nk,,,
B,GAZ-67B <i>tr</i>,,1.5,13,1.3-1.5†,6/50-53,+2,★,,,<i>2</i>,33<sup>t</sup>,L†,,,,,,,,,,,,,9PP/T10,"4†, B",1.0,nkGAZ67B,nat=nk|qual=a,,,
B,GAZ-MM <i>tr</i>,,3,15,1.3-1.5†,6/50-53,+1,★,,,<i>6</i>,25<sup>t</sup>,,,,,,,,,,,,,,21PP/T8,"4†, B",1.0,nkGAZMM,nat=nk|qual=b,,,
B,ZIS-5 <i>tr</i>,,6,17,1.3-1.5†,6/50-53,0,★,,,<i>7</i>,21<sup>t</sup>,H,,,,,,,,,,,,,29PP/T4,"4†, B",1.0,nkZIS5,nat=nk|qual=c,,,
B,IAG-6 <i>tr</i>,,10,19,1.3-1.5†,6/50-53,-1,★,,,<i>7</i>,15<sup>t</sup>,H,,,,,,,,,,,,,33PP/T-4,"4†, B",1.0,nkIAG6,nat=nk|qual=d,,,
2,GAZ-51 <i>tr</i>,,6,18,1.3-1.5†,6/50-53,0,★,,,<i>6</i>,29<sup>t</sup>,,,,,,,,,,,,,,23PP/T6,5†,1.0,nkGAZ(51)KFW,nat=nk,,,
2,ZIS-151 <i>tr</i>,,8,18,1.3-1.5†,6/50-53,0,★,,,<i>7</i>,28<sup>t</sup>,,,,,,,,,,,,,,29PP/T5,6†,1.0,nkZIS(151)KFW,nat=nk,,,
