nationality,class,firepower,range,morale,assault_fire,smoke,spraying_fire,elr,self_rally,assault_engineer,bpv,piece,version,overrides,svg_image_transform,comments
fi,AE,8,3,8,yes,2,yes,yes,yes,yes,18,fi838Sae,0.1,,,
fi,AE,3,3,8/7,no,0,no,yes,yes,yes,9,fi338Hae,0.1,,,
fi,E,8,3,8,yes,2,yes,yes,yes,no,17,fi838S,0.1,,,
fi,E,3,3,8/7,no,0,no,yes,yes,no,8,fi338H,0.1,,,
fi,1,6,4,8,yes,0,yes,no,yes,no,15,fi648S,0.1,,,
fi,1,2,4,8/7,no,0,no,no,yes,no,7,fi248H,0.1,,,
fi,[1],5,4,8,yes,0,yes,no,yes,no,14,fi548,0.1,,,
fi,[1],2,3,8/7,no,0,no,no,yes,no,6,fi238,0.1,,,
fi,2,4,4,7,yes,0,no,no,yes,no,10,fi447,0.1,,,
fi,2,2,3,7/6,no,0,no,no,yes,no,5,fi237,0.1,,,
fi,G,5,3,8,yes,0,yes,no,yes,no,13,fi538S,0.1,,,
fi,G,2,3,8/7,no,0,no,no,yes,no,6,fi238H,0.1,,,
fi,C,4,3,7/6,no,0,no,no,no,no,5,fi437,0.1,,,
fi,C,2,2,7/5,no,0,no,no,no,no,2,fi227,0.1,,,
fi,broken,,,8,,,,,yes,,,fis8b,0.1,,,
fi,broken,,,7,,,,,yes,,,fis7b,0.1,,,
fi,broken,,,0,,,,,yes,,,fis0b,0.1,,,
fi,broken,,,7,,,,,yes,,,fih7b,0.1,,,
fi,broken,,,0,,,,,yes,,,fih0b,0.1,,,
fi,broken,,,8,,,,,yes,,,fic8b,0.1,,,
fi,broken,,,7,,,,,yes,,,fic7b,0.1,,,
fi,crew,2,2,8,no,0,no,no,yes,no,6,fi228C,0.1,,,
fi,crew,1,2,7,no,0,no,no,yes,no,5,fi127C,0.1,,,
fi,broken,,,6,,,,,yes,,,fiBrk6bx,0.1,,,
fi,broken,,,6,,,,,no,,,fiBrk6,0.1,,,
fi,broken,,,5,,,,,no,,,fiBrk5,0.1,,,
fi,?C,,,,,,,,,,,fiqcloak,0.1,,,
fi,?,,,,,,,,,,,fiqmark,0.1,,,
fi,?58,,,,,,,,,,,fiqmark58,0.1,,,
fi,?me,,,,,,,,,,,fiqmarkme,0.1,,,
fi,?roi,,,,,,,,,,,fiNoRoi,0.1,,,
fi,none,,,,,,,,,,,fi000H,0.1,,,
fi,none,,,,,,,,,,,fi000S,0.1,,,
fi,none,,,,,,,,,,,fiblank12,0.1,,,
fi,none,,,,,,,,,,,fiblank58,0.1,counter_size=60,,
