count,name,gun_type,caliber,rof_ife,breakdown,range,manhandling,target_size,dates,special,bpv,rf,notes,version,piece,r_x,overrides,limbered,svg_image_transform,reverse,comments
<b>#</b>,<b>Name</b>,<b>Type</b>,<b>CSize</b>,<b>ROF (IFE)</b>,<b>B#</b>,<b>Range</b>,<b>M#</b>,<b>TSize</b>,<b>Dates</b>,<b>Special</b>,<b>BPV</b>,<b>RF</b>,<b>Notes</b>,,,,ignore,,,,
3,47 Krh/41,MTR,"<span style=""text-decoration:overline"">47</span>",2,,1-4,–,–,42-44,2PP,–,–,"1, A",,,,ignore,,,,
3,50 Krh/39(r),MTR,"<span style=""text-decoration:overline"">50</span>*",3,11†,3-20,–,–,40-45,"4PP, B12<sup>3+</sup>†",–,–,"2†, A, B",,,,ignore,,,,
3,81 Krh/32,MTR,"<span style=""text-decoration:overline"">81</span>*",3,,3-71†,11,1,32-45,"NT, QSU, s8<sup>N1+</sup>†, IR<sup>3+</sup>†, 5PP dm",28,1.0-.9†,"3†, A",1.0,fi81mmMTR,,range=[3-71][*],,,,|range2=[3-71][*]@sz-1.2
3,81 Savunheitin M/42,MTR,"<span style=""text-decoration:underline""><span style=""text-decoration:overline"">81</span></span>*",3,,2-18†,12,1,41-45,"NT, QSU, s†, 4PP dm",20,1.3-1.2†,"4†, A",1.0,fi81mmMTR Savu,,ma=[*]$$|range=<*>[2-25]<sup>3+</sup>@sz-1.0|range2=[2-18]@sz-1.0,,,,|range2=[2-18]@sz-1.2
2,120 Krh/40,MTR,"<span style=""text-decoration:overline"">120</span>*",2,,12-151,<b>9</b>,1,41-45,"NT, QSU",24,1.3-1.2†,5†,1.0,fi120MTR,,range=$$@sz-1.0,,,,
4,Boys ATR(b),ATR,,,,12,–,–,2/40-42,"1PP, “British”†",–,–,6†,1.0,,,ignore,,,,
4,Lahti ATR,ATR,"<span style=""text-decoration:underline"">20</span>L",1,,12,–,–,41-45,"4PP, Light AA fire in 44+†, B30.35†",–,–,"7†, A",1.0,,,ignore,,,,
3,20 PstK/40,AT,20L,2 (6),11†,50,12,1,2/40-41,"NT, QSU, R2, IFE=B10, Towing NA†<sup>1</sup>",25,1.6,"8†, C†<sup>1</sup>",1.0,fi20LAT,2/6,ma=[*]$$|mb=B11[*]|range=$$,,,no shield,
3,25 PstK/37(f),AT,"<span style=""text-decoration:underline"">25</span>LL",3,,45,12,1,2/40-41,"NT, QSU",25,1.5-1.3†,"9†, B, D",1.0,fi25LLAT,,ma=[*]$$|range=$$,,,black_th,
3,37 PstK/36(s),AT,"<span style=""text-decoration:underline"">37</span>L",3,,177,12,1,39-45,"NT, QSU, HE<sup>1+</sup>†",26,1.4-1.2†,"10†, A, B",1.0,fi37LAT,,ma=[*]$$,,,black_th,
3,37 PstK/37(g),AT,37L,3,,120,12,1,41-45,"NT, QSU, H6[9]<sup>3+</sup>†",28,1.3,"11†, B, D",1.0,fi37LAT_H,,ma=[*]$$|ammo=H6[9]<sup>3+</sup>@sz-1.0,,,black_th,
4,45 PstK/32(r),AT,45L,3,,110,11,1,12/39-45,"NT, QSU",27,1.6-1.0†,"12†, B",1.0,fi45LAT,,,,,,
3,50 PstK/38(g),AT,50L,3,,75,10,1,8/42-45,"NT, QSU, A4",37,1.5,"13, B",1.0,fi50LAT,,ma=[*]$$|range=$$,,,black_th,
2,75 PstK/97-38(g),AT,75,2,11†,275,8,0,6/43-45,"NT, QSU, H8, H=B12",36,1.4,"14†, B",1.0,fi75AT,,ma=[*]$$|mb=$$[*],,,black_th,
3,75 PstK/40(g),AT,75L,2,,192,8,1,7/43-45,"NT, QSU, A3, H4, s7",43,1.3,"15, B",1.0,fi75LAT,,ma=[*]$$,,,black_th,
3,76 RK/27(r),INF,76*,2,,214,8,1,40-45,"NT, QSU, H6<sup>J4+</sup>†, s6",30,1.6-1.2†,"16†, A, B",1.0,fi76INF,,,,,,
3,75 K/02,ART,"<span style=""text-decoration:overline"">75</span>",1,11,232,8,0,12/39-45,"NT, QSU, s6",31,1.5-1.2†,17†,1.0,fi75ART,,,,,,
3,76 LK/13,ART,"<span style=""text-decoration:overline"">76</span>*",2,11,175,9,1,18-45,"NT, QSU, s6",23,1.4,18,1.0,fi76ART,,,,,,
3,76 K/02(r),ART,"<span style=""text-decoration:overline"">76</span>*",1,11,219,8,0,18-45,"NT, QSU, s6, h-d",21,1.2-1.1†,"19†, B",1.0,fi76ART2,,,,,,
2,76 K/36(r),ART,76LL†<sup>1</sup>,2,,340,8,0,2/40-45,"NT, QSU, s6",36,1.6-1.4†,"20†, B, E†<sup>1</sup>",1.0,fi76LLART,,,,,,
2,87 K/95,ART,"<span style=""text-decoration:overline"">87</span>*",,11,160,11,0,18-41,"NT, QSU, no IF, Acq. NA†, h-d",22,1.5,"21, F†",1.0,fi87ART,,ma=[*]$$,,,,
2,90 K/77,ART,"<span style=""text-decoration:overline"">90</span>*",,10,175,8,0,2/40-6/44,"NT, QSU, no IF, Acq. NA†<sup>1</sup>, h-d",21,1.6-1.4†,"22†, F†<sup>1</sup>",1.0,fi90ART,,ma=[*]$$,,,,
2,105 H/33(g),ART,105,1,,266,<b>6</b>,0,2/44-45,"NT, H6<sup>A4+</sup>†, s8, h-d",38,1.4,"23†, B",1.0,fi105ART,,ma=[*]$$,no_fire,,,
2,105 H/37,ART,105,1,,312,<b>7</b>,0,43-45,"NT, s6",31,1.6-1.3†,24†,1.0,fi105ART2,,,no_fire,,,
2,105 H/41(t),ART,"<span style=""text-decoration:overline"">105</span>L",1,,455,<b>9</b>,0,10/41-45,"NT, H6<sup>A4+</sup>†, s8",39,1.3,"25†, B",1.0,fi105LART,,,no_fire,,,
2,107 K 10/13,ART,"<span style=""text-decoration:overline"">107</span>",,,308,<b>5</b>,-1,18-45,"NT, s5",29,1.6-1.4†,26†,1.0,fi107ART,,,no_fire,,,
2,107 K/77(r),ART,"<span style=""text-decoration:overline"">107</span>",,10,125,8,0,18-3/42,"NT, no IF, Acq. NA†<sup>1</sup>, h-d",27,1.3-1.6†,"27†, B, F†<sup>1</sup>",1.0,fi107ART2,,ma=[*]$$,no_fire,,,
2,114 H/18(b),ART,"<span style=""text-decoration:overline"">114</span>*",1,11,151,<b>7</b>,0,2/40-45,"NT, H4<sup>4+</sup>, s8, WP6<sup>4+</sup>",32,1.6-1.4†,28†,1.0,fi114ART,,ma=[*]$$,no_fire,,,
2,122 H/10(r),ART,"<span style=""text-decoration:overline"">122</span>*",1,11,190†,<b>8</b>,0,18-45,"NT, s6, WP6<sup>4+</sup>, h-d",30,1.4-1.3†,"29†, B",1.0,fi122ART,,,no_fire,,,
2,150 H/40(g),ART,"<span style=""text-decoration:overline"">150</span>",,,243,<b>2</b>,-1,41-45,"NT, H6, s8, NM",42,1.4,"30, B",1.0,fi150ART,,ma=[*]$$,,,,
2,155 H/17(f),ART,"<span style=""text-decoration:overline"">155</span>*",,11,282,<b>6</b>,-1,18-45,"NT, s6",39,1.3,"31, B",1.0,fi155ART,,ma=[*]$$,no_fire,,,
3,7.62 ItKK/31-40,AA,7.62,3 (8),,†,11,-1,31-45,"T, QSU, 2 TK DR†, Towing NA†<sup>1</sup>",26,1.3-1.0†,"32†, C†<sup>1</sup>",1.0,fi7.62AA,,ma=[*]$$|size=1,,,,
2,20 ItK/30 BSW(g),AA,20L,3 (4),11,120,10,1,11/39-45,"T, LF [NT, 20†, 2 ROF, B10]",27,1.4,"33, B, G†",1.0,fi20L4,,ma=[*]$$,ma=<*>20|mb=B10|rof=2|ife=(4)|size=0|mount=NT,,,
2,20 ItK/38 BSW(g),AA,20L,3 (6),,120,10,1,41-45,"T, LF [NT, 20†<sup>1</sup>, 2 ROF, B11]",32,1.5-1.3†,"34†, B, G†<sup>1</sup>",1.0,fi20L6,,ma=[*]$$,ma=<*>20|mb=B11|rof=2|ife=(6)|size=0|mount=NT,,,
2,20 ItK/35 Br,AA,20L,3 (4),,138,11,1,41-45,"T, LF [NT, 20†<sup>1</sup>, 2 ROF], Road MP = 1†",26,1.3,"35†, A, D, G†<sup>1</sup>",1.0,fi20L4_2,,,ma=<*>20|rof=2|ife=(4)|mount=NT,,,
3,20 ItK/40 VKT,AA,20L,3 (12),,130,9,0,6/43-45,"T, 2 TK DR†, LF [NT, 20†<sup>1</sup>, 2 ROF, 8 IFE, B11], Unhooking risk†",33,1.4-1.3†,"36†, D, G†<sup>1</sup>",1.0,fi20L12,,ma=[*]$$,ma=<*>20|mb=B11|rof=2|ife=(8)|mount=NT,,,
3,40 ItK/35-39 B(s),AA,40L,3 (8),,247,8,0,39-45,"T, LF [40†<sup>1</sup>, 2 ROF]",40,1.4-1.2†,"37†, B, G†<sup>1</sup>",1.0,fi40L,,ma=[*]$$,ma=<*>40|rof=2|ife=(8)|mount=NT,,black_th,
2,76 ItK/28 B(s),AA,76L,2,,125,<b>5</b>,-1,30-45,"T, LF [NT, 76†, 1 ROF]",39,1.6,"38, B, G†",1.0,fiAA76L,,ma=[*]$$,ma=<*>76|rof=1|mount=NT,,black_th,
1,76 ItK/31(r),AA,76LL†,2,,350,<b>5</b>,-1,42-45,T,39,1.6,"39, B, E†",1.0,fi76LLAA,,ma=[*]$$,no_fire,,,
0,8cm GrW 34(g)?,MTR,"<span style=""text-decoration:overline"">81</span>*",3,,2-60,11,+1,35-45,"NT, QSU, s8, IR",30,1.1-.9†,"3v†, N",1.0,fiMTR81s,,range=$$,,,,
0,Generic AA,AA,,,,,,,,,,,g1,1.0,fiAAgen,1/,gt=AA|mount=T,no_fire,,,
0,Generic ART,ART,,,,,,,,,,,g2,1.0,fiARgen,1/,,no_fire,,,
0,Generic AT,AT,,,,,,,,,,,g3,1.0,fiATgen,1/,,no_fire,,,
0,Generic MTR,MTR,,,,,,,,,,,g4,1.0,fiMTgen,1/,,no_fire,,,
