nationality,values,armor,assault_engineer,broken,wounded,piece,version,overrides,svg_image_transform,comments
fi,10-1,no,no,no,no,fiL101,0.1,,,
fi,10,no,no,yes,no,fiL101b,0.1,,,
fi,10-0,no,no,no,no,fiL100,0.1,,,
fi,10,no,no,yes,no,fiL100b,0.1,,,
fi,9-1,no,no,no,no,fiL91,0.1,,,
fi,9,no,no,yes,no,fiL91b,0.1,,,
fi,9-0,no,no,no,no,fiL90,0.1,,,
fi,9,no,no,yes,no,fiL90b,0.1,,,
fi,8-0,no,no,no,no,fiL80,0.1,,,
fi,8,no,no,yes,no,fiL80b,0.1,,,
fi,8+1,no,no,no,no,fiL8+1,0.1,,,
fi,1-4-9,no,no,no,no,fiHero,0.1,,,
fi,1-3-8,no,no,no,yes,fiHerob,0.1,,,
fi,10-2,yes,no,no,no,fial10-2,0.1,,,
fi,9-2,yes,no,no,no,fial9-2,0.1,,,
fi,9-1,yes,no,no,no,fial9-1,0.1,,,
fi,8-1,yes,no,no,no,fial8-1,0.1,,,
fi,_aleader,,,,,fialb,0.1,,,
fi,Sniper,,,,,fiSniper,0.1,counter_size=60,,
fi,Sniper,,,,,fiSnS,0.1,opacity=0.33,,
fi,,,,,,fiBU1,0.1,ignore|copy,,
fi,,,,,,fiBU2,0.1,ignore|copy,,
fi,,,,,,fiBU3,0.1,ignore|copy,,
fi,,,,,,fiBU4,0.1,ignore|copy,,
fi,,,,,,fiBU5,0.1,ignore|copy,,
fi,,,,,,fiBU6,0.1,ignore|copy,,
fi,,,,,,fiCE1,0.1,ignore|copy,,
fi,,,,,,fiCE2,0.1,ignore|copy,,
fi,,,,,,fiCE3,0.1,ignore|copy,,
fi,,,,,,fiCE4,0.1,ignore|copy,,
fi,,,,,,fiCE5,0.1,ignore|copy,,
fi,,,,,,fiCE6,0.1,ignore|copy,,
fi,NtBu,,,,,fiBUnt,0.1,ignore,,
fi,NtCe,,,,,fiCEnt,0.1,ignore,,
