nationality,counter,value,range,spraying_fire,rof,pp,breakdown,repair,leadership,piece,version,overrides,svg_image_transform,comments
fi,,,,,,,,,,fiATR20,0.1,copy,,
fi,Malf,,,,,,,1/6,,fiATRb,0.1,extra=No Long@M:29.0:29.0:-45!Range@M:33.0:33.0:-45,,
fi,ATR(b),1,12,,,1,,,,fibATR,0.1,,,
fi,Malf,,,,,,,1/6,,fibATRB,0.1,extra=No Long@M:29.0:29.0:-45!Range@M:33.0:33.0:-45,,
fi,DC,30,1,,,1,X12,,?,fiDC,0.1,,,
fi,_dc,,,,,,,,,fiDCb,0.1,,,
fi,FT,24,1,,,1,X10,,?,fiFT,0.1,,,
fi,_ft,,,,,,,,,fiFTb,0.1,,,
fi,LMG,3,8,yes,1,1,,,,fiLMG,0.1,,,
fi,Malf,,,,,,,1/6,,fiLMGb,0.1,,,
fi,LMG,2,8,yes,1,1@30.0:20.0,*B11,,,fiLMGsm,0.1,,,
fi,Malf,,,,,,,1/6,,fiLMGsmb,0.1,extra=*Snow&#47;Mud@M:29.0:29.0:-45!B10/X11@M:33.0:33.0:-45,,
fi,LMG(r),2,6,yes,1,1,B11,,,firLMG,0.1,,,
fi,Malf,,,,,,,1/6,,firLMGb,0.1,,,
fi,MMG,5,12,yes,2,3,,,,fiMMG,0.1,,,
fi,Malf,,,,,,,2/6,,fiMMGb,0.1,,,
fi,dmMMG,3,8,yes,1,2,,,,fiMMGdm,0.1,,,
fi,dmMMG,,,,,2,X,,,fiMMGdmb,0.1,,,
fi,MMG(r),4,10,yes,2,5,B11,,,firMMG,0.1,,,
fi,Malf,,,,,,,2/6,,firMMGB,0.1,extra=no dm@S:3.0:44.0@sz+1.0,,
fi,HMG(r),6,12,yes,3,5,,,,firHMG,0.1,,,
fi,Malf,,,,,,,3/6,,firHMGB,0.1,,,
fi,dmHMG(r),,,,,3@40.0:24.0,,,,firdmHMG,0.1,,,
fi,Malf,,,,,3@40.0:24.0,X,3/6,,firdmHMGB,0.1,,,
fi,HMG,7,16,yes,3,4,,,,fiHMG,0.1,,,
fi,Malf,,,,,,,3/6,,fiHMGb,0.1,,,
fi,dmHMG,3,8,yes,1,2,,,,fiHMGdm,0.1,,,
fi,dmHMG,,,,,2,X,,,fiHMGdmb,0.1,,,
fi,dmMTR,81mm,,,,5,,,,fidm81 5PP,0.1,extra=Krh&#47;41@M:44.0:24.0:-90,,
fi,dmMTR,81mm,,,,5,X,,,fidm81 5PPb,0.1,extra=Krh&#47;41@M:44.0:24.0:-90,,
fi,dmMTR,81mm,,,,5,,,,fiMTR81dm,0.1,,,
fi,dmMTR,81mm,,,,5,X,,,fiMTR81dmb,0.1,,,
fi,dmMTR,81mm,,,,4,,,,firdm81mtr4pp,0.1,extra=M&#47;42@M:44.0:24.0:-90,,
fi,dmMTR,81mm,,,,4,X,,,firdm81mtr4ppB,0.1,extra=M&#47;42@M:44.0:24.0:-90,,
fi,dmMTR,81mm,,,,4,,,,firdm81mtr5pp,0.1,,,
fi,dmMTR,81mm,,,,4,X,,,firdm81mtr5ppB,0.1,,,
fi,MTR,"<tspan style=""text-decoration:overline"">47</tspan>",[1-4],,2,2,,,,fi47mtr,0.1,,,
fi,Malf,,,,,,,1/6,,fi47mtrB,0.1,,,
fi,MTR(r),"<tspan style=""text-decoration:overline"">50</tspan>&#x273D;",[3-20],,3,4@30.0:20:0,*B11,,,fi50mtr,0.1,,,
fi,Malf,,,,,,,1/6,,fi50mtrB,0.1,extra=*B12 3+@M:33.0:33.0:-45,,
fi,dmMTR(r),50mm,,,,2,,,,fi50mtrdm,0.1,,,
fi,dmMTR(r),50mm,,,,2,X,,,fi50mtrdmB,0.1,,,
fi,MTR,"<tspan style=""text-decoration:overline"">50</tspan>&#x273D;",[2-13],,3,5,,,,fiMTR,0.1,,,
fi,Malf,,,,,,,1/6,,fiMTRb,0.1,,,
fi,dmMTR,50mm,,,,3,,,,fiMTRdm,0.1,,,
fi,dmMTR,50mm,,,,3,X,,,fiMTRdmb,0.1,,,
fi,PSK,12,4,,,1@24.0:24.0,X10,,,fiPSK,0.1,extra=26TK,,tk=26
fi,_psk,,,,,,,,,fiPSKb,0.1,,,text=th_psk
fi,Phone,11,,,,,X12,,?,fiphone,0.1,,,
fi,_phone,,,,,,,,,fiphoneb,0.1,,,
fi,Radio,8,,,,1,,,?,firadio,0.1,,,
fi,Malf,,,,,,,1/6,,firadiob,0.1,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
