nationality,class,firepower,range,morale,assault_fire,smoke,spraying_fire,elr,self_rally,assault_engineer,bpv,piece,version,overrides,svg_image_transform,comments
fr,AE,4,5,8/7,no,3,no,no,no,yes,13,fr458Sae,0.1,,,
fr,AE,2,4,8/6,no,0,no,no,no,yes,5,fr248Hae,0.1,,,
fr,E,4,5,8/7,no,1,no,no,no,no,12,fr458S|vf458S@vf,0.1,,,
fr,E,2,4,8/6,no,0,no,no,no,no,4,fr248H|vf248H@vf,0.1,,,
fr,1,4,5,7/6,no,0,no,no,no,no,8,fr457S|vf457S@vf,0.1,,,
fr,1,2,3,7/5,no,0,no,no,no,no,3,fr237H|vf237H@vf,0.1,,,
fr,G,4,3,7/6,no,0,no,no,no,no,6,fr437S|vf437S@vf,0.1,,,
fr,G,2,2,7/5,no,0,no,no,no,no,2,fr227H|vf227H@vf,0.1,,,
fr,broken,,,7,,,,,no,,,frs7b|vfs7b@vf,0.1,,,
fr,broken,,,6,,,,,no,,,frs6b|vfs6b@vf,0.1,,,
fr,broken,,,0,,,,,no,,,frs0b|vfs0b@vf,0.1,,,
fr,broken,,,6,,,,,no,,,frh6b|vfh6b@vf,0.1,,,
fr,broken,,,5,,,,,no,,,frh5b|vfh5b@vf,0.1,,,
fr,broken,,,0,,,,,no,,,frh0b|vfh0b@vf,0.1,,,
fr,broken,,,7,,,,,yes,,,frc7b|vfc7b@vf,0.1,,,
fr,broken,,,6,,,,,yes,,,frc6b|vfc6b@vf,0.1,,,
fr,crew,2,2,8/7,no,0,no,no,yes,no,6,fr228C|vf228C@vf,0.1,,,
fr,crew,1,2,7/6,no,0,no,no,yes,no,5,fr127C|vf127C@vf,0.1,,,
fr,?C,,,,,,,,,,,frqcloak|vfqcloak@vf,0.1,,,
fr,?,,,,,,,,,,,frqmark|vfqmark@vf,0.1,,,
fr,?58,,,,,,,,,,,frqmark58,0.1,,,
fr,?me,,,,,,,,,,,frqmarkme|vfqmarkme@vf,0.1,,,
fr,?roi,,,,,,,,,,,frNoRoi|vfNoRoi@vf,0.1,,,
fr,none,,,,,,,,,,,fr000H|vf000H@vf,0.1,,,
fr,none,,,,,,,,,,,fr000S|vf000S@vf,0.1,,,
fr,none,,,,,,,,,,,frblank12|vfblank12@vf|ffblank12@ff,0.1,,,
fr,none,,,,,,,,,,,frblank58|vfblank58@vf|ffblank58@ff,0.1,counter_size=60,,
ff,E,6,4,8,yes,2,yes,yes,no,no,14,ff648S,0.1,,,
ff,E,3,3,8/7,no,0,no,no,no,no,6,ff338H,0.1,,,
ff,[E],4,5,8,no,2,no,no,no,no,13,ff458S,0.1,,,
ff,[E],2,4,8/7,no,0,no,no,no,no,5,ff248H,0.1,,,
ff,[1],4,5,7,no,2,no,no,no,no,10,ff457S,0.1,,,
ff,[1],2,4,7/6,no,0,no,no,no,no,4,ff247H,0.1,,,
ff,2,4,4,7,no,0,no,no,no,no,7,ff447S,0.1,,,
ff,2,2,3,7/6,no,0,no,no,no,no,3,ff237H,0.1,,,
ff,G,4,3,6,no,0,no,no,no,no,5,ff436S,0.1,,,
ff,G,2,2,6/5,no,0,no,no,no,no,2,ff226H,0.1,,,
ff,broken,,,8,,,,,no,,,ffs8b,0.1,,,
ff,broken,,,7,,,,,no,,,ffs7b,0.1,,,
ff,broken,,,6,,,,,no,,,ffs6b,0.1,,,
ff,broken,,,0,,,,,no,,,ffs0b,0.1,,,
ff,broken,,,7,,,,,no,,,ffh7b,0.1,,,
ff,broken,,,6,,,,,no,,,ffh6b,0.1,,,
ff,broken,,,5,,,,,no,,,ffh5b,0.1,,,
ff,broken,,,8,,,,,yes,,,ffc8b,0.1,,,
ff,broken,,,7,,,,,yes,,,ffc7b,0.1,,,
ff,broken,,,6,,,,,yes,,,ffc6b,0.1,,,
ff,crew,2,2,8,no,0,no,no,yes,no,8,ff228C,0.1,,,
ff,crew,1,2,7,no,0,no,no,yes,no,7,ff127C,0.1,,,
