count,name,gun_type,caliber,rof_ife,breakdown,range,manhandling,target_size,dates,special,bpv,rf,notes,version,piece,r_x,overrides,limbered,svg_image_transform,reverse,comments
<b>#</b>,<b>Name</b>,<b>Type</b>,<b>CSize</b>,<b>ROF (IFE)</b>,<b>B#</b>,<b>Range</b>,<b>M#</b>,<b>TSize</b>,<b>Dates</b>,<b>Special</b>,<b>BPV</b>,<b>RF</b>,<b>Notes</b>,,,,ignore,,,,
4,LG de 50 mle 37(f),MTR,"<span style=""text-decoration:overline"">50</span>",2,,2-11,–,–,45,"2PP, crewed†",17,1.5,"1, A, B, C†, E",,,,ignore,,,,
4+<i>4</i>,Mortier de 60 mle 35,MTR,"<span style=""text-decoration:overline"">60</span>*",3,,3-42,–,–,37-3/45,"5PP, IR<sup>2+</sup>†, no OBA†",20†,1.3-1.4†,"2†, A, B, V",,,,ignore,,,,
3+<i>2</i>,Mortier de 81 mle 27/31,MTR,"<span style=""text-decoration:overline"">81</span>*",3,,3-71,11,1,30-3/45,"NT, QSU, s8",28,1.3-1.1†,"3†, A, B, D, V",1.0,frMTR81s,,range=$$,,,,
4,Fusil Antichar Boys,ATR,,,†,12,–,–,39-3/45†,1PP,4,1.5-1.0†,"4†, B",,,,ignore,,,,
4,Canon AC de 25 SA-L mle 34,AT,"<span style=""text-decoration:underline"">25</span>LL",3,,45,12,1,35-3/45†,"NT, QSU",25,1.2-1.3†,"5†, B, P",1.0,frAT25LL,,range=$$,,,,
2+<i>2</i>,Canon AC de 47 SA mle 37 APX,AT,"<span style=""text-decoration:underline"">47</span>L",3,<i>11</i>†,162,10,1,39-5/43†<sup>1</sup>,"NT, QSU, APCR only†<sup>1</sup>",28†,1.3-1.5†,"6†<sup>1</sup>, B, G†, P, V",1.0,frAT47L,,ma=[*]$$|mb=,,,,
2,Canon de 75 AC mle 97/35,AT,75,1,,277,7,0,35-6/40,"ST, LF [NT], HE7, s6, h-d, no shield",28,1.5,"7, E",1.0,frAT75,,,mount=NT,,,
4,Canon de 37 mle 16 TR,INF,37*,2,,60,–,–,17-3/45,"5PP (3PP dm), crewed†",25,1.3-1.2†<sup>1</sup>,"8†<sup>1</sup>, A, C†",,,,ignore,,,,
2,Canon de 65 M mle 06,INF,"<span style=""text-decoration:overline"">65</span>*",2,11,162,10,1,06-3/45†,"NT, QSU, no Gunshield, h-d",23,1.6-1.4†,"9†, A, P",1.0,frINF65s,,,,,,
2,Canon de 75 M mle 28,ART,75*,1,,225,9,0,28-3/45†,"NT, QSU, s6, AP5, h-d",23,1.5-1.3†,"10†, A, P",1.0,frAR75s,,,,,,
4,Canon de 75 mle 1897,ART,75,1,,277,8,0,00-3/45†,"NT, QSU, s8",33,1.3-1.4†,"11†, B, P",1.0,frAR75,,,,,,
2,Canon de 105 M mle 28,ART,"<span style=""text-decoration:overline"">105</span>*",,,196,<b>8</b>,0,29-3/45†,"NT, h-d",28,1.6-1.5†,"12†, A, P",1.0,frAR105s,,,no_fire,,,
2,Canon de 105 C mle 35 B,ART,"<span style=""text-decoration:overline"">105</span>",1,11,268,<b>7</b>,0,35-6/40†,NT,31,1.4,"13, E, F†",1.0,frAR105_n13,,,no_fire,,,
2,Canon de 105 L mle 13 S,ART,"<span style=""text-decoration:overline"">105</span>",,,330,<b>5</b>,-1,14-5/43†,NT,29,1.4-1.6†,"14†, P",1.0,frAR105_n14,,,no_fire,,,
2,Canon de 105 L mle 36 S,ART,"<span style=""text-decoration:overline"">105</span>L",,,410,<b>4</b>,-1,37-6/40†,NT,28,1.6,"15, E, F†",1.0,frAR105L,,,no_fire,,,
2,Canon de 155 C mle 17 S,ART,"<span style=""text-decoration:overline"">155</span>*",,11,282,<b>6</b>,-1,16-3/45†,"NT, s8",39,1.4-1.6†,16†,1.0,frAR155s,,,no_fire,,,
2,Canon de 155 GPF,ART,"<span style=""text-decoration:overline"">155</span>",,11,465,<b>-1</b>,-1,17-5/43†,"NT, RFNM, no IF",30,1.5-1.6†,17†,1.0,frAR155,,ma=[*]$$,,,,
