nationality,values,armor,assault_engineer,broken,wounded,piece,version,overrides,svg_image_transform,comments
fr,10-3,no,no,no,no,frL103|vfL103@vf|ffL103@ff,0.1,,,
fr,10,no,no,yes,no,frL103b|vfL103b@vf|ffL103b@ff,0.1,,,
fr,10-2,no,no,no,no,frL102|vfL102@vf|ffL102@ff,0.1,,,
fr,10,no,no,yes,no,frL102b|vfL102b@vf|ffL102b@ff,0.1,,,
fr,9-2,no,no,no,no,frL92|vfL92@vf|ffL92@ff,0.1,,,
fr,9,no,no,yes,no,frL92b|vfL92b@vf|ffL92b@ff,0.1,,,
fr,9-1,no,no,no,no,frL91|vfL91@vf|ffL91@ff,0.1,,,
fr,9,no,no,yes,no,frL91b|vfL91b@vf|ffL91b@ff,0.1,,,
fr,8-1,no,no,no,no,frL81|vfL81@vf|ffL81@ff,0.1,,,
fr,8,no,no,yes,no,frL81b|vfL81b@vf|ffL81b@ff,0.1,,,
fr,8-0,no,no,no,no,frL80|vfL80@vf|ffL80@ff,0.1,,,
fr,8,no,no,yes,no,frL80b|vfL80b@vf|ffL80b@ff,0.1,,,
fr,7-0,no,no,no,no,frL70|vfL70@vf|ffL70@ff,0.1,,,
fr,7,no,no,yes,no,frL70b|vfL70b@vf|ffL70b@ff,0.1,,,
fr,6+1,no,no,no,no,frL61|vfL61@vf|ffL61@ff,0.1,,,
fr,6,no,no,yes,no,frL61b|vfL61b@vf|ffL61b@ff,0.1,,,
fr,1-4-9,no,no,no,no,frHero|vfHero@vf|ffHero@ff,0.1,,,
fr,1-3-8,no,no,no,yes,frHerob|vfHerob@vf|ffHerob@ff,0.1,,,
fr,10-2,yes,no,no,no,fral102|vfal102@vf,0.1,,,
fr,9-2,yes,no,no,no,fral92|vfal92@vf,0.1,,,
fr,9-1,yes,no,no,no,fral91|vfal91@vf,0.1,,,
fr,8-1,yes,no,no,no,fral81|vfal81@vf,0.1,,,
fr,6+1,yes,no,no,no,fral61|vfal61@vf,0.1,,,
fr,_aleader,,,,,fralb|vfalb@vf,0.1,,,
fr,Sniper,,,,,frSniper|vfSniper@vf|ffSniper@ff,0.1,counter_size=60,,
fr,Sniper,,,,,frSnS|vfSnS@vf|ffSnS@ff,0.1,opacity=0.33,,
fr,,,,,,frBU1,0.1,ignore|copy,,
fr,,,,,,frBU2,0.1,ignore|copy,,
fr,,,,,,frBU3,0.1,ignore|copy,,
fr,,,,,,frBU4,0.1,ignore|copy,,
fr,,,,,,frBU5,0.1,ignore|copy,,
fr,,,,,,frBU6,0.1,ignore|copy,,
fr,,,,,,frCE1,0.1,ignore|copy,,
fr,,,,,,frCE2,0.1,ignore|copy,,
fr,,,,,,frCE3,0.1,ignore|copy,,
fr,,,,,,frCE4,0.1,ignore|copy,,
fr,,,,,,frCE5,0.1,ignore|copy,,
fr,,,,,,frCE6,0.1,ignore|copy,,
fr,NtBu,,,,,frBUnt,0.1,ignore,,
fr,NtCe,,,,,frCEnt,0.1,ignore,,
