nationality,counter,value,range,spraying_fire,rof,pp,breakdown,repair,leadership,piece,version,overrides,svg_image_transform,comments
fr,ATR,1,12,,,1,,,,frATR|vfATR@vf,0.1,,,
fr,Malf,,,,,,,1/6,,frATRb|vfATRb@vf,0.1,,,
ff,ATR(b),1,12,,,1,,,,ffATRb,0.1,,,
ff,Malf,,,,,,,1/6,,ffATRbb,0.1,,,
fr,DC,30,1,,,1,X12,,?,frDC|vfDC@vf|ffDC@ff,0.1,,,
fr,_dc,,,,,,,,,frDCb|vfDCb@vf|ffDCb@ff,0.1,,,
fr,FT,24,1,,,1,X10,,?,frFT|ffFT@ff,0.1,,,
ff,FT(b),24,1,,,1,X10,,?,ffFTb,0.1,,,
fr,_ft,,,,,,,,,frFTb|ffFTbb@ff,0.1,,,
fr,LMG,2,6,yes,1,1,B11,,,frLMG|vfLMG@vf,0.1,,,
fr,Malf,,,,,,,1/6,,frLMGb|vfLMGb@vf,0.1,,,
fr,LMG(f),2,6,yes,1,1,B11,,,frLMGf,0.1,bkg=br,,
fr,Malf,,,,,,,1/6,,frLMGfb,0.1,bkg=br,,
ff,LMG(b),2,7,yes,1,1,,,,ffLMGb,0.1,,,
ff,Malf,,,,,,,1/6,,ffLMGbb,0.1,,,
fr,MMG,4,11,yes,2,4,,,,frMMG|vfMMG@vf,0.1,,,
fr,Malf,,,,,,,2/6,,frMMGb|vfMMGb@vf,0.1,,,
fr,dmMMG,,,,,2@35.0:24.0,,,,frMMGdm|vfMMGdm@vf,0.1,,,
fr,dmMMG,,,,,2@35.0:24.0,X,,,frMMGdmb|vfMMGdmb@vf,0.1,,,
fr,MMG(f),4,11,yes,2,4,,,,frMMGf,0.1,bkg=br,,
fr,Malf,,,,,,,2/6,,frMMGfb,0.1,bkg=br,,
fr,dmMMG(f),,,,,2@35.0:24.0,,,,frMMGfdm,0.1,bkg=br,,
fr,dmMMG(f),,,,,2@35.0:24.0,X,,,frMMGfdmb,0.1,bkg=br,,
ff,MMG(a),4,10,yes,2,3,,,,ffMMGa,0.1,,,
ff,Malf,,,,,,,2/6,,ffMMGab,0.1,,,
ff,dmMMG(a),,,,,2@35.0:24.0,,,,ffMMGadm,0.1,,,
ff,dmMMG(a),,,,,2@35.0:24.0,X,,,ffMMGadmb,0.1,,,
ff,MMG(b),4,12,yes,2,4,,,,ffMMGb,0.1,,,
ff,Malf,,,,,,,2/6,,ffMMGbb,0.1,,,
ff,dmMMG(b),,,,,2@35.0:24.0,,,,ffMMGbdm,0.1,,,
ff,dmMMG(b),,,,,2@35.0:24.0,X,,,ffMMGbdmb,0.1,,,
