count,name,radioless,weight,bpv,rf,dates,size,af,ta,ot,cs,mp,gp,gt,ma,rof_ife,breakdown,intensive_fire,bmg,cmg,aamg,sa,ammunition,smoke_depletion,smoke_discharger,transport,notes,version,piece,overrides,svg_image_transform,reverse,comments
<b>#</b>,<b>Name & <i>Type</i></b>,<b>®</b>,<b>WGT</b>,<b>BPV</b>,<b>RF</b>,<b>Dates</b>,<b>Size</b>,<b>AF</b>,<b>TA</b>,<b>OT</b>,<b>CS</b>,<b>MP</b>,<b>GP</b>,<b>GT</b>,<b>MA</b>,<b>ROF</b>,<b>B#</b>,<b>IF</b>,<b>BMG</b>,<b>CMG</b>,<b>AAMG</b>,<b>SA</b>,<b>Am</b>,<b>s#</b>,<b>sD#</b>,<b>PP/T#</b>,<b>Notes</b>,,,ignore,,,
3,FT-17M <i>Tt</i>,•,7,16,1.4,18-3/45†,+1,1/0,+FSR,,2,<b>5</b>†,L,1MT,CMG,1,,,,4,,,,,,,"1†, C",1.0,ft17m,nat=fr|qual=a,,,
2,FT-17C <i>Tt</i>,•,7,16,1.5,18-3/45†,+1,1/0,+FSR,,2,<b>5</b>†,L,1MT,T37*,,,,,,,,AP9,,,,"1†, C",1.0,ft17c,nat=fr|qual=b,,,
1,FT-17 75BS <i>Tt</i>,•,7.5,22,1.6,19-11/42†,+1,1/0,+FSR,,<b>3</b>,<b>5</b>†,L,1MT,"T<span style=""text-decoration:overline"">75</span>*",,<i>11</i>,•,,,,,,,,,"1†, C",1.0,ft1775,nat=fr|qual=c,,,
4,AMR 33 <i>Tt</i>,•,5.5,22,1.3,34-6/40†,+1,1/0,+SR,,2,<b>16</b>,L,1MT,CMG,1,,,,4,,,,,,,"2†, E",1.0,amr33,nat=fr,,,
2,AMR 35 <i>Tt</i>,•,6.5,23,1.3,37-6/40†,+1,1/0,+SR,,2,18,,1MT,CMG,1,,,,4,,,,,,,"3†, E",1.0,amr35,nat=fr|qual=a,,,
2,AMR 35(L) <i>Tt</i>,•,6.5,24,1.3,37-6/40†,+1,1/0,+SR,,2,18,,1MT,T12.7,1 (6),<i>11</i>,,,,,,,,,,"3†, E",1.0,amr35l,nat=fr|qual=b,,,
8,R35 <i>LT</i>,•,10,25,1.0-1.2†,36-11/42†,+1,4,+FSR,,2,8,L,1MT,T37*,,,,,2†<sup>1</sup>,†<sup>1</sup>,,AP10,,,,"4†, A†<sup>1</sup>, C",1.0,r35,nat=fr,,,
6,H35 <i>LT</i>,•,11.5,25,1.2-1.3†,36-6/40†,+1,4,+FSR,,2,<b>10</b>,,1MT,T37*,,,,,2†<sup>1</sup>,†<sup>1</sup>,,AP10,,,,"5†, A†<sup>1</sup>, C, E",1.0,h35,nat=fr|mgs=-/2<*>/[*],,,
6,FCM 36 <i>LT</i>,•,12.5,25,1.4-1.5†,38-6/40,+1,4/3,,,2,9†<sup>1</sup>,,1MT,T37*,,,,,2,,,AP10,,,,"6†, C, E, I†<sup>1</sup>",1.0,fcm36,nat=fr,,,
6+<i>4</i>,H39 <i>LT</i>,•,12,26,1.1-1.4†,39-7/41†,+1,4,+FSR,,2,12,,1MT,T37*,,,,,2†<sup>1</sup>,†<sup>1</sup>,,AP10,,,,"7†, A†<sup>1</sup>, C, F",1.0,h39,nat=fr|mgs=-/2<*>/[*],,,
3+<i>2</i>,H39(L) <i>LT</i>,•,12,27,1.2-1.6†,5/40-5/45†,+1,4,+FSR,,2,12,,1MT,T37,,,,,2†<sup>1</sup>,†<sup>1</sup>,,AP10,,,,"8†, A†<sup>1</sup>, C, E, F",1.0,h39l,nat=fr|mgs=-/2<*>/[*]|qual=a,,,
2,H35(L) <i>LT</i>,•,10.5,26,1.3-1.4†,5-6/40†,+1,4,+FSR,,2,<b>10</b>,,1MT,T37,,,,,2†<sup>1</sup>,†<sup>1</sup>,,AP10,,,,"8†, A†<sup>1</sup>, C, E",1.0,h35l,nat=fr|mgs=-/2<*>/[*]|qual=b,,,
2+<i>2</i>,R35(L) <i>LT</i>,•,10,26,1.6,5/40-5/45†,+1,4,+FSR,,2,8,L,1MT,T37,,,,,2†<sup>1</sup>,†<sup>1</sup>,,AP10,,,,"8†, A†<sup>1</sup>, C, E, F",1.0,r35l,nat=fr|mgs=-/2<*>/[*]|qual=c,,,
6,R40 <i>LT</i>,•,12,27,1.4,6/40,+1,4,+FSR,,2,9†,L,1MT,T37,,,,,2†<sup>1</sup>,†<sup>1</sup>,,AP10,,,,"9, A†<sup>1</sup>, C, E, I†",1.0,r40,nat=fr|mgs=-/2<*>/[*],,,
5,D1 <i>MT</i>,•9†<sup>1</sup>,14,27,1.5-1.4†,34-3/43†,0,3,+FSR,,3,<b>7</b>†<sup>2</sup>,L,1MT,T47*,,,,1†<sup>3</sup>,2,,,,,,,"10†, B†<sup>3</sup>, C, I†<sup>2</sup>, R†<sup>1</sup>",1.0,d1,nat=fr|fixed_bmg|mgs=1/2,,,
3,D2 <i>MT</i>,•9†<sup>1</sup>,19.5,28,1.5-1.6†,36-6/40†,0,4,,,3,<b>8</b>†<sup>2</sup>,,1MT,T47*,,,,1†<sup>3</sup>,2,,,,,,,"11†, B†<sup>3</sup>, C, E, I†<sup>2</sup>, R†<sup>1</sup>",1.0,d2,nat=fr|fixed_bmg|mgs=1/2|qual=a,,,
3,D2(L) <i>MT</i>,•9†<sup>1</sup>,20,31,1.5-1.6†,5-6/40†,0,4,+FSR,,3,<b>8</b>†<sup>2</sup>,,1MT,T47,,,,1†<sup>3</sup>,2†<sup>4</sup>,†<sup>4</sup>,,,,,,"11†, A†<sup>4</sup>, B†<sup>3</sup>, C, E, I†<sup>2</sup>, R†<sup>1</sup>",1.0,d2l,nat=fr|fixed_bmg|mgs=1/2<*>/[*]|qual=b,,rev,
8+<i>2</i>,S35 <i>MT</i>,•9†<sup>1</sup>,19.5,33,1.2-1.5†,37-4/45†,0,6/4,+SR,,4,13†<sup>2</sup>,,1MT,T47,,,,,2†<sup>3</sup>,†<sup>3</sup>,,,,,,"12†, A†<sup>3</sup>, C, F, I†<sup>2</sup>, R†<sup>1</sup>",1.0,s35,nat=fr|mgs=-/2<*>/[*],,,
