nationality,class,firepower,range,morale,assault_fire,smoke,spraying_fire,elr,self_rally,assault_engineer,bpv,piece,version,overrides,svg_image_transform,comments
ge,ss,8,3,8/9,yes,5,yes,yes,no,yes,18,ge838Ssae|ss838Ssae@ss,0.1,,,
ge,ss,3,3,8,no,0,no,yes,no,yes,7,ge338Hsae|ss338Hae@ss,0.1,,,
ge,ss,8,3,8/9,yes,3,yes,yes,no,no,17,ge838Ss|ss838S@ss,0.1,,,
ge,ss,3,3,8,no,0,no,yes,no,no,7,ge338Hs|ss338H@ss,0.1,,,
ge,ss,6,5,8/9,no,2,yes,yes,no,no,15,ge658Ss|ss658S@ss,0.1,,,
ge,ss,3,4,8,no,0,no,yes,no,no,7,ge348Hs|ss348H@ss,0.1,,,
ge,ss,6,5,8/9,yes,2,yes,yes,no,no,15,ge658S44s|ss658S44@ss,0.1,,,
ge,ss,5,4,8/9,yes,2,yes,yes,no,yes,14,ge548Ssae|ss548Sae@ss,0.1,,,
ge,ss,2,3,8,no,0,no,yes,no,yes,6,ge238Hsae|ss238Hae@ss,0.1,,,
ge,ss,5,4,8/9,yes,2,yes,yes,no,no,14,ge548Ss|ss548S@ss,0.1,,,
ge,ss,2,3,8,no,0,no,yes,no,no,6,ge238Hs|ss238H@ss,0.1,,,
ge,ss,4,6,8/9,no,2,yes,yes,no,no,14,ge468Ss|ss468S@ss,0.1,,,
ge,ss,2,4,8,no,0,no,yes,no,no,6,ge248Hs|ss248H@ss,0.1,,,
ge,ss,4,6,8/9,yes,2,yes,yes,no,no,14,ge468S44s|ss468S44@ss,0.1,,,
ge,ss,4,4,7/8,no,0,yes,yes,no,no,8,ge447Ss|ss447S@ss,0.1,,,
ge,ss,2,3,7,no,0,no,yes,no,no,4,ge237Hs|ss237H@ss,0.1,,,
ge,ss,4,4,7/8,yes,0,yes,yes,no,no,8,ge447S44s|ss447S44@ss,0.1,,,
ge,ss,4,3,6,yes,0,no,yes,no,no,3,ge436S44s|ss436S44@ss,0.1,,,
ge,ss,2,3,6/5,no,0,no,yes,no,no,2,ge236Hs|ss236H@ss,0.1,,,
ge,ss,4,3,6,no,0,no,yes,no,no,3,ge436Ss|ss436S@ss,0.1,,,
ge,ss,2,3,6/5,no,0,no,yes,no,no,2,ge236Hs|ss236H@ss,0.1,,,
ge,AE,8,3,8,yes,5,yes,yes,no,yes,17,ge838Sae,0.1,,,
ge,AE,3,3,8/7,no,0,no,yes,no,yes,6,ge338Hae,0.1,,,
ge,E,8,3,8,yes,3,yes,yes,no,no,16,ge838S,0.1,,,
ge,E,3,3,8/7,no,0,no,yes,no,no,6,ge338H,0.1,,,
