count,name,gun_type,caliber,rof_ife,breakdown,range,manhandling,target_size,dates,special,bpv,rf,notes,version,piece,r_x,overrides,limbered,svg_image_transform,reverse,comments
<b>#</b>,<b>Name</b>,<b>Type</b>,<b>CSize</b>,<b>ROF (IFE)</b>,<b>B#</b>,<b>Range</b>,<b>M#</b>,<b>TSize</b>,<b>Dates</b>,<b>Special</b>,<b>BPV</b>,<b>RF</b>,<b>Notes</b>,,,,ignore,,,,
5,5cm leGrW,MTR,"<span style=""text-decoration:overline"">50</span>*",3,,2-13,,–,36-45,5PP,–,–,"1, N",,,,ignore,,,,
4,8cm GrW 34,MTR,"<span style=""text-decoration:overline"">81</span>*",3,,2-60,11,1,35-45,"NT, QSU, s8, IR",30,1.1-.9†,"2†, N",1.0,geMTR81s|ssMTR81s@ss,,range=$$,,,,
2,10cm NbW 35,MTR,"<span style=""text-decoration:overline"">105</span>*",2,,8-75,<b>10</b>,1,37-42,"NT, QSU, s10",24,1.5,"3, O",1.0,geMT105s|ssMT105s@ss,,range=$$,,,,
4,12cm GrW 42,MTR,"<span style=""text-decoration:overline"">120</span>*",2,,12-151,<b>9</b>,1,43-45,"NT, QSU, s8",26,1.4-1.3†,4†,1.0,geMT120s|ssMT120s@ss,,range=$$@sz-1.0,,,,
4,2.8cm sPzB 41,AT,28LL,2,,,12,1,6/41-43,"NT, QSU, uses APCR TK Table†",24,1.3†,"5†, A†, N, P",1.0,geAT28LL|ssAT28LL@ss,,ma=[*]$$,,,,
4,3.7cm PaK 35/36,AT,37L,3,,120,12,1,36-45,"NT, QSU, A4<sup>1</sup>/5<sup>2</sup>/4<sup>3</sup>/3<sup>4</sup>, H6[9]†",30,1,"6, B†, N, P",1.0,geAT37L|ssAT37L@ss,,ammo=H6[9],,,,
4,4.2cm lePaK 41,AT,"<span style=""text-decoration:underline"">40</span>LL",2,,,11,1,42-43,"NT, QSU, uses APCR TK Table†",30,1.4,"7, A†, N<sup>T</sup>",1.0,geAT40LL|ssAT40LL@ss,,ma=[*]$$,,,,
4,5cm PaK 38,AT,50L,3,,75,10,1,41-45,"NT, QSU, A5<sup>1</sup>/6<sup>2</sup>/5<sup>3</sup>/4<sup>4</sup>",37,1.3-1.0†,"8†, N",1.0,geAT50L|ssAT50L@ss,,range=$$,,,,
4,7.5cm PaK 97/38,AT,75,2,11,275,8,0,9/41-44,"NT, QSU, H6, s7",36,1.4,"9, N<sup>T</sup>",1.0,geAT75|ssAT75@ss,,,,,,
4,7.5cm PaK 40,AT,75L,2,,192,8,1,42-45,"NT, QSU, A5<sup>2</sup>/4<sup>3</sup>/3<sup>4</sup>, s7",43,1.5-1.1†,"10†, N<sup>T</sup>",1.0,geAT75L|ssAT75L@ss,,,,,,
