nationality,values,armor,assault_engineer,broken,wounded,piece,version,overrides,svg_image_transform,comments
ge,10-3,no,yes,no,no,geL103ae,0.1,,,
ge,10-3,no,no,no,no,geL103|ssL103@ss,0.1,,,
ge,10,no,no,yes,no,geL103b|ssL103b@ss,0.1,,,
ge,10-2,no,yes,no,no,geL102ae,0.1,,,
ge,10-2,no,no,no,no,geL102|ssL102@ss,0.1,,,
ge,10,no,no,yes,no,geL102b|ssL102b@ss,0.1,,,
ge,9-2,no,yes,no,no,geL92ae,0.1,,,
ge,9-2,no,no,no,no,geL92|ssL92@ss,0.1,,,
ge,9,no,no,yes,no,geL92b|ssL92b@ss,0.1,,,
ge,9-1,no,yes,no,no,geL91ae,0.1,,,
ge,9-1,no,no,no,no,geL91|ssL91@ss,0.1,,,
ge,9,no,no,yes,no,geL91b|ssL91b@ss,0.1,,,
ge,8-1,no,yes,no,no,geL81ae,0.1,,,
ge,8-1,no,no,no,no,geL81|ssL81@ss,0.1,,,
ge,8,no,no,yes,no,geL81b|ssL81b@ss,0.1,,,
ge,8-0,no,yes,no,no,geL80ae,0.1,,,
ge,8-0,no,no,no,no,geL80|ssL80@ss,0.1,,,
ge,8,no,no,yes,no,geL80b|ssL80b@ss,0.1,,,
ge,7-0,no,yes,no,no,geL70ae,0.1,,,
ge,7-0,no,no,no,no,geL70|ssL70@ss,0.1,,,
ge,7,no,no,yes,no,geL70b|ssL70b@ss,0.1,,,
ge,6+1,no,yes,no,no,geL61ae,0.1,,,
ge,6+1,no,no,no,no,geL61|ssL61@ss,0.1,,,
ge,6,no,no,yes,no,geL61b|ssL61b@ss,0.1,,,
ge,1-4-9,no,no,no,no,geHero|ssHero@ss,0.1,,,
ge,1-3-8,no,no,no,yes,geHerob|ssHerob@ss,0.1,,,
ge,10-2,yes,no,no,no,geal102|ssal102@ss,0.1,,,
ge,9-2,yes,no,no,no,geal92|ssal92@ss,0.1,,,
ge,9-1,yes,no,no,no,geal91|ssal91@ss,0.1,,,
ge,8-1,yes,no,no,no,geal81|ssal81@ss,0.1,,,
ge,6+1,yes,no,no,no,geal61|ssal61@ss,0.1,,,
ge,,,,,,ge102Rommel,0.1,copy,,
ge,_leader,,,,,gealb|ssalb@ss,0.1,,,
ge,Sniper,,,,,geSniper|ssSniper@ss,0.1,counter_size=60,,
ge,Sniper,,,,,geSnS|ssSnS@ss,0.1,opacity=0.33,,
ge,,,,,,geBU1|ssBU1@ss,0.1,ignore|copy,,
ge,,,,,,geBU2|ssBU2@ss,0.1,ignore|copy,,
ge,,,,,,geBU3|ssBU3@ss,0.1,ignore|copy,,
ge,,,,,,geBU4|ssBU4@ss,0.1,ignore|copy,,
ge,,,,,,geBU5|ssBU5@ss,0.1,ignore|copy,,
ge,,,,,,geBU6|ssBU6@ss,0.1,ignore|copy,,
ge,,,,,,geCE1|ssCE1@ss,0.1,ignore|copy,,
ge,,,,,,geCE2|ssCE2@ss,0.1,ignore|copy,,
ge,,,,,,geCE3|ssCE3@ss,0.1,ignore|copy,,
ge,,,,,,geCE4|ssCE4@ss,0.1,ignore|copy,,
ge,,,,,,geCE5|ssCE5@ss,0.1,ignore|copy,,
ge,,,,,,geCE6|ssCE6@ss,0.1,ignore|copy,,
ge,NtBu,,,,,geBUnt|ssBUnt@ss,0.1,ignore,,
ge,NtCe,,,,,geCEnt|ssCEnt@ss,0.1,ignore,,
