nationality,counter,value,range,spraying_fire,rof,pp,breakdown,repair,leadership,piece,version,overrides,svg_image_transform,comments
ge,ATR,1,12,,,1,,,,geATR|ssATR@ss,0.1,,,
ge,Malf,,,,,,,1/6,,geATRb|ssATRb@ss,0.1,,,
ge,LMG,3,8,yes,1,1,,,,geLMG|ssLMG@ss,0.1,,,
ge,Malf,,,,,,,1/6,,geLMGb|ssLMGb@ss,0.1,,,
ge,LMG(f),2,6,yes,1,1,B11,,,geLMGf|ssLMGf@ss,0.1,,,
ge,Malf,,,,,,,1/6,,geLMGfb|ssLMGfb@ss,0.1,,,
ge,MMG,5,12,yes,2,3,,,,geMMG|ssMMG@ss,0.1,,,
ge,Malf,,,,,,,2/6,,geMMGb|ssMMGb@ss,0.1,,,
ge,dmMMG,3,8,yes,1,2,,,,geMMGdm|ssMMGdm@ss,0.1,,,
ge,dmMMG,,,,,2,X,,,geMMGdmb|ssMMGdmb@ss,0.1,,,
ge,HMG,7,16,yes,3,4,,,,geHMG|ssHMG@ss,0.1,,,
ge,Malf,,,,,,,3/6,,geHMGb|ssHMGb@ss,0.1,,,
ge,dmHMG,3,8,yes,1,2,,,,geHMGdm|ssHMGdm@ss,0.1,,,
ge,dmHMG,,,,,2,X,,,geHMGdmb|ssHMGdmb@ss,0.1,,,
ge,MTR,"<tspan style=""text-decoration:overline"">50</tspan>&#x273D;",[2-13],,3,5,,,,geMTR|ssMTR@ss,0.1,,,
ge,Malf,,,,,,,1/6,,geMTRb|ssMTRb@ss,0.1,,,
ge,dmMTR,50mm,,,,3,,,,geMTRdm|ssMTRdm@ss,0.1,,,text=50mm@lower_right
ge,dmMTR,50mm,,,,3,X,,,geMTRdmb|ssMTRdmb@ss,0.1,,,text=50mm@lower_right
ge,dmMTR,81mm,,,,5,,,,geMTR81dm|ssMTR81dm@ss,0.1,,,text=81mm@lower_right
ge,dmMTR,81mm,,,,5,X,,,geMTR81dmb|ssMTR81dmb@ss,0.1,,,text=81mm@lower_right
ge,DC,30,1,,,1,X12,,?,geDC|ssDC@ss,0.1,,,
ge,_dc,,,,,,,,,geDCb|ssDCb@ss,0.1,,,
ge,FT,24,1,,,1,X10,,?,geFT|ssFT@ss,0.1,,,
ge,_ft,,,,,,,,,geFTb|ssFTb@ss,0.1,,,
ge,,,,,,,,,,gegol|ssgol@ss,0.1,copy,,
ge,,,,,,,,,,gegolb|ssgolb@ss,0.1,copy,,
ge,PF,16,3,,,,,,,gePF|ssPF@ss,0.1,extra=31TK,,
ge,_pf,,,,,,,,,gePFb|ssPFb@ss,0.1,,,
ge,PFk,12,1,,,,,,,gePFk|ssPFk@ss,0.1,extra=22TK,,
ge,_pfk,,,,,,,,,gePFKb|ssPFKb@ss,0.1,,,
ge,PSK,12,4,,,1@24.0:24.0,X10,,,gePSK|ssPSK@ss,0.1,extra=26TK,,tk=26
ge,_psk,,,,,,,,,gePSKb|ssPSKb@ss,0.1,,,text=th_psk
ge,Radio,8,,,,1,,,?,geradio|ssradio@ss,0.1,,,
ge,Malf,,,,,,,1/6,,geradiob|ssradiob@ss,0.1,,,
ge,Phone,11,,,,,X12,,?,gephone|ssphone@ss,0.1,,,
ge,_phone,,,,,,,,,gephoneb|ssphoneb@ss,0.1,,,text=No Move\n-\nSecurity\nArea 2 DR\nRemoves@center
ge,,,,,,,,,,geCup75LLBU,0.1,copy,,
ge,,,,,,,,,,geCup75LLCE,0.1,copy,,
ge,,,,,,,,,,geCup88LLBU,0.1,copy,,
ge,,,,,,,,,,geCup88LLCE,0.1,copy,,
ge,,,,,,,,,,geCupHMG,0.1,copy,,
ge,,,,,,,,,,geCupHMGb,0.1,copy,,
ge,,,,,,,,,,geCupMMG,0.1,copy,,
ge,,,,,,,,,,geCupMMGb,0.1,copy,,
ge,Legacy,,,,,,,,,geblank12|ssblank12@ss,0.1,,,
ge,Legacy,,,,,,,,,geblank58|ssblank58@ss,0.1,counter_size=60,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
