count,name,radioless,weight,bpv,rf,dates,size,af,ta,ot,cs,mp,gp,gt,ma,rof_ife,breakdown,intensive_fire,bmg,cmg,aamg,sa,ammunition,smoke_depletion,smoke_discharger,transport,notes,version,piece,overrides,svg_image_transform,reverse,comments
<b>#</b>,<b>Name & <i>Type</i></b>,<b>®</b>,<b>WGT</b>,<b>BPV</b>,<b>RF</b>,<b>Dates</b>,<b>Size</b>,<b>AF</b>,<b>TA</b>,<b>OT</b>,<b>CS</b>,<b>MP</b>,<b>GP</b>,<b>GT</b>,<b>MA</b>,<b>ROF</b>,<b>B#</b>,<b>IF</b>,<b>BMG</b>,<b>CMG</b>,<b>AAMG</b>,<b>SA</b>,<b>Am</b>,<b>s#</b>,<b>sD#</b>,<b>PP/T#</b>,<b>Notes</b>,,,ignore,,,
6,PzKpfw IB <i>Tt</i>,,6,30,.9-1.4†,34-41,+1,1,,,2,15,L,1MT,CMG,1,11,,,6†,,,,,6,,"1†, N<sup>F</sup>",1.0,pzib|sspzib@ss,nat=ge,,,
6,PzKpfw IIA <i>LT</i>,,9,35,1.0,37-40,+1,1,,,3,15,L,RST,T20L,2 (4),11,,,5,,,,,6,,2,1.0,pziia|sspziia@ss,nat=ge,"scale(0.55) translate(15, 15) rotate(60, 30, 30)",,
6,PzKpfw IIF <i>LT</i>,,9.5,36,1.2,40-43,+1,3/1,,,3,14,L,RST,T20L,2 (4),11,,,5,,,,,7,,"3, N",1.0,pziif|sspziif@ss,nat=ge,,,
3,PzKpfw II(Fl) <i>LTv</i>,,12,51,1.4,6/41-3/42,+1,3/1,+SR,,<b>2</b>,16,,1MT,<b>BF24</b>,,<b>X11</b>,,,2,,,,,7†,,4†,1.0,pziifl|sspziifl@ss,nat=ge,,,
4,PzKpfw IIL <i>LT</i>,,13,41,1.5,44-45,+1,3/2,,,4,18,,ST,T20L,2 (6),,,,5,,,,,7,,5,1.0,pziil|sspziil@ss,nat=ge,,,
6,PzKpfw 35t <i>LT</i>,,10.5,40,1.3,39-41†,+1,3/1,,,4,14,L,ST,T37,1,,,4,4,,,,,5,,6†,1.0,pz35t,nat=ge,,,
6,PzKpfw 38(t)A <i>LT</i>,,9.5,43,1.1,39-42†,+1,3/1,,,4,15,L,ST,T37L,1,,,4,4,,,A4<sup>1</sup>/5<sup>2</sup>,,6,,"7†, E",1.0,pz38ta,nat=ge,,,
6,PzKpfw 38(t)E <i>LT</i>,,10,44,1.1,41-42†,+1,4/2,+SR,,4,14,L,ST,T37L,1,,,4,4,,,A4<sup>1</sup>/5<sup>2</sup>,,7,,"8†, E",1.0,pz38te|sspz38te@ss,nat=ge,,,
3,Aufklaerer 38(t) <i>LT</i>,,10,38,1.6,4/44-45,+1,6/2,-F,•,5,14,L,ST,T20L,2 (6),,,,5,†,,,,,,"9, A†, E",1.0,auf38t,nat=ge,,,
2,FT-17 730m(f) <i>Tt</i>,,7,18,1.6,41-44,+1,1/0,+FSR,,2,5†,L,1MT,CMG,1,,,,4,,,,,,,"9.1†, a, c, f",1.0,ft17mf,nat=ge|mp=[b*]$$|qual=a,,,
4,FT-17 730(f) <i>Tt</i>,,7,18,1.6,41-44,+1,1/0,+FSR,,2,5†,L,1MT,T37*,,,,,,,,AP9,,,,"9.1†, a, c, f",1.0,ft17f,nat=ge|mp=[b*]$$|qual=b,,,
6,38H 735(f) <i>LT</i>,,12,29,1.4,41-44,+1,4,+FSR,,3,12,,1MT,T37,,,,,2†,†,,AP10,,,,"9.2, a, b†, f",1.0,38hf,nat=ge|mgs=-/2<*>/[*],,,
2,35-S 739(f) <i>MT</i>,,19.5,35,1.6,41-44,0,6/4,+SR,,4,13†<sup>1</sup>,,1MT,T47,,,,,2†<sup>2</sup>,†<sup>2</sup>,,,,,,"9.3, a, b†<sup>2</sup>, d†<sup>1</sup>, f",1.0,35sf,nat=ge|mgs=-/2<*>/[*],,,
4,PzKpfw IIID <i>MT</i>,,16,41,1.4,37-39†,0,1,-F/+SR,,5,12,,T,T37L,2,11,,3,8,,,,,6,,10†,1.0,pziiid|sspziiid@ss,nat=ge,,,
6,PzKpfw IIIF <i>MT</i>,,19.5,45,1.6-1.1†,39-41,0,3,-F/+SR,,5,14,,T,T37L,2,11,,3,8,,,A4<sup>1</sup>,,7,,11†,1.0,pziiif|sspziiif@ss,nat=ge,,,
6,PzKpfw IIIG <i>MT</i>,,20.5,50,1.1,8/40-41,0,3,+FSR,,5,13,,T,T50,2,,,3,5,,,A4<sup>1</sup>,,7,,"12, N",1.0,pziiig|sspziiig@ss,nat=ge,,,
6,PzKpfw IIIH <i>MT</i>,,22,53,1.5-.9†,41-42,0,6/3,-F/+SR,,6,13,,T,T50,2,,,3,5,,,A4<sup>1</sup>,,7,,"13†, N",1.0,pziiih|sspziiih@ss,nat=ge,,,
6,PzKpfw IIIJ <i>MT</i>,,21.5,58,1.1†,3/42-43†,0,6/3,+SR,,6,13,,T,T50L,2,,,3,5,,,A6<sup>2</sup>,,7,,"14†, N, S",1.0,pziiij|sspziiij@ss,nat=ge,,,
6,PzKpfw IIIL <i>MT</i>,,23,60,1.1-1.4†,7/42-44,0,6/3,+FSR,,5,13,,T,T50L,2,,,3,5,Opt 2†,,A6<sup>2</sup>,,7,,"15†, B†, N, S",1.0,pziiil|sspziiil@ss,nat=ge,,,
6,PzKpfw IIIN <i>MT</i>,,23,55,1.3,9/42-45,0,6/3,+SR,,5,13,,T,"T<span style=""text-decoration:overline"">75</span>*",1,,,3,5,Opt 2†,,H9,9,7,,"16, B†, N<sup>T</sup>, S",1.0,pziiin|sspziiin@ss,nat=ge,,,
3,PzKpfw III(Fl) <i>MTv</i>,,23,60,1.5,7/43-45,0,8/3,+SR,,3,13,,1MT,<b>TF30</b>,,<b>X11</b>,,2,2,,,,,7,,17,1.0,pziiifl|sspziiifl@ss,nat=ge,,,
3,PzKpfw IVA <i>MT</i>,,18.5,42,1.4-1.5†,38-40,0,1,+SR,,5,13,L,T,T75*,1,11,,3,5,,,AP7,9,6,,18†,1.0,pziva|sspziva@ss,nat=ge,,,
4,PzKpfw IVC <i>MT</i>,,19,46,1.3-1.5†,39-42,0,3/1,+SR,,5,14,,T,T75*,1,11,,,5,,,AP7,9,6,,19†,1.0,pzivc|sspzivc@ss,nat=ge,,,
6,PzKpfw IVD <i>MT</i>,,20,50,1.4-1.5†,40-43,0,3/2,+SR,,5,14,,T,T75*,1,,,3,5,,,H6; AP7,9,7,,"20, N, R†",1.0,pzivd|sspzivd@ss,nat=ge,,,
6,PzKpfw IVE <i>MT</i>,,21,53,1.4-1.5†,41-43,0,6/3,-F,,6,14,,T,T75*,1,,,3,5,,,H6; AP7,9,7,,"21, N, R†",1.0,pzive|sspzive@ss,nat=ge,,,
6,PzKpfw IVF<sub>1</sub> <i>MT</i>,,22.5,54,1.3-1.5†,6/41-43,0,6/3,+SR,,6,14,,T,T75*,1,,,3,5,,,H6; AP7,9,7,,"22, N, R†",1.0,pzivf1|sspzivf1@ss,nat=ge,,,
