count,name,gun_type,caliber,rof_ife,breakdown,range,manhandling,target_size,dates,special,bpv,rf,notes,version,piece,r_x,overrides,limbered,svg_image_transform,reverse,comments
<b>#</b>,<b>Name</b>,<b>Type</b>,<b>CSize</b>,<b>ROF (IFE)</b>,<b>B#</b>,<b>Range</b>,<b>M#</b>,<b>TSize</b>,<b>Dates</b>,<b>Special</b>,<b>BPV</b>,<b>RF</b>,<b>Notes</b>,,,,ignore,,,,
6,Mortaio da 45 “Brixia”,MTR,"<span style=""text-decoration:overline"">45</span>*",2,11,2-13,–,–,35-5/45,4PP,–,–,"1, N",,,,ignore,,,,
4,Mortaio da 81/14,MTR,"<span style=""text-decoration:overline"">81</span>*",3,,3-102,11,1,36-5/45†,"NT, QSU, s8, IR",28,1.0-1.5†,"2†, N",1.0,itMTR81s,,range=$$,,,,
6,Fucile-cc S,ATR,"<span style=""text-decoration:underline"">20</span>L",2,,12,–,–,40-5/45,5PP,–,–,"3, N",,,,ignore,,,,
4,Cannone-cc da 37/45,AT,37L,3,,120,12,1,36-41,"NT, QSU",28,1.4-1.5†,"4†, C, N, <span style=""text-decoration:line-through"">R</span>",1.0,itAT37L,,,,,,
4,Cannone da 47/32,AT,47,3,,107,12,1,36-5/45†,"NT, QSU, no Gunshield, Towed<sup>A1+</sup>†",29,.9-1.6†,"5†, A, C, N",1.0,itAT47,,man=[*]12,,,,
4,Cannone da 65/17,INF,65*,1,11,163,10,1,13-5/45†,"NT, H6<sup>S2+</sup>†<sup>1</sup>, no Gunshield",21,1.0-1.6†,"6†, A, C, H†<sup>1</sup>, N",1.0,itINF65s,,,no_fire,,,
2,Cannone da 70/15,INF,"<span style=""text-decoration:overline"">70</span>*",,11,166,11,1,4-11/41,"NT, QSU, Acq. NA†<sup>1</sup>, no Gunshield, h-d",20,1.2-1.3†,"7†, A, B†<sup>1</sup>, <span style=""text-decoration:line-through"">R</span>",1.0,itINF70s,,ma=[*]$$,,,,
4,Obice da 75/13,ART,"<span style=""text-decoration:overline"">75</span>*",1,,206,10,1,18-5/45†,"NT, QSU",26,1.2-1.6†,"8†, A",1.0,itAR75s_n8,,,,,,
4,Cannone da 75/27,ART,75*,1,11,243,8,0,06-5/45†,"NT, QSU, H6<sup>S2+</sup>†<sup>1</sup>",25,1.2-1.4†,"9†, A, C, H†<sup>1</sup>, N",1.0,itAR75s_n9,,,,,,
4,Obice da 75/18,ART,75*,1,,239,9,0,11/41-5/45†,"NT, QSU, H6<sup>S2+</sup>†<sup>1</sup>, s8",29,1.3-1.6†,"10†, A, H†<sup>1</sup>, N",1.0,itAR75s_n10,,,,,,
4,Cannone da 75/32,ART,75,1,,313,8,0,8/42-9/43†,"NT, QSU, H6<sup>S2+</sup>†<sup>1</sup>, s8",33,1.4-1.6†,"11†, H†<sup>1</sup>",1.0,itAR75,,,,,,
4,Obice da 100/17,ART,"<span style=""text-decoration:overline"">100</span>*",1,11,232,<b>6</b>,0,18-5/45†,"NT, H6<sup>S2+</sup>†<sup>1</sup>",26,1.3-1.6†,"12†, A, H†<sup>1</sup>, N",1.0,itAR100s,,,no_fire,,,
4,Cannone da 105/28,ART,"<span style=""text-decoration:overline"">105</span>",,,330,<b>6</b>,-1,18-5/45†,"NT, s8",26,1.2-1.6†,"13†, N",1.0,itAR105,,,no_fire,,,
2,Obice 149/13,ART,"<span style=""text-decoration:overline"">150</span>*",,,220,<b>5</b>,-1,14-5/45†,NT,38,1.4-1.6†,"14†, N",1.0,itAR150s,,,no_fire,,,
2,Cannone da 149/35,ART,"<span style=""text-decoration:overline"">150</span>",,11,265,<b>1</b>,-1,00-8/43†,"NT, s8, RFNM, no IF, Acq. NA†<sup>1</sup>",25,1.5-1.6†,"15†, B†<sup>1</sup>, N, <span style=""text-decoration:line-through"">R</span>",1.0,itAR150,,ma=[*]$$|man=[*]$$,,,,
2,Cannone da 149/40,ART,"<span style=""text-decoration:overline"">150</span>L",,,593,<b>-1</b>,-1,35-3/43†,"NT, RFNM",33,1.5-1.6†,"16†, N",1.0,itAR150L,,ma=[*]$$|man=[*]$$,,,,
4,Cannone-mitr. da 20/65,AA,20L,3 (4),,138,11,1,35-5/45†,"T, LF [NT, 20†, 2 ROF]",26,1.0-1.6†,"17†, A, C, N",1.0,itAA20L,,,ma=<*>20|rof=2|ife=(4)|mount=NT,,,
4,Cannone-aa da 75/39,AA,75L,2,,,<b>6</b>,-1,8/42-3/43,"T, “16” AP TK#†",39,1.3-1.6†,18†,1.0,itAA75L,,ma=[*]$$,no_fire,,,
4,Cannone-aa da 75/46,AA,75L,2,,324,<b>5</b>,-1,34-5/45,T,40,1.4-1.6†,"19†, N",1.0,itAA7546,,,no_fire,,,
4,Cannone-aa da 90/53,AA,90L,2,,439,<b>3</b>,-1,5/42-5/45†,T,48,1.5-1.6†,"20†, N, <span style=""text-decoration:line-through"">R</span>",1.0,itAA90L,,,no_fire,,,
0,Generic AA,AA,,,,,,,,,,,g1,1.0,itAAgen,1/,gt=AA|mount=T,no_fire,,,
0,Generic ART,ART,,,,,,,,,,,g2,1.0,itARgen,1/,,no_fire,,,
0,Generic AT,AT,,,,,,,,,,,g3,1.0,itATgen,1/,,no_fire,,,
0,Generic INF,INF,,,,,,,,,,,g4,1.0,itINFgen,1/,,no_fire,,,
0,Generic MTR,MTR,,,,,,,,,,,g5,1.0,itMTRgen,1/,,no_fire,,,
