nationality,values,armor,assault_engineer,broken,wounded,piece,version,overrides,svg_image_transform,comments
it,10-3,no,no,no,no,itL103,0.1,,,
it,10,no,no,yes,no,itL103b,0.1,,,
it,10-2,no,no,no,no,itL102,0.1,,,
it,10,no,no,yes,no,itL102b,0.1,,,
it,9-2,no,no,no,no,itL92,0.1,,,
it,9,no,no,yes,no,itL92b,0.1,,,
it,9-1,no,no,no,no,itL91,0.1,,,
it,9,no,no,yes,no,itL91b,0.1,,,
it,8-1,no,no,no,no,itL81,0.1,,,
it,8,no,no,yes,no,itL81b,0.1,,,
it,8-0,no,no,no,no,itL80,0.1,,,
it,8,no,no,yes,no,itL80b,0.1,,,
it,7-0,no,no,no,no,itL70,0.1,,,
it,7,no,no,yes,no,itL70b,0.1,,,
it,6+1,no,no,no,no,itL61,0.1,,,
it,6,no,no,yes,no,itL61b,0.1,,,
it,1-4-9,no,no,no,no,itHero,0.1,,,
it,1-3-8,no,no,no,yes,itHerob,0.1,,,
it,10-2,yes,no,no,no,ital102,0.1,,,
it,9-2,yes,no,no,no,ital92,0.1,,,
it,9-1,yes,no,no,no,ital91,0.1,,,
it,8-1,yes,no,no,no,ital81,0.1,,,
it,6+1,yes,no,no,no,ital61,0.1,,,
it,_aleader,,,,,italb,0.1,,,
it,Sniper,,,,,itSniper,0.1,counter_size=60,,
it,Sniper,,,,,itSnS,0.1,opacity=0.33,,
it,,,,,,itBU1,0.1,ignore|copy,,
it,,,,,,itBU2,0.1,ignore|copy,,
it,,,,,,itBU3,0.1,ignore|copy,,
it,,,,,,itBU4,0.1,ignore|copy,,
it,,,,,,itBU5,0.1,ignore|copy,,
it,,,,,,itBU6,0.1,ignore|copy,,
it,,,,,,itCE1,0.1,ignore|copy,,
it,,,,,,itCE2,0.1,ignore|copy,,
it,,,,,,itCE3,0.1,ignore|copy,,
it,,,,,,itCE4,0.1,ignore|copy,,
it,,,,,,itCE5,0.1,ignore|copy,,
it,,,,,,itCE6,0.1,ignore|copy,,
it,NtBu,,,,,itBUnt,0.1,ignore,,
it,NtCe,,,,,itCEnt,0.1,ignore,,
er,10-3,no,no,no,no,erL103,0.1,,,
er,10-2,no,no,no,no,erL102,0.1,,,
er,9-2,no,no,no,no,erL92,0.1,,,
er,9-1,no,no,no,no,erL91,0.1,,,
er,8-1,no,no,no,no,erL81,0.1,,,
er,8-0,no,no,no,no,erL80,0.1,,,
er,7-0,no,no,no,no,erL70,0.1,,,
er,6+1,no,no,no,no,erL61,0.1,,,
er,10,no,no,yes,no,erL10b,0.1,,,
er,9,no,no,yes,no,erL9b,0.1,,,
er,8,no,no,yes,no,erL8b,0.1,,,
er,7,no,no,yes,no,erL7b,0.1,,,
er,6,no,no,yes,no,erL6b,0.1,,,
er,1-4-9,no,no,no,no,erHero,0.1,,,
er,1-3-8,no,no,no,yes,erHerob,0.1,,,
