nationality,counter,value,range,spraying_fire,rof,pp,breakdown,repair,leadership,piece,version,overrides,svg_image_transform,comments
it,ATR,1,12,,,1,,,,itATR,0.1,,,
it,Malf,,,,,,,1/6,,itATRb,0.1,,,
it,,,,,,,,,,itATR20,0.1,copy,,
it,Malf,,,,,,,1/6,,itATR20b,0.1,,,
it,DC,30,1,,,1,X12,,?,itDC,0.1,,,
it,_dc,,,,,,,,,itDCb,0.1,,,
it,FT,24,1,,,1,X10,,?,itFT,0.1,,,
it,_ft,,,,,,,,,itFTb,0.1,,,
it,LMG,2,5,yes,1,1,B11,,,itLMG,0.1,,,
it,Malf,,,,,,,1/6,,itLMGb,0.1,,,
it,MMG,4,10,yes,2,4,B11,,,itMMG,0.1,,,
it,Malf,,,,,,,2/6,,itMMGb,0.1,,,
it,dmMMG,,,,,2@35.0:24.0,,,,itMMGdm,0.1,,,
it,dmMMG,,,,,2@35.0:24.0,X,,,itMMGdmb,0.1,,,
it,HMG,6,12,yes,3,5,B11,,,itHMG,0.1,,,
it,Malf,,,,,,,3/6,,itHMGb,0.1,,,
it,dmHMG,,,,,3@40.0:24.0,,,,itHMGdm,0.1,,,
it,dmHMG,,,,,3@40.0:24.0,X,,,itHMGdmb,0.1,,,
it,dmMTR,81mm,,,,5,,,,itMTR81dm,0.1,,,
it,dmMTR,81mm,,,,5,X,,,itMTR81dmb,0.1,,,
it,MTR,"<tspan style=""text-decoration:overline"">45</tspan>&#x273D;",[2-13],,2,4,B11,,,itMTR,0.1,,,
it,Malf,,,,,,,1/6,,itMTRb,0.1,,,
it,dmMTR,45mm,,,,2,,,,itMTRdm,0.1,,,
it,dmMTR,45mm,,,,2,X,,,itMTRdmb,0.1,,,
it,Phone,11,,,,,X12,,?,itphone,0.1,,,
it,_phone,,,,,,,,,itphoneb,0.1,,,
it,Radio,8,,,,1,,,?,itradio,0.1,,,
it,Malf,,,,,,,1/6,,itradiob,0.1,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
