count,name,radioless,weight,bpv,rf,dates,size,af,ta,ot,cs,mp,gp,gt,ma,rof_ife,breakdown,intensive_fire,bmg,cmg,aamg,sa,ammunition,smoke_depletion,smoke_discharger,transport,notes,version,piece,overrides,svg_image_transform,reverse,comments
<b>#</b>,<b>Name & <i>Type</i></b>,<b>®</b>,<b>WGT</b>,<b>BPV</b>,<b>RF</b>,<b>Dates</b>,<b>Size</b>,<b>AF</b>,<b>TA</b>,<b>OT</b>,<b>CS</b>,<b>MP</b>,<b>GP</b>,<b>GT</b>,<b>MA</b>,<b>ROF</b>,<b>B#</b>,<b>IF</b>,<b>BMG</b>,<b>CMG</b>,<b>AAMG</b>,<b>SA</b>,<b>Am</b>,<b>s#</b>,<b>sD#</b>,<b>PP/T#</b>,<b>Notes</b>,,,ignore,,,
4,L5/21 <i>Tt</i>,•,5.5,19,1.5,23-7/43†,+1,1,,,2,<b>8</b>,L,1MT,CMG†<sup>1</sup>,1,11,,,4,,,,,,,"1†, A†<sup>1</sup>",1.0,l521,nat=it|qual=a,,,
2,L5/30 <i>Tt</i>,•,6,22,1.6,30-7/43†,+1,1,,,2,<b>8</b>,L,1MT,T37,,11,,,,,,,,,,1†,1.0,l530,nat=it|qual=b,,,
6,L3/35 <i>Tt</i>,•,3.5,20,.9-1.6†,34-5/45†,+2,1/0,,,2,13,L,,BMG†<sup>1</sup>,1,11,,4,,,,,,,,"2†, A†<sup>1</sup>, B†<sup>1</sup>, E, N, R",1.0,l335,nat=it,,,
4,L3 aa <i>Tt</i>,•,3.5,18,1.3-1.6†,34-5/45,+2,1/0,,,2,13,L,,MG†,1,<b>11</b>†<sup>1</sup>,,2†<sup>2</sup>,,2†,,,,,,"3†, C, E†<sup>2</sup>, F†<sup>1</sup>, N, R",1.0,l3aa,nat=it,,,
2,L3 cc <i>Tt</i>,•,3.5,20,1.5-1.6†,6/40-2/41,+2,1/0,,,2,13,L,,"B<span style=""text-decoration:underline"">20</span>L†<sup>1</sup>",,,,,,,,,,,,"4†, E, J†<sup>1</sup>, N",1.0,l3cc,nat=it|range=[12]TH|rof=1,,,
4,L3 Lf <i>Ttv</i>,•,5,48,1.2-1.6†,36-41†,+2,1/0,,,2,12,L,,<b>BF32</b>,,<b>B/X11</b>†,,2†<sup>1</sup>,,,,,,,,"5†, E†<sup>1</sup>, N",1.0,l3lf,nat=it|ma=$$|mb=<b>X11</b>|sb=B11,,,
6,L6/40 <i>LT</i>,,7,28,1.6-1.3†,4/41-5/45†,+1,3/1,+F,,2,14,L,1MT,T20L,1 (4),11,,,2,,,,,,,"6†, N, R",1.0,l640,nat=it,,,
6,M11/39 <i>MT</i>,•,11,29,1.2-1.6†,39-6/41†,+1,3/1,,,3,<b>12</b>,,1MT,CMG†<sup>1</sup>,1,11†,,,4,,"B<span style=""text-decoration:underline"">37</span>",,,,,"7†, A†<sup>1</sup>, N",1.0,m1139,nat=it|ma=[*]$$|mb=$$[*],,,
12,M13/40 <i>MT</i>,•†,14,34,1.0-1.6†,12/40-5/45†,0,3,,,4,<b>11</b>,,RST,T47,1,,,4†<sup>1</sup>,4,Opt 2†<sup>2</sup>,,,,,,"8†, B†<sup>1</sup>, C†<sup>2</sup>, N",1.0,m1340,nat=it|mgs=4<sup><*></sup>/4,,,
