count,name,gun_type,caliber,rof_ife,breakdown,range,manhandling,target_size,dates,special,bpv,rf,notes,version,piece,r_x,overrides,limbered,svg_image_transform,reverse,comments
<b>#</b>,<b>Name</b>,<b>Type</b>,<b>CSize</b>,<b>ROF (IFE)</b>,<b>B#</b>,<b>Range</b>,<b>M#</b>,<b>TSize</b>,<b>Dates</b>,<b>Special</b>,<b>BPV</b>,<b>RF</b>,<b>Notes</b>,,,,ignore,,,,
10,Type 89 Heavy Grenade Launcher,MTR,"<span style=""text-decoration:overline"">50</span>*",2†,,1-16†,–,–,30-45,"4PP, s7†, WP6†, IR",–,–,1†,,,,ignore,,,,
2,Year-11 Type Curved-Fire Infantry Gun,MTR,"<span style=""text-decoration:overline"">70</span>*",2,,15-39,12,1,22-45†,"NT, QSU, WP5, 5PP dm†<sup>1</sup>",22,1.0-1.6†,"2†, A, B†<sup>1</sup>",1.0,jaMTR70s,,range=$$,,,,
4,Type 97 Curved-Fire Infantry Gun,MTR,"<span style=""text-decoration:overline"">81</span>*",3,,3-75,11,1,38-45,"NT, QSU, WP5",32,1.6-1.1†,"3†, A",1.0,jaMTR81s,,range=$$,,,,
4,Type 97 Light Close-Attack Gun,MTR,"<span style=""text-decoration:overline"">90</span>*",3,,14-95,10,1,35-45†,"NT, QSU, WP5, 5PP dm†<sup>1</sup>",28,1.5-1.2†,"4†, A, B†<sup>1</sup>",1.0,jaMTR90s,,range=$$,,,,
2,Type 97 Medium Close-Attack Gun,MTR,"<span style=""text-decoration:overline"">150</span>*",1,,16-106,<b>8</b>,0,34-45†,"NT, Towing NA†<sup>1</sup>",21,1.6-1.4†,"5†, A, C†<sup>1</sup>",1.0,jaMTR150s,,ma=[*]$$@sz-1.5|range=$$@sz-2.0,no_fire,,,
3,Type 97 Automatic Gun,ATR,"<span style=""text-decoration:underline"">20</span>L",1†,12†,12,–,–,38-45,"5PP, crew†",17,1.1-1.4†,"6†, A",,,,ignore,,,,
4,Type 94 Rapid-Fire Gun,AT,37L,3,,167,12,1,35-45†,"NT, QSU, h-d",31,1.3-1.0†,"7†, A",1.0,jaAT37L,,,,,,
4,Type 1 Machine-Moved Gun,AT,47L,3,,191,11,1,43-45†,"NT, QSU",34,1.6-1.1†,8†,1.0,jaAT47L,,,,,,
3,Year-11 Type Flat-Trajectory Infantry Gun,INF,37*,3,,125,–,–,22-45†,"5PP (3PP dm), crewed†",30,1.0-1.6†,"9†, A",,,,ignore,,,,
4,Type 92 Infantry Gun,INF,70*,1,,(3)†-70,12,1,33-45,"NT, QSU, AP5, WP5, H6<sup>5</sup>, h-d",33,1.0-1.3†,"10†, A",1.0,jaINF70s,,range=(3)<*>-70,,,,
4,Year-41 Type Mountain Gun,INF,75*,1,,158,10,1,9-45,"NT, QSU, WP7, H6<sup>4+</sup>†, h-d",34,1.3-1.1†,"11†, A",1.0,jaINF75s,,,,,,
4,Year-38 Type Field Gun (Improved),ART,75*,1,,265,9,0,16-45,"NT, QSU, WP6, h-d, “12” AP TK#†",33,1.2†,12†,1.0,jaAR75s,,ma=[*]$$|range=$$,,,,
4,Type 90 Field Gun,ART,75,1,11,350,9,0,30-45†,"NT, QSU, WP6",36,1.3-1.6†,13†,1.0,jaAR75,,,,,,
2,Type 91 10cm Field Howitzer,ART,105,1,,270,<b>8</b>,0,31-45,NT,39,1.4†,14†,1.0,jaAR105,,,no_fire,,,
2,Type 92 10cm Cannon,ART,105L,1,11,455,<b>5</b>,-1,32-45,"NT, AP5, WP5",32,1.6†,15†,1.0,jaAR105L,,,no_fire,,,
2,Year-38 Type 12cm Howitzer,ART,120*,,,141,<b>8</b>,0,7-45,"NT, AP5, h-d",34,1.5-1.6†,16†,1.0,jaAR120s,,,no_fire,,,
2,Year-3 Type 14cm Naval Seacoast Gun,ART,140L,,,425,–†,-1,7/43-7/45,"T, NM†",64,1.6-1.4†<sup>1</sup>,"17†<sup>1</sup>, D†, E",1.0,jaAR140L,,,,,,
2,Year-4 Type 15cm Howitzer,ART,150*,,11,245,<b>5</b>,-1,16-45,"NT, AP5, WP5, Towing risk†",42,1.5†,18†,1.0,jaAR150s,,,no_fire,,tow_disable,
2,Type 96 15cm Howitzer,ART,150,,,297,<b>4</b>,-1,36-7/45,"NT, AP5, WP5",45,1.6-1.3†,"19†, E",1.0,jaAR150,,,no_fire,,,
3,Type 93 Twin-Mount High-Angle Machine Gun,AA,12.7,3 (12),,†,<b>7</b>,1,34-45,"T, 2 TK DR†, Towing NA†<sup>1</sup>",34,1.4-1.1†,"20†, A, C†<sup>1</sup>, E",1.0,jaAA127,,ma=[*]$$|man=*$$,no_fire,,,
4,Type 98 High-Angle Machine Cannon,AA,20L,3 (4),,158,11,1,39-45,"T, LF [NT, 20†, 2 ROF]",31,1.6-1.2†,"21†, A",1.0,jaAA20L,,,ma=<*>20|rof=2|ife=(4)|mount=NT,,,
4,Type 96 Naval High-Angle Machine Cannon,AA,25LL,3 (6),,169,–†,1,44-45†<sup>1</sup>,"T, NM†",29,1.6-1.1†<sup>1</sup>,"22†<sup>1</sup>, D†, E",1.0,jaAA25LL,,qual=a,,,,
