nationality,values,armor,assault_engineer,broken,wounded,piece,version,overrides,svg_image_transform,comments
ja,10-2,no,no,no,no,jaL102,0.1,,,
ja,10-1,no,no,no,no,jaL101,0.1,,,
ja,10-0,no,no,no,no,jaL100,0.1,,,
ja,9-1,no,no,no,no,jaL91,0.1,,,
ja,9-1,no,no,no,yes,jaL91w,0.1,,,
ja,9-0,no,no,no,no,jal90,0.1,,,
ja,9-0,no,no,no,yes,jaL90w,0.1,,,
ja,8-0,no,no,no,no,jaL80,0.1,,,
ja,8-0,no,no,no,yes,jaL80w,0.1,,,
ja,9+1,no,no,no,yes,jaL9p1w,0.1,,,
ja,8+1,no,no,no,no,jaL8p1,0.1,,,
ja,8+1,no,no,no,yes,jaL8p1w,0.1,,,
ja,7+1,no,no,no,yes,jaL7p1w,0.1,,,
ja,7+2,no,no,no,yes,jaL7p2w,0.1,,,
ja,1-4-9,no,no,no,no,jaHero,0.1,,,
ja,1-3-8,no,no,no,yes,jaHerob,0.1,,,
ja,(1)-0-9,no,no,no,no,jaL109,0.1,,,
ja,(1)-0-8,no,no,no,yes,jaL108w,0.1,,,
ja,10-2,yes,no,no,no,jaal102,0.1,,,
ja,9-2,yes,no,no,no,jaal92,0.1,,,
ja,9-1,yes,no,no,no,jaal91,0.1,,,
ja,8-1,yes,no,no,no,jaal81,0.1,,,
ja,6+1,yes,no,no,no,jaal61,0.1,,,
ja,_aleader,,,,,jaalb,0.1,,,
ja,Sniper,,,,,jaSniper,0.1,counter_size=60,,
ja,Sniper,,,,,jaSnS,0.1,opacity=0.33,,
ja,,,,,,jaBU1,0.1,ignore|copy,,
ja,,,,,,jaBU2,0.1,ignore|copy,,
ja,,,,,,jaBU3,0.1,ignore|copy,,
ja,,,,,,jaBU4,0.1,ignore|copy,,
ja,,,,,,jaBU5,0.1,ignore|copy,,
ja,,,,,,jaBU6,0.1,ignore|copy,,
ja,,,,,,jaCE1,0.1,ignore|copy,,
ja,,,,,,jaCE2,0.1,ignore|copy,,
ja,,,,,,jaCE3,0.1,ignore|copy,,
ja,,,,,,jaCE4,0.1,ignore|copy,,
ja,,,,,,jaCE5,0.1,ignore|copy,,
ja,,,,,,jaCE6,0.1,ignore|copy,,
ja,NtBu,,,,,jaBUnt,0.1,ignore,,
ja,NtCe,,,,,jaCEnt,0.1,ignore,,
