nationality,counter,value,range,spraying_fire,rof,pp,breakdown,repair,leadership,piece,version,overrides,svg_image_transform,comments
ja,,,,,,,,,,jaATR20,0.1,copy,,
ja,Malf,,,,,,,1/6,,jaATR20b,0.1,,,
ja,DC,30,1,,,1,X12,,?,jaDC,0.1,,,
ja,_dc,,,,,,,,,jaDCb,0.1,,,
ja,FT,24,1,,,1,X10,,?,jaFT,0.1,,,
ja,_ft,,,,,,,,,jaFTb,0.1,,,
ja,LMG,2,6,yes,1,1,B11,,,jaLMG,0.1,,,
ja,Malf,,,,,,,1/6,,jaLMGb,0.1,,,
ja,MMG,4,11,yes,2,3,B11,,,jaMMG,0.1,,,
ja,Malf,,,,,,,2/6,,jaMMGb,0.1,,,
ja,dmMMG,,,,,2@35.0:24.0,,,,jaMMGdm,0.1,,,
ja,dmMMG,,,,,2@35.0:24.0,X,,,jaMMGdmb,0.1,,,
ja,HMG,6,14,yes,3,5,B11,,,jaHMG,0.1,,,
ja,Malf,,,,,,,3/6,,jaHMGb,0.1,,,
ja,dmHMG,,,,,3@40.0:24.0,,,,jaHMGdm,0.1,,,
ja,dmHMG,,,,,3@40.0:24.0,X,,,jaHMGdmb,0.1,,,
ja,HMG,8,14,yes,2,5,,,,jaHMG50,0.1,extra=.50@E:44.5:33.0,,
ja,Malf,,,,,,,2/6,,jaHMG50b,0.1,,,
ja,dmHMG,,,,,3@35.0:24.0,,,,jaHMG50dm,0.1,extra=.50@E:44.5:43.5,,
ja,dmHMG,,,,,3@35.0:24.0,X,2/6,,jaHMG50dmb,0.1,extra=.50@E:44.5:43.5,,
ja,INF,"<tspan style=""text-decoration:overline"">37</tspan>&#x273D;",,,3,5,,,,jaINF37,0.1,,,
ja,Malf,,,,,,,1/6,,jaINF37b,0.1,,,
ja,dmINF,37mm,,,,3@35.0:24.0,,,,jaINF37dm,0.1,,,
ja,dmINF,37mm,,,,3@35.0:24.0,X,,,jaINF37dmb,0.1,,,
ja,dmMTR,81mm,,,,5,,,,jaMTR81dm,0.1,,,
ja,dmMTR,81mm,,,,5,X,,,jaMTR81dmb,0.1,,,
ja,dmMTR,90mm,,,,5,,,,jaMTR90dm,0.1,,,
ja,dmMTR,90mm,,,,5,X,,,jaMTR90dmb,0.1,,,
ja,MTR,"<tspan style=""text-decoration:overline"">50</tspan>&#x273D;",[2-13][*],,2[*],4,,,,jaMTR,0.1,,,
ja,Malf,,,,,,,1/6,,jaMTRb,0.1,,,
ja,dmMTR,50mm,,,,3,,,,jaMTRdm,0.1,,,
ja,dmMTR,50mm,,,,3,X,,,jaMTRdmb,0.1,,,
ja,Phone,11,,,,,X12,,?,japhone,0.1,,,
ja,_phone,,,,,,,,,japhoneb,0.1,,,
ja,Radio,8,,,,1,,,?,jaradio,0.1,,,
ja,Malf,,,,,,,1/6,,jaradiob,0.1,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
