count,name,radioless,weight,bpv,rf,dates,size,af,ta,ot,cs,mp,gp,gt,ma,rof_ife,breakdown,intensive_fire,bmg,cmg,aamg,sa,ammunition,smoke_depletion,smoke_discharger,transport,notes,version,piece,overrides,svg_image_transform,reverse,comments
<b>#</b>,<b>Name & <i>Type</i></b>,<b>®</b>,<b>WGT</b>,<b>BPV</b>,<b>RF</b>,<b>Dates</b>,<b>Size</b>,<b>AF</b>,<b>TA</b>,<b>OT</b>,<b>CS</b>,<b>MP</b>,<b>GP</b>,<b>GT</b>,<b>MA</b>,<b>ROF</b>,<b>B#</b>,<b>IF</b>,<b>BMG</b>,<b>CMG</b>,<b>AAMG</b>,<b>SA</b>,<b>Am</b>,<b>s#</b>,<b>sD#</b>,<b>PP/T#</b>,<b>Notes</b>,,,ignore,,,
3,Type 92A <i>Tt</i>,•,3.5,22,1.3-1.6†,33-40,+1,0,+FSR,,3,<b>15</b>,L,1MT,CMG,1,<b>11</b>†<sup>1</sup>,,2,2,,,,,,,"1†, A†<sup>1</sup>",1.0,ty92A,nat=ja|qual=a,,,
3,Type 92B <i>Tt</i>,•,3.5,27,1.3-1.6†,33-40,+1,0,+FSR,,3,<b>15</b>,L,1MT,MG†,1†,<b>11</b>†<sup>1</sup>,,6†,2,†,,,,,,"1†, A†<sup>1</sup>",1.0,ty92B,nat=ja|rof=$$<*>|qual=b,,,
6,Type 94 <i>Tt</i>,•,3.5,23,1.1-1.6†,35-45†,+2,2/0,-F/+SR,,2,<b>15</b>,L,1MT,CMG,1,11,,,2,,,,,,2PP†,2†,1.0,ty94,nat=ja|pp=2PP<*>@above_mgs,,,
2,Type 95 SO-KI <i>Tt</i>,•,9,21,1.4-1.6†,37-45†,+1,0,,,5,14,,RST,CMG,1,11,,,2†,,,,,,,3†,1.0,ty95soki,nat=ja,,,
3,Type 97A TE-KE <i>Tt</i>,•,4.5,25,1.1-1.6†,38-45†,+2,3/0,-F/+SR,,2,16,L,1MT,CMG,1,,,,2,,,,,,,4†,1.0,ty97Ateke,nat=ja|qual=a,,,
6,Type 97B TE-KE <i>Tt</i>,•,4.5,31,1.1-1.6†,38-45†,+2,3/0,-F/+SR,,2,16,L,1MT,T37,,,•,,,,,,,,,4†,1.0,ty97Bteke,nat=ja|qual=b,,,
10,Type 95 HA-GO <i>LT</i>,•†<sup>2</sup>,7.5,33,1.0-1.6†,37-45†,+1,1,+FSR,,3,15,L,1MT,T37,,,,2,-<sup>R2</sup>†,,,,,5<sup>4+</sup>†<sup>1</sup>,,"5†, B†<sup>1</sup>, C†<sup>2</sup>",1.0,ty95hago,nat=ja|mgs=2/-<sup>R2[*]</sup>,,,
3,Type 2 KA-MI <i>aLT</i>,,11.5,47,1.5-1.6†,44-7/45,+1,3/0,-F/+SR,,5†,14<sup>3</sup>,L,ST,T37L,1,,,,4,,,,,,,6†,1.0,ty2kamip,nat=ja|mp=<*>$$|qual=a,,,
,(without pontoons),,9.5,40,1.5-1.6†,44-7/45,+1,2/0,+SR,,5†,15,L,ST,T37L,1,,,2,4,,,,,,,6†,1.0,ty2kamip,ignore|qual=b,,,
3,Type 89A CHI-RO <i>MT</i>,•,12.5,34,1.2-1.6†,32-43,-1,1,+FSR,,4,10,L,ST,T57*,1,<b>11</b>†<sup>1</sup>,,2,-<sup>R2</sup>,,,,,,,"7†, A†<sup>1</sup>",1.0,ty89Achiro,nat=ja|qual=a,,,
6,Type 89B CHI-RO <i>MT</i>,•,13,36,1.1-1.6†,36-10/44†,-1,2/1,+SR,,4,10,L,ST,T57*,1,,,2,-<sup>R2</sup>†,,,,,,,7†,1.0,ty89Bchiro,nat=ja|qual=b,,,
10,Type 97A CHI-HA <i>MT</i>,•†<sup>2</sup>,15,42,1.6-1.0†,39-45†,0,3/2,+FSR,,4,14,L,ST,T57,1,,,2,-<sup>R2</sup>,,,,,5<sup>1+</sup>†<sup>1</sup>,,"8†, B†<sup>1</sup>, C†<sup>2</sup>",1.0,ty97Achiha,nat=ja|qual=a,,,
