nationality,class,firepower,range,morale,assault_fire,smoke,spraying_fire,elr,self_rally,assault_engineer,bpv,piece,version,overrides,svg_image_transform,comments
ru,(E),6,2,8,yes,2,yes,no,no,yes,13,ru628Sae,0.1,,,
ru,(E),3,2,8/7,no,0,no,no,no,yes,5,ru328Hae,0.1,,,
ru,E,6,2,8,yes,0,yes,no,no,no,12,ru628S,0.1,,,
ru,E,3,2,8/7,no,0,no,no,no,no,5,ru328H,0.1,,,
ru,[E],4,5,8,no,0,no,no,no,no,11,ru458S,0.1,,,
ru,[E],2,4,8/7,no,0,no,no,no,no,5,ru248H,0.1,,,
ru,[1],4,4,7,no,0,no,no,no,no,7,ru447S,0.1,,,
ru,[1],2,3,7/6,no,0,no,no,no,no,3,ru237H,0.1,,,
ru,1,5,2,7,yes,0,yes,no,no,no,7,ru527S,0.1,,,
ru,1,2,2,7/6,no,0,no,no,no,no,3,ru227H,0.1,,,
ru,NKVD,6,2,8/9,no,0,yes,yes,no,no,13,ru628SN,0.1,,,
ru,NKVD,3,2,8,no,0,no,yes,no,no,6,ru328HN,0.1,,,
ru,C,4,2,6/5,no,0,no,no,no,no,4,ru426S,0.1,,,
ru,C,2,2,6/5,no,0,no,no,no,no,1,ru226H,0.1,,,
ru,crew,2,2,8,no,0,no,no,yes,no,6,ru228C,0.1,,,
ru,crew,1,2,7,no,0,no,no,yes,no,5,ru127C,0.1,,,
ru,NKVD,4,5,8/9,no,0,no,yes,no,no,11,ru458SN,0.1,,,
ru,NKVD,2,4,8,no,0,no,yes,no,no,5,ru248HN,0.1,,,
ru,broken,,,9,,,,,no,,,rus9b,0.1,,,
ru,broken,,,8,,,,,no,,,rus8b,0.1,,,
ru,broken,,,7,,,,,no,,,rus7b,0.1,,,
ru,broken,,,6,,,,,no,,,rus6b,0.1,,,
ru,broken,,,5,,,,,no,,,rus5b,0.1,,,
ru,broken,,,0,,,,,no,,,rus0b,0.1,,,
ru,broken,,,8,,,,,no,,,ruh8b,0.1,,,
ru,broken,,,7,,,,,no,,,ruh7b,0.1,,,
ru,broken,,,6,,,,,no,,,ruh6b,0.1,,,
ru,broken,,,5,,,,,no,,,ruh5b,0.1,,,
ru,broken,,,4,,,,,no,,,ruh4b,0.1,,,
ru,broken,,,0,,,,,no,,,ruh0b,0.1,,,
ru,broken,,,8,,,,,yes,,,ruc8b,0.1,,,
ru,broken,,,7,,,,,yes,,,ruc7b,0.1,,,
ru,?C,,,,,,,,,,,ruqcloak,0.1,,,
ru,?,,,,,,,,,,,ruqmark,0.1,,,
ru,?58,,,,,,,,,,,ruqmark58,0.1,,,
ru,?me,,,,,,,,,,,ruqmarkme,0.1,,,
ru,?roi,,,,,,,,,,,ruNoRoi,0.1,,,
ru,none,,,,,,,,,,,ru000H,0.1,,,
ru,none,,,,,,,,,,,ru000S,0.1,,,
ru,none,,,,,,,,,,,rublank12,0.1,,,
ru,none,,,,,,,,,,,rublank58,0.1,counter_size=60,,
pa,none,5,2,7,yes,0,yes,yes,no,no,7,pa527S,0.1,,,
pa,none,2,2,7/6,no,0,no,yes,no,no,3,pa227H,0.1,,,
pa,none,3,3,7,no,0,no,yes,no,no,4,pa337S,0.1,,,
pa,none,1,2,7/6,no,0,no,yes,no,no,1,pa127H,0.1,,,
pa,none,,,,,,,,,,,pa000S,0.1,,,
pa,none,,,,,,,,,,,pa000H,0.1,,,
pa,broken,,,7,,,,,no,,,pas7b,0.1,,,
pa,broken,,,6,,,,,no,,,pas6b,0.1,,,
pa,broken,,,6,,,,,no,,,pah6b,0.1,,,
pa,broken,,,5,,,,,no,,,pah5b,0.1,,,
