nationality,values,armor,assault_engineer,broken,wounded,piece,version,overrides,svg_image_transform,comments
ru,10-3,no,no,no,no,ruL103,0.1,,,
ru,10,no,no,yes,no,ruL103b,0.1,,,
ru,10-2,no,no,no,no,ruL102,0.1,,,
ru,10,no,no,yes,no,ruL102b,0.1,,,
ru,9-2,no,no,no,no,ruL92,0.1,,,
ru,9,no,no,yes,no,ruL92b,0.1,,,
ru,9-1,no,no,no,no,ruL91,0.1,,,
ru,9,no,no,yes,no,ruL91b,0.1,,,
ru,8-1,no,no,no,no,ruL81,0.1,,,
ru,8,no,no,yes,no,ruL81b,0.1,,,
ru,8-0,no,no,no,no,ruL80,0.1,,,
ru,8,no,no,yes,no,ruL80b,0.1,,,
ru,7-0,no,no,no,no,ruL70,0.1,,,
ru,7,no,no,yes,no,ruL70b,0.1,,,
ru,6+1,no,no,no,no,ruL61,0.1,,,
ru,6,no,no,yes,no,ruL61b,0.1,,,
ru,1-4-9,no,no,no,no,ruHero,0.1,,,
ru,1-3-8,no,no,no,yes,ruHerob,0.1,,,
ru,8,no,no,yes,no,ruL81b,0.1,,,
ru,10-0,no,no,no,no,ruL100,0.1,,,
ru,10,no,no,yes,no,ruL100b,0.1,,,
ru,9-0,no,no,no,no,ruL90,0.1,,,
ru,9,no,no,yes,no,ruL90b,0.1,,,
ru,8+1,no,no,no,no,ruL8p1c,0.1,,,
ru,10-2,yes,no,no,no,rual102,0.1,,,
ru,9-2,yes,no,no,no,rual92,0.1,,,
ru,9-1,yes,no,no,no,rual91,0.1,,,
ru,8-1,yes,no,no,no,rual81,0.1,,,
ru,6+1,yes,no,no,no,rual61,0.1,,,
ru,_aleader,,,,,rualb,0.1,,,
ru,Sniper,,,,,ruSniper,0.1,counter_size=60,,
ru,Sniper,,,,,ruSnS,0.1,opacity=0.33,,
ru,,,,,,ruBU1,0.1,ignore|copy,,
ru,,,,,,ruBU2,0.1,ignore|copy,,
ru,,,,,,ruBU3,0.1,ignore|copy,,
ru,,,,,,ruBU4,0.1,ignore|copy,,
ru,,,,,,ruBU5,0.1,ignore|copy,,
ru,,,,,,ruBU6,0.1,ignore|copy,,
ru,,,,,,ruCE1,0.1,ignore|copy,,
ru,,,,,,ruCE2,0.1,ignore|copy,,
ru,,,,,,ruCE3,0.1,ignore|copy,,
ru,,,,,,ruCE4,0.1,ignore|copy,,
ru,,,,,,ruCE5,0.1,ignore|copy,,
ru,,,,,,ruCE6,0.1,ignore|copy,,
ru,NtBu,,,,,ruBUnt,0.1,ignore,,
ru,NtCe,,,,,ruCEnt,0.1,ignore,,
pa,10-3,no,no,no,no,paL103,0.1,,,
pa,10,no,no,yes,no,paL103b,0.1,,,
pa,10-2,no,no,no,no,paL102,0.1,,,
pa,10,no,no,yes,no,paL102b,0.1,,,
pa,9-2,no,no,no,no,paL92,0.1,,,
pa,9,no,no,yes,no,paL92b,0.1,,,
pa,9-1,no,no,no,no,paL91,0.1,,,
pa,9,no,no,yes,no,paL91b,0.1,,,
pa,8-1,no,no,no,no,paL81,0.1,,,
pa,8,no,no,yes,no,paL81b,0.1,,,
pa,8-0,no,no,no,no,paL80,0.1,,,
pa,8,no,no,yes,no,paL80b,0.1,,,
pa,7-0,no,no,no,no,paL70,0.1,,,
pa,7,no,no,yes,no,paL70b,0.1,,,
pa,6+1,no,no,no,no,paL61,0.1,,,
pa,6,no,no,yes,no,paL61b,0.1,,,
pa,1-4-9,no,no,no,no,paHero,0.1,,,
pa,1-3-8,no,no,no,yes,paHerob,0.1,,,
