nationality,counter,value,range,spraying_fire,rof,pp,breakdown,repair,leadership,piece,version,overrides,svg_image_transform,comments
ru,ATR,1,12,,,1,,,,ruATR,0.1,,,
ru,Malf,,,,,,,1/6,,ruATRb,0.1,,,
ru,BAZ44(a),8,4,,,1@24.0:24.0,X11,,,ruBAZ44,0.1,extra=16TK,,
ru,_baz,,,,,,,,,ruBAZ44b,0.1,,,
ru,,,,,,,,,,ruMOL,0.1,copy,,
ru,,,,,,,,,,ruMOLb,0.1,copy,,
ru,DC,30,1,,,1,X12,,?,ruDC,0.1,,,
ru,_dc,,,,,,,,,ruDCb,0.1,,,
ru,,,,,,,,,,minedog,0.1,copy,,
ru,,,,,,,,,,minedogb,0.1,copy,,
ru,FT,24,1,,,1,X10,,?,ruFT,0.1,,,
ru,_ft,,,,,,,,,ruFTb,0.1,,,
ru,LMG,2,6,yes,1,1,B11,,,ruLMG,0.1,,,
ru,Malf,,,,,,,1/6,,ruLMGb,0.1,,,
ru,LMG(b),2,7,yes,1,1,,,,ruLMG(b),0.1,,,
ru,Malf,,,,,,,1/6,,ruLMG(b)b,0.1,,,
ru,MMG,4,10,yes,2,5,B11,,,ruMMG,0.1,,,
ru,Malf,,,,,,,2/6,,ruMMGb,0.1,,,
ru,MMG(a),4,10,yes,2,3,,,,ruMMGa,0.1,,,
ru,Malf,,,,,,,2/6,,ruMMGaBR,0.1,,,
ru,dmMMG(a),,,,,2@35.0:24.0,,,,ruMMGadm,0.1,,,
ru,dmMMG(a),,,,,2@35.0:24.0,X,,,ruMMGadmbr,0.1,,,
ru,dmMMG,,,,,2@35.0:24.0,,,,ruMMGdm,0.1,,,
ru,dmMMG,,,,,2@35.0:24.0,X,,,ruMMGdmb,0.1,,,
ru,HMG,6,12,yes,3,5,,,,ruHMG,0.1,,,
ru,Malf,,,,,,,3/6,,ruHMGb,0.1,,,
ru,HMG,8,16,yes,3,5,,,,ruHMG50(r),0.1,extra=.50@E:44.5:33.0,,
ru,Malf,,,,,,,2/6,,ruHMG50(r)b,0.1,,,
ru,dmHMG,,,,,3@34.0:24.0,,,,ruHMG50(r)dm,0.1,extra=.50@E:44.5:18.0,,
ru,dmHMG,,,,,3@34.0:24.0,X,2/6,,ruHMG50(r)dmb,0.1,extra=.50@E:44.5:18.0,,
ru,HMG,8,16,yes,3,5,,,,ruHMG50,0.1,extra=.50@E:44.5:33.0,,
ru,Malf,,,,,,,2/6,,ruHMG50b,0.1,,,
ru,dmHMG,,,,,3@34.0:24.0,,,,ruHMG50dm,0.1,extra=.50@E:44.5:18.0,,
ru,dmHMG,,,,,3@34.0:24.0,X,2/6,,ruHMG50dmb,0.1,extra=.50@E:44.5:18.0,,
ru,dmMTR,82mm,,,,5,,,,ruMTR82dm,0.1,,,
ru,dmMTR,82mm,,,,5,X,,,ruMTR82dmb,0.1,,,
ru,MTR,"*<tspan style=""text-decoration:overline"">37</tspan>",[1-4],,2,1,,,,ru37MTR,0.1,,,
ru,Malf,,,,,,,1/6,,ru37MTRbrk,0.1,extra=*Airburst@S:2.0:38.5@sz-1.0!&amp;Acq. NA@S:2.0:44.50@sz-1.0,,
ru,MTR,"<tspan style=""text-decoration:overline"">50</tspan>&#x273D;",[3-20],,3,4,,,,ruMTR,0.1,,,
ru,Malf,,,,,,,1/6,,ruMTRb,0.1,,,
ru,dmMTR,50mm,,,,2,,,,ruMTRdm,0.1,,,
ru,dmMTR,50mm,,,,2,X,,,ruMTRdmb,0.1,,,
ru,Phone,11,,,,,X12,,?,ruphone,0.1,,,
ru,_phone,,,,,,,,,ruphoneb,0.1,,,
ru,Radio,6&#47;7&#47;8,,,,1,,,?,ruradio,0.1,,,
ru,,,,,,,,,,ruradiob,0.1,,,
ru,,,,,,,,,,ruCupHMG,0.1,copy,,
ru,,,,,,,,,,ruCupHMGb,0.1,copy,,
ru,,,,,,,,,,ruCupMMG,0.1,copy,,
ru,,,,,,,,,,ruCupMMGb,0.1,copy,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
