count,name,radioless,weight,bpv,rf,dates,size,af,ta,ot,cs,mp,gp,gt,ma,rof_ife,breakdown,intensive_fire,bmg,cmg,aamg,sa,ammunition,smoke_depletion,smoke_discharger,transport,notes,version,piece,overrides,svg_image_transform,reverse,comments
<b>#</b>,<b>Name & <i>Type</i></b>,<b>®</b>,<b>WGT</b>,<b>BPV</b>,<b>RF</b>,<b>Dates</b>,<b>Size</b>,<b>AF</b>,<b>TA</b>,<b>OT</b>,<b>CS</b>,<b>MP</b>,<b>GP</b>,<b>GT</b>,<b>MA</b>,<b>ROF</b>,<b>B#</b>,<b>IF</b>,<b>BMG</b>,<b>CMG</b>,<b>AAMG</b>,<b>SA</b>,<b>Am</b>,<b>s#</b>,<b>sD#</b>,<b>PP/T#</b>,<b>Notes</b>,,,ignore,,,
6,T-37 <i>aTt</i>,•,3.5,25,1.2,34-41,+2†,0,,,2,<b>14</b><sup>2</sup>,L,1MT,CMG,1,,,,4,,,,,,,"1, H†, M",1.0,T37,nat=ru,,,
3,T-27 <i>Tt</i>,•,1.5,21,1.1,30-41,+2,0,,,2,<b>14</b>,L,BMG,1,,,2,,,,,,,,1PP/T10†,"1.1†, M, Q",1.0,ruT-27,nat=ru|ma=BMG|mgs=2/-|pp=$$<*>|tow=<*>$$,,,
6,T-40 <i>aTt</i>,•,6,32,1.5,6-12/41,+1†,1/0,+SR,,2,14<sup>2</sup>,L,1MT,CMG,1,,,,8†,,,,,,,"2†, H†",1.0,T40,nat=ru,,,
4,T-50 <i>Tt</i>,•,14,38,1.6,4/42-43,+1,6/4,-FSR,,4,17,L,RST,T45L,1,,,,4,,,A4<sup>2</sup>,,,,3,1.0,T50,nat=ru,,,
6,T-60 M40 <i>Tt</i>,•,6,28,1.0,8/41-43,+1,3/2,-FSR,,2,15,L,1MT,T20LL,1 (4),,,,2,,,,,,,4,1.0,T60M40,nat=ru|qual=a,,,
4,T-60 M42 <i>Tt</i>,•†,6.5,31,1.3,7/42-43,+1,6/3,-FSR,,2,15,L,1MT,T20LL,1 (4),,,,2,,,,,,,"4, C†",1.0,T60M42,nat=ru|qual=b,,,
6,T-70 <i>Tt</i>,•†,9,32,1.0,4/42-45,+1,6/4,,,2,14,L,1MT,T45L,,,,,2,,,A4<sup>2</sup>,,,,"5, C†",1.0,T70,nat=ru,,,
6,T-26 M33 <i>LT</i>,•,9.5,28,.9-1.4†,33-41,0,1,+F,,3,<b>12</b>,,RST,T45L,1,11,,,Opt 4<sup>Opt R2</sup>,Opt 2,,,,,,"6, D, I†, M, P",1.0,T26M33,nat=ru|mgs=|qual=a,,,
6,T-26 M37/39 <i>LT</i>,•,10.5,30,1.2,39-42,0,3/1,+SR,,3,<b>11</b>,,RST,T45L,1,11,,,4<sup>Opt R2</sup>,Opt 2,,,,,,"6, D, M, P",1.0,T26M37,nat=ru|mgs=-/4|qual=b,,,
