nationality,class,firepower,range,morale,assault_fire,smoke,spraying_fire,elr,self_rally,assault_engineer,bpv,piece,version,overrides,svg_image_transform,comments
sv,AE,5,4,8,yes,2,yes,no,no,yes,13,sv548Sae,0.1,,,
sv,AE,2,3,8/7,no,0,no,no,no,yes,5,sv238Hae,0.1,,,
sv,1,5,4,8,yes,0,yes,no,no,no,13,sv548S,0.1,,,
sv,1,2,3,8/7,no,0,no,no,no,no,5,sv238H,0.1,,,
sv,2,4,4,7,no,0,no,no,no,no,8,sv447S,0.1,,,
sv,2,2,3,7/6,no,0,no,no,no,no,3,sv237H,0.1,,,
sv,G,4,3,7,no,0,no,no,no,no,6,sv437S,0.1,,,
sv,G,2,2,7/6,no,0,no,no,no,no,2,sv227H,0.1,,,
sv,broken,,,8,,,,,no,,,svS8b,0.1,,,
sv,broken,,,6,,,,,no,,,svS6b,0.1,,,
sv,broken,,,0,,,,,no,,,svS0b,0.1,,,
sv,broken,,,7,,,,,no,,,svH7b,0.1,,,
sv,broken,,,5,,,,,no,,,svH5b,0.1,,,
sv,broken,,,0,,,,,no,,,svH0b,0.1,,,
sv,broken,,,7,,,,,yes,,,svC7b,0.1,,,
sv,crew,2,2,8/7,no,0,no,no,yes,no,7,sv228C,0.1,,,
sv,?C,,,,,,,,,,,svqcloak,0.1,,,
sv,?,,,,,,,,,,,svqmark,0.1,,,
sv,?58,,,,,,,,,,,svqmark58,0.1,,,
sv,?me,,,,,,,,,,,svqmarkme,0.1,,,
sv,?roi,,,,,,,,,,,svNoRoi,0.1,,,
sv,none,,,,,,,,,,,sv000H,0.1,,,
sv,none,,,,,,,,,,,sv000S,0.1,,,
sv,none,,,,,,,,,,,svblank,0.1,,,
sv,none,,,,,,,,,,,svblank58,0.1,counter_size=60,,
