nationality,values,armor,assault_engineer,broken,wounded,piece,version,overrides,svg_image_transform,comments
sv,10-3,no,no,no,no,svL103,0.1,,,
sv,10-2,no,no,no,no,svL102,0.1,,,
sv,9-2,no,no,no,no,svL92,0.1,,,
sv,9-1,no,no,no,no,svL91,0.1,,,
sv,8-1,no,no,no,no,svL81,0.1,,,
sv,8-0,no,no,no,no,svL80,0.1,,,
sv,7-0,no,no,no,no,svL70,0.1,,,
sv,6+1,no,no,no,no,svL61,0.1,,,
sv,1-4-9,no,no,no,no,svHero,0.1,,,
sv,1-3-8,no,no,no,yes,svHerob,0.1,,,
sv,10,no,no,yes,no,svL10b,0.1,,,
sv,9,no,no,yes,no,svL9b,0.1,,,
sv,8,no,no,yes,no,svL8b,0.1,,,
sv,7,no,no,yes,no,svL7b,0.1,,,
sv,6,no,no,yes,no,svL6b,0.1,,,
sv,Sniper,,,,,svSniper,0.1,counter_size=60,,
sv,Sniper,,,,,svSnS,0.1,opacity=0.33,,
