nationality,counter,value,range,spraying_fire,rof,pp,breakdown,repair,leadership,piece,version,overrides,svg_image_transform,comments
sv,DC,30,1,,,1,X12,,?,svDC,0.1,,,
sv,_dc,,,,,,,,,svDCb,0.1,,,
sv,LMG,2,6,yes,1,1,B11,,,svLMG,0.1,,,
sv,Malf,,,,,,,1/6,,svLMGb,0.1,,,
sv,LMG(r),2,6,yes,1,1,B11,,,svLMGr,0.1,,,
sv,Malf,,,,,,,1/6,,svLMGrb,0.1,,,
sv,MMG,4,10,yes,2,4,B11,,,svMMG,0.1,,,
sv,Malf,,,,,,,2/6,,svMMGb,0.1,,,
sv,dmMMG,,,,,2@35.0:24.0,,,,svMMGdm,0.1,,,
sv,dmMMG,,,,,2@35.0:24.0,X,,,svMMGdmb,0.1,,,
sv,MMG(n),4,11,yes,2,4,,,,svMMGn,0.1,,,
sv,Malf,,,,,,,2/6,,svMMGnb,0.1,,,
sv,dmMMG,,,,,2@35.0:24.0,,,,svMMGndm,0.1,,,
sv,dmMMG,,,,,2@35.0:24.0,X,,,svMMGndmb,0.1,,,
sv,MMG(r),4,10,yes,2,5,B11,,,svMMGr,0.1,,,
sv,Malf,,,,,,,2/6,,svMMGrb,0.1,extra=no dm@S:3.0:44.0@sz+1.0,,
sv,HMG,6,12,yes,3,5,B11,,,svHMG,0.1,,,
sv,Malf,,,,,,,3/6,,svHMGb,0.1,,,
sv,dmHMG,,,,,3@40.0:24.0,,,,svHMGdm,0.1,,,
sv,dmHMG,,,,,3@40.0:24.0,X,,,svHMGdmb,0.1,,,
sv,dmMTR,81mm,,,,5,,,,svMTR81sdm,0.1,,,
sv,dmMTR,81mm,,,,5,X,,,svMTR81sdmb,0.1,,,
sv,Phone,11,,,,,X12,,?,svphone,0.1,,,
sv,_phone,,,,,,,,,svphoneb,0.1,,,
sv,Radio,8,,,,1,,,?,svradio,0.1,,,
sv,Malf,,,,,,,1/6,,svradiob,0.1,,,
sv,none,,,,,,,,,ObaSVar,0.1,copy,,
sv,none,,,,,,,,,ObaSVffe1,0.1,copy,,
sv,none,,,,,,,,,ObaSVffe2,0.1,copy,,
sv,none,,,,,,,,,ObaSVffeC,0.1,copy,,
sv,none,,,,,,,,,ObaSVsr,0.1,copy,,
,,,,,,,,,,,,,,
