nationality,class,firepower,range,morale,assault_fire,smoke,spraying_fire,elr,self_rally,assault_engineer,bpv,piece,version,overrides,svg_image_transform,comments
sk,KMC,4,4,8,no,1,no,yes,no,no,11,kmc448sqKFW,0.1,,,
sk,broken,,,8,,,,,no,,,kmc448sqKFW-bkn,0.1,,,
sk,KMC,2,3,8/7,no,0,no,yes,no,no,5,kmc238hsKFW,0.1,,,
sk,broken,,,7,,,,,no,,,kmc238hsKFW-bkn,0.1,,,
sk,KMC,5,5,8,yes,2,no,yes,no,no,13,kmc558sqKFW,0.1,,,
sk,broken,,,8,,,,,no,,,kmc558sqKFW-bkn,0.1,,,
sk,KMC,2,4,8/7,no,0,no,yes,no,no,6,kmc248hsKFW,0.1,,,
sk,broken,,,7,,,,,no,,,kmc248hsKFW-bkn,0.1,,,
sk,1,5,5,7,yes,2,no,no,no,no,11,sk5571sqKFW,0.1,,,
sk,broken,,,7,,,,,no,,,sk5571sqKFW-bkn,0.1,,,
sk,1,2,4,7/6,no,0,no,no,no,no,4,sk2471hsKFW,0.1,,,
sk,broken,,,6,,,,,no,,,sk2471hsKFW-bkn,0.1,,,
sk,2,4,4,7,no,1,no,no,no,no,7,sk4472sqKFW,0.1,,,
sk,broken,,,7,,,,,no,,,sk4472sqKFW-bkn,0.1,,,
sk,2,2,3,7/6,no,0,no,no,no,no,3,sk2372hsKFW,0.1,,,
sk,broken,,,6,,,,,no,,,sk2372hsKFW-bkn,0.1,,,
sk,C,3,3,6/5,no,0,no,no,no,no,3,sk336CsqKFW,0.1,,,
sk,broken,,,5,,,,,no,,,sk336CsqKFW-bkn,0.1,,,
sk,C,1,2,6/4,no,0,no,no,no,no,1,sk126ChsKFW,0.1,,,
sk,broken,,,4,,,,,no,,,sk126ChsKFW-bkn,0.1,,,
sk,KMC,2,2,8,no,0,no,no,yes,no,8,kmc228crKFW,0.1,,,
sk,broken,,,8,,,,,yes,,,kmc228crKFW-bkn,0.1,,,
sk,crew,2,2,7,no,0,no,no,yes,no,8,sk227crKFW,0.1,,,
sk,broken,,,7,,,,,yes,,,sk227crKFW-bkn,0.1,,,
sk,crew,1,2,6,no,0,no,no,yes,no,8,sk126crKFW,0.1,,,
sk,broken,,,6,,,,,yes,,,sk126crKFW-bkn,0.1,,,
sk,?C,,,,,,,,,,,skqcloak|unqcloak@un,0.1,,,
sk,?,,,,,,,,,,,skqmark|unqmark@un,0.1,,,
sk,?58,,,,,,,,,,,skqmark58|unqmark58@un,0.1,,,
sk,?me,,,,,,,,,,,skqmarkme|unqmarkme@un,0.1,,,
sk,?roi,,,,,,,,,,,skNoRoi|unNoRoi@un,0.1,,,
sk,none,,,,,,,,,,,skblank12|skblank12(KFW)|unblank12@un,0.1,,,
sk,none,,,,,,,,,,,skblank58|skblank58(KFW)|unblank58@un,0.1,counter_size=60,,
un,E,5,5,8,yes,2,no,no,no,no,13,un558classE,0.1,,,
un,broken,,,8,,,,,no,,,un558classE-back,0.1,,,
un,E,2,4,8/7,no,0,no,no,no,no,6,un248classenobox,0.1,,,
un,broken,,,7,,,,,no,,,un248classenobox-back,0.1,,,
un,[E],4,5,8,yes,2,no,no,no,no,12,un458classE,0.1,,,
un,broken,,,8,,,,,no,,,un458classE-back,0.1,,,
un,[E],2,4,8/7,no,0,no,no,no,no,6,un248classebox,0.1,,,
un,broken,,,7,,,,,no,,,un248classebox-back,0.1,,,
un,1,5,5,7,yes,2,no,no,no,no,11,un557class1,0.1,,,
un,broken,,,7,,,,,no,,,un557class1-back,0.1,,,
un,1,2,4,7/6,no,0,no,no,no,no,4,un247class1nobox,0.1,,,
un,broken,,,6,,,,,no,,,un247class1nobox-back,0.1,,,
un,[1],4,5,7,yes,2,no,no,no,no,11,un457class1,0.1,,,
un,broken,,,7,,,,,no,,,un457class1-back,0.1,,,
un,[1],2,4,7/6,no,0,no,no,no,no,10,un247class1box,0.1,,,
un,broken,,,6,,,,,no,,,un247class1box-back,0.1,,,
un,2,4,4,7,no,1,no,no,no,no,7,un447class2,0.1,,,
un,broken,,,7,,,,,no,,,un447class2-back,0.1,,,
un,2,2,3,7/6,no,0,no,no,no,no,3,un237class2,0.1,,,
un,broken,,,6,,,,,no,,,un237class2-back,0.1,,,
un,crew,2,2,8,no,0,no,no,yes,no,8,un228crew,0.1,,,
un,broken,,,8,,,,,yes,,,un228crew-back,0.1,,,
un,crew,1,2,7,no,0,no,no,yes,no,8,un127crew,0.1,,,
un,broken,,,7,,,,,yes,,,un127crew-back,0.1,,,
