nationality,values,armor,assault_engineer,broken,wounded,piece,version,overrides,svg_image_transform,comments
sk,10-3,no,no,no,no,skLdr10-3(KFW)|unLdr10-3@un,0.1,,,
sk,10,no,no,yes,no,skLdr10-3(KFW)-bkn|unLdr10-3-back@un,0.1,,,
sk,10-2,no,no,no,no,skLdr10-2(KFW)|unLdr10-2@un,0.1,,,
sk,10,no,no,yes,no,skLdr10-2(KFW)-bkn|unLdr10-2-back@un,0.1,,,
sk,9-2,no,no,no,no,skLdr9-2(KFW)|unLdr9-2@un,0.1,,,
sk,9,no,no,yes,no,skLdr9-2(KFW)-bkn|unLdr9-2-back@un,0.1,,,
sk,9-1,no,no,no,no,skLdr9-1(KFW)|unLdr9-1@un,0.1,,,
sk,9,no,no,yes,no,skLdr9-1(KFW)-bkn|unLdr9-1-back@un,0.1,,,
sk,8-1,no,no,no,no,skLdr8-1(KFW)|unLdr8-1@un,0.1,,,
sk,8,no,no,yes,no,skLdr8-1(KFW)-bkn|unLdr8-1-back@un,0.1,,,
sk,8-0,no,no,no,no,skLdr8-0(KFW)|unLdr8-0@un,0.1,,,
sk,8,no,no,yes,no,skLdr8-0(KFW)-bkn|unLdr8-0-back@un,0.1,,,
sk,7-0,no,no,no,no,skLdr7-0(KFW)|unLdr7-0@un,0.1,,,
sk,7,no,no,yes,no,skLdr7-0(KFW)-bkn|unLdr7-0-back@un,0.1,,,
sk,6+1,no,no,no,no,skLdr6+1(KFW)|unLdr6+1@un,0.1,,,
sk,6,no,no,yes,no,skLdr6+1(KFW)-bkn|unLdr6+1-back@un,0.1,,,
sk,1-4-9,no,no,no,no,skHero149(KFW)|unHero1-4-9@un,0.1,,,
sk,1-3-8,no,no,no,yes,skHero149(KFW)-wounded|unHero1-3-8@un,0.1,,,
sk,(1)-0-9,no,no,no,no,skHBHero109(KFW),0.1,,,
sk,(1)-0-8,no,no,no,yes,skHBHero109(KFW)-wounded,0.1,,,
un,10-2,yes,no,no,no,unAL10-2|skVehLdr10-2(KFW)@sk,0.1,,,
un,9-2,yes,no,no,no,unAL9-2|skVehLdr9-2(KFW)@sk,0.1,,,
un,9-1,yes,no,no,no,unAL9-1|skVehLdr9-1(KFW)@sk,0.1,,,
un,8-1,yes,no,no,no,unAL8-1|skVehLdr8-1(KFW)@sk,0.1,,,
un,_aleader,,,,,unALb|skVehLdr(KFW)-back@sk,0.1,,,
un,Sniper,,,,,unSniper(KFW)|skSniper(KFW)@sk,0.1,counter_size=60,,
un,_sniper,,,,,unSniper(KFW)b,0.1,,,
un,Sniper,,,,,unSnS(KFW)|skSnS(KFW)@sk,0.1,opacity=0.33,,
un,,,,,,unBU1|skBU1@sk,0.1,ignore|copy,,
un,,,,,,unBU2|skBU2@sk,0.1,ignore|copy,,
un,,,,,,unBU3|skBU3@sk,0.1,ignore|copy,,
un,,,,,,unBU4|skBU4@sk,0.1,ignore|copy,,
un,,,,,,unBU5|skBU5@sk,0.1,ignore|copy,,
un,,,,,,unBU6|skBU6@sk,0.1,ignore|copy,,
un,,,,,,unCE1|skCE1@sk,0.1,ignore|copy,,
un,,,,,,unCE2|skCE2@sk,0.1,ignore|copy,,
un,,,,,,unCE3|skCE3@sk,0.1,ignore|copy,,
un,,,,,,unCE4|skCE4@sk,0.1,ignore|copy,,
un,,,,,,unCE5|skCE5@sk,0.1,ignore|copy,,
un,,,,,,unCE6|skCE6@sk,0.1,ignore|copy,,
un,NtBu,,,,,unBUnt|skBUnt@sk,0.1,ignore,,
sk,CrewPass,,,,,skCEcBUp@sk,0.1,ignore,,
un,NtCe,,,,,unCEnt|skCEnt@sk,0.1,ignore,,
