nationality,counter,value,range,spraying_fire,rof,pp,breakdown,repair,leadership,piece,version,overrides,svg_image_transform,comments
un,BAZ45,8,5,,,1@24.0:24.0,X11,,,unBaz45(KFW)|skBaz45(KFW)@sk,0.1,extra=16TK!WP6@E:44.5:19.00,,
un,_baz,,,,,,,,,unBaz45(KFW)b|skBaz45(KFW)-back@sk,0.1,,,
un,BAZ50,12,5,,,1@24.0:24.0,X11,,,unBaz50(KFW)|skBaz(50)KFW@sk,0.1,extra=TK32!WP6<sup>2+</sup>@E:44.5:19.0,,
un,_baz,,,,,,,,,unBaz50(KFW)b|skBaz(50)KFW-back@sk,0.1,,,
un,DC,30,1,,,1,X12,,?,unDC(KFW)|skDC(KFW)@sk,0.1,,,
un,_dc,,,,,,,,,unDC(KFW)b|skDC(KFW)-back@sk,0.1,,,
un,FT,24,1,,,1,X10,,?,unFT(KFW)|skFT(KFW)@sk,0.1,,,
un,_ft,,,,,,,,,unFT(KFW)b|skFT(KFW)-back@sk,0.1,,,
un,LMG,2,8,yes,1,2,,,,unLMG(KFW)|skLMG(KFW)@sk,0.1,,,
un,Malf,,,,,,,1/6,,unLMG(KFW)x|skLMG(KFW)-malf@sk,0.1,,,
sk,LMG(j),2,6,yes,1,1,B11,,,skLMG(j)(KFW),0.1,,,
sk,Malf,,,,,,,1/6,,skLMG(j)(KFW)-malf,0.1,,,
un,MMG,4,10,yes,2,3,,,,unMMG(KFW)|skMMG(KFW)@sk,0.1,,,
un,Malf,,,,,,,2/6,,unMMG(KFW)x|skMMG(KFW)-malf@sk,0.1,,,
un,dmMMG,,,,,2@34.0:24.0,,,,unMMG(KFW)dm|skMMG(KFW)-dm@sk,0.1,,,
un,dmMMG,,,,,2@34.0:24.0,X,,,unMMG(KFW)dmx|skMMG(KFW)-dm-malf@sk,0.1,,,
sk,MMG(j),4,11,yes,2,3,B11,,,skMMG(j)(KFW),0.1,,,
sk,Malf,,,,,,,2/6,,skMMG(j)(KFW)-malf,0.1,,,
sk,dmMMG(j),,,,,2@34.0:24.0,,,,skMMG(j)(KFW)-dm,0.1,,,
sk,dmMMG(j),,,,,2@34.0:24.0,X,,,skMMG(j)(KFW)-dm-malf,0.1,,,
un,HMG,6,12,yes,3,5,,,,unHMG(KFW)|skHMG(6-12)KFW@sk,0.1,,,
un,Malf,,,,,,,3/6,,unHMG(KFW)x|skHMG(6-12)KFW-malf@sk,0.1,,,
un,dmHMG,,,,,3@40.0:24.0,,,,unHMG(KFW)dm|skHMG(6-12)KFW-dm@sk,0.1,,,
un,dmHMG,,,,,3@40.0:24.0,X,,,unHMG(KFW)dmx|skHMG(6-12)KFW-dm-malf@sk,0.1,,,
un,HMG,8,16,yes,3,5,,,,unHMG50(KFW)|skHMG50cal(KFW)@sk,0.1,extra=.50@E:44.5:33.0,,
un,Malf,,,,,,,2/6,,unHMG50(KFW)x|skHMG50cal(KFW)-malf@sk,0.1,,,
un,dmHMG,,,,,3@34.0:24.0,,,,unHMG50(KFW)dm|skHMG50cal(KFW)-dm@sk,0.1,extra=.50@E:44.5:18.0,,
un,dmHMG,,,,,3@34.0:24.0,X,2/6,,unHMG50(KFW)dmx|skHMG50cal(KFW)-dm-malk@sk,0.1,extra=.50@E:44.5:18.0,,
un,dmMTR,81mm,,,,5,,,,unMTR81(KFW)dm|skMTRM1(81)(KFW)-dm@sk,0.1,,,
un,dmMTR,81mm,,,,5,X,,,unMTR81(KFW)dmx|skMTRM1(81)(KFW)-dm-malf@sk,0.1,,,
un,MTR,"<tspan style=""text-decoration:overline"">60</tspan>&#x273D;",[3-45],,3,5,,,,unMTR60(KFW)|skMTRM2(60)(KFW)@sk,0.1,,,
