count,name,radioless,weight,bpv,rf,dates,size,af,ta,ot,cs,mp,gp,gt,ma,rof_ife,breakdown,intensive_fire,bmg,cmg,aamg,sa,ammunition,smoke_depletion,smoke_discharger,transport,notes,version,piece,overrides,svg_image_transform,reverse,comments
<b>#</b>,<b>Name & <i>Type</i></b>,,<b>WGT</b>,<b>BPV</b>,<b>RF</b>,<b>Dates</b>,<b>Size</b>,<b>AF</b>,<b>TA</b>,<b>OT</b>,<b>CS</b>,<b>MP</b>,<b>GP</b>,<b>GT</b>,<b>MA</b>,<b>ROF</b>,<b>B#</b>,<b>IF</b>,<b>BMG</b>,<b>CMG</b>,<b>AAMG</b>,<b>SA</b>,<b>Am</b>,<b>s#</b>,<b>sD#</b>,<b>PP/T#</b>,<b>Notes</b>,,,ignore,,,
Y/-/3/-,M24 <i>LT</i>,,17.5,71,1.3-1.6†,7/50-53†,0,6/3,+SR,,5,18,,T,T75,1†,,,2,4,4,,,5; WP7,sM8,,"1†, O, Y",1.0,usM24(KFW)|unM24(KFW)@un,nat=us|multi_hits,,,
6/3/-/-,M4A3E8 <i>MT</i>,,32,80,1.2-1.6†,8/50-53†,-1,11/4,-F/+SR,,6,15,L,T,T76L,1,,,2,4,4,,A†<sup>1</sup>,5,sM8,,"2†, A†<sup>1</sup>, P",1.0,usM4A3E8(KFW)|skM4A3E8(a)KFW@sk,nat=us,,,
6/-/-/-,M4A3E8(105) <i>MT</i>,,31,74,1.4-1.6†,9/50-53†,-1,11/4,-F/+SR,,6,15,,ST,"T<span style=""text-decoration:overline"">105</span>",,,,2,4,4,,H9; C7,7; WP9,sM8,,"3†, C, M",1.0,usM4A3E8(105)KFW,nat=us|gp=L,,,
2/-/-/-,M4A3E8 Dozer <i>MTv</i>,,32.5,82,1.5,9/50-53,-1,11†/4,-F/+SR,,6,14,L,T,T76L,1,,,,4,4,,A†<sup>1</sup>,5,sM8,,"4, A†<sup>1</sup>, TT†",1.0,usM4A3E8(Dozer76L)KFW,nat=us|far=[*]$$|qual=a,,,
3/-/-/-,M4A3E8(105) Dozer <i>MTv</i>,,31.5,76,1.6-1.4†,8/50-53†,-1,11†<sup>1</sup>/4,-F/+SR,,6,14,L,T,"T<span style=""text-decoration:overline"">105</span>",,,,,4,4,,H9; C7,7; WP9,sM8,,"4†, C, M, TT†<sup>1</sup>",1.0,usM4A3E8(Dozer105)KFW,nat=us|far=[*]$$|qual=b,,,
4/-/-/-,POA-CWS-H5 <i>MTv</i>,,31,82,1.4-1.5†,9/50-53,-1,11/4,-F/+SR,,6,15,L,T,<b>TF32</b>†,,<b>X12</b>/<i>9</i>†,,2,4,4,"T<span style=""text-decoration:overline"">105</span>†",C5,,sM8,,"5†, C, M",1.0,usPOA-CWS-H5(KFW),nat=us|ma=$$|mb=<b>X12</b>|sa=$$|sb=<*><i>9</i>@above_mgs,,,
2/-/-/-,M32A1B3 TRV <i>MTv</i>,,31,54,1.6,7/50-53†,-1,11†/4,-F†/+SR,,6,14,L,,BMG,,,,2,,4,,,,,†,"6†, K, M, P",1.0,usM32A1B3TRV(KFW),nat=us|far=<b*>$$|ta=--F/+SR,,,
6/-/-/-,M26A1 <i>MT</i>,,41.5,95,1.6-1.3†,7/50-11/51†,0,18/8,-F,,6,12,T,,T90L,1,,,2,4,4,,A†<sup>1</sup>,WP6<sup>M51+</sup>†<sup>2</sup>,,,"7†, A†<sup>1</sup>, J†<sup>2</sup>, M",1.0,usM26A1(KFW),nat=us,,,
2/-/-/-,M45 <i>MT</i>,,42,91,1.6,8/50-3/51,0,18/8,,,6,12,,T,"T<span style=""text-decoration:overline"">105</span>",,,,2,4,4,,H7,7; WP9,,,8,1.0,usM45(KFW),nat=us|rof=1,,,
